code,cls,n_pairs,support_px,f1,f1_lo,f1_hi,iou,iou_lo,iou_hi,reliability
1,Stable,72,8087379,0.993,0.99,0.996,0.986,0.981,0.991,High
2,Harvest,35,124641,0.748,0.628,0.821,0.597,0.458,0.696,High
3,Development,27,9288,0.292,0.026,0.475,0.171,0.013,0.312,Low
4,Insect/Disease,19,56257,0.229,0.004,0.466,0.129,0.002,0.303,Low
5,Beaver,15,8828,0.077,0.0,0.209,0.04,0.0,0.117,Low
