class_a,class_b,subset,n_patches,area_median_ha,area_q25_ha,area_q75_ha,shape_index_median,width_px_median,frac_area_under_0p1ha,frac_area_over_0p1ha
Urban,Beaver,all,3,0.02,0.015,0.02,1.197,0.667,1.0,0.0
Unknown,Water,all,2,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Water,Unknown,all,2,0.165,0.1025,0.2275,1.874,1.08,0.1212,0.8788
Forest,Development,all,1,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Harvest,Beaver,all,1,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Other,Development,all,1,0.2,0.2,0.2,1.388,1.818,0.0,1.0
Unknown,Agriculture,all,1,0.04,0.04,0.04,1.128,1.0,1.0,0.0
Forest,Wetland,interior,24555,0.01,0.01,0.03,1.128,0.5,0.2926,0.7074
Wetland,Forest,interior,23267,0.01,0.01,0.03,1.128,0.5,0.3765,0.6235
Grass/Shrub,Forest,interior,18496,0.02,0.01,0.04,1.197,0.5,0.2981,0.7019
Forest,Grass/Shrub,interior,17749,0.01,0.01,0.03,1.128,0.5,0.4476,0.5524
Grass/Shrub,Agriculture,interior,14882,0.02,0.01,0.05,1.197,0.667,0.2186,0.7814
Wetland,Grass/Shrub,interior,14199,0.02,0.01,0.04,1.197,0.571,0.2645,0.7355
Wetland,Agriculture,interior,12530,0.02,0.01,0.04,1.197,0.625,0.2746,0.7254
Agriculture,Grass/Shrub,interior,12100,0.02,0.01,0.04,1.197,0.667,0.2203,0.7797
Grass/Shrub,Wetland,interior,11794,0.02,0.01,0.04,1.197,0.5,0.2181,0.7819
Forest,Agriculture,interior,10630,0.01,0.01,0.03,1.128,0.5,0.4617,0.5383
Urban,Agriculture,interior,9902,0.02,0.01,0.04,1.197,0.567,0.3658,0.6342
Agriculture,Forest,interior,7780,0.01,0.01,0.03,1.128,0.5,0.4933,0.5067
Agriculture,Wetland,interior,5924,0.02,0.01,0.03,1.128,0.5,0.4748,0.5252
Insect/Disease,Forest,interior,5305,0.02,0.01,0.04,1.197,0.5,0.3632,0.6368
Water,Forest,interior,4763,0.01,0.01,0.03,1.128,0.5,0.4212,0.5788
Agriculture,Urban,interior,4344,0.02,0.01,0.03,1.128,0.5,0.5224,0.4776
Urban,Wetland,interior,3940,0.01,0.01,0.03,1.128,0.5,0.4823,0.5177
Wetland,Water,interior,3068,0.02,0.01,0.05,1.197,0.6,0.2214,0.7786
Water,Wetland,interior,3030,0.01,0.01,0.03,1.128,0.5,0.2156,0.7844
Urban,Grass/Shrub,interior,3018,0.01,0.01,0.02,1.128,0.5,0.6366,0.3634
Harvest,Forest,interior,2911,0.02,0.01,0.04,1.197,0.5,0.3772,0.6228
Wetland,Urban,interior,2907,0.01,0.01,0.02,1.128,0.5,0.7865,0.2135
Grass/Shrub,Urban,interior,2864,0.01,0.01,0.03,1.128,0.5,0.6528,0.3472
Forest,Water,interior,2566,0.01,0.01,0.02,1.128,0.5,0.8602,0.1398
Forest,Insect/Disease,interior,2111,0.01,0.01,0.03,1.128,0.5,0.579,0.421
Urban,Forest,interior,1839,0.01,0.01,0.02,1.128,0.5,0.8043,0.1957
Harvest,Wetland,interior,1033,0.01,0.01,0.03,1.128,0.5,0.4734,0.5266
Harvest,Grass/Shrub,interior,1002,0.01,0.01,0.03,1.128,0.5,0.2811,0.7189
Forest,Harvest,interior,974,0.01,0.01,0.03,1.128,0.5,0.5201,0.4799
Forest,Urban,interior,896,0.01,0.01,0.02,1.128,0.5,0.5019,0.4981
Wetland,Harvest,interior,895,0.01,0.01,0.03,1.128,0.5,0.6209,0.3791
Insect/Disease,Grass/Shrub,interior,778,0.01,0.01,0.02,1.128,0.5,0.5904,0.4096
Grass/Shrub,Harvest,interior,773,0.02,0.01,0.03,1.128,0.5,0.5106,0.4894
Water,Urban,interior,686,0.01,0.01,0.02,1.128,0.5,0.8476,0.1524
Forest,Beaver,interior,604,0.01,0.01,0.02,1.128,0.5,0.6225,0.3775
Urban,Water,interior,563,0.01,0.01,0.02,1.128,0.5,0.8213,0.1787
Water,Grass/Shrub,interior,536,0.01,0.01,0.02,1.128,0.5,0.4037,0.5963
Urban,Other,interior,482,0.02,0.01,0.04,1.197,0.667,0.2081,0.7919
Water,Insect/Disease,interior,473,0.01,0.01,0.03,1.128,0.5,0.4705,0.5295
Harvest,Agriculture,interior,448,0.01,0.01,0.03,1.128,0.5,0.4259,0.5741
Agriculture,Water,interior,415,0.01,0.01,0.02,1.128,0.5,0.7374,0.2626
Development,Agriculture,interior,407,0.01,0.01,0.03,1.128,0.5,0.5228,0.4772
Grass/Shrub,Beaver,interior,407,0.01,0.01,0.02,1.128,0.5,0.8276,0.1724
Insect/Disease,Wetland,interior,396,0.01,0.01,0.02,1.128,0.5,0.6503,0.3497
Insect/Disease,Beaver,interior,380,0.01,0.01,0.02,1.128,0.5,0.4141,0.5859
Other,Urban,interior,374,0.02,0.01,0.03,1.197,0.5,0.172,0.828
Development,Forest,interior,366,0.01,0.01,0.04,1.128,0.5,0.3511,0.6489
Agriculture,Harvest,interior,360,0.01,0.01,0.02,1.128,0.5,0.2524,0.7476
Development,Urban,interior,341,0.01,0.01,0.02,1.128,0.5,0.695,0.305
Other,Grass/Shrub,interior,339,0.02,0.01,0.06,1.197,0.667,0.4489,0.5511
Beaver,Forest,interior,304,0.01,0.01,0.02,1.128,0.5,0.6529,0.3471
Beaver,Wetland,interior,255,0.01,0.01,0.03,1.128,0.5,0.3237,0.6763
Insect/Disease,Harvest,interior,252,0.01,0.01,0.03,1.128,0.5,0.7608,0.2392
Grass/Shrub,Water,interior,248,0.01,0.01,0.02,1.128,0.5,0.8419,0.1581
Agriculture,Insect/Disease,interior,242,0.01,0.01,0.03,1.128,0.5,0.6236,0.3764
Other,Wetland,interior,189,0.01,0.01,0.03,1.128,0.5,0.253,0.747
Water,Agriculture,interior,182,0.01,0.01,0.02,1.128,0.5,0.6023,0.3977
Harvest,Urban,interior,166,0.01,0.01,0.02,1.128,0.5,0.767,0.233
Development,Grass/Shrub,interior,161,0.01,0.01,0.02,1.128,0.5,0.8269,0.1731
Water,Beaver,interior,150,0.01,0.01,0.03,1.128,0.5,0.5192,0.4808
Beaver,Water,interior,145,0.01,0.01,0.03,1.128,0.5,0.4697,0.5303
Grass/Shrub,Insect/Disease,interior,145,0.01,0.01,0.02,1.128,0.5,0.5672,0.4328
Grass/Shrub,Other,interior,140,0.01,0.01,0.05,1.128,0.5,0.1528,0.8472
Insect/Disease,Water,interior,119,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Wetland,Other,interior,113,0.01,0.01,0.02,1.128,0.5,0.2056,0.7944
Wetland,Insect/Disease,interior,100,0.01,0.01,0.02,1.128,0.5,0.9118,0.0882
Beaver,Grass/Shrub,interior,95,0.02,0.01,0.03,1.197,0.5,0.6113,0.3887
Unknown,Wetland,interior,94,0.015,0.01,0.04,1.163,0.5,0.2029,0.7971
Agriculture,Beaver,interior,76,0.01,0.01,0.03,1.128,0.5,0.9294,0.0706
Urban,Development,interior,75,0.02,0.01,0.04,1.128,0.667,0.1518,0.8482
Urban,Harvest,interior,74,0.01,0.01,0.0175,1.128,0.5,0.6913,0.3087
Harvest,Insect/Disease,interior,65,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Agriculture,Unknown,interior,63,0.01,0.01,0.02,1.128,0.5,0.3658,0.6342
Grass/Shrub,Unknown,interior,63,0.01,0.01,0.02,1.128,0.5,0.6604,0.3396
Other,Agriculture,interior,62,0.01,0.01,0.0375,1.128,0.5,0.5942,0.4058
Agriculture,Development,interior,52,0.01,0.01,0.04,1.128,0.5,0.5439,0.4561
Insect/Disease,Urban,interior,49,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Agriculture,Other,interior,48,0.01,0.01,0.02,1.128,0.5,0.5442,0.4558
Beaver,Agriculture,interior,45,0.02,0.01,0.04,1.197,0.5,0.2286,0.7714
Insect/Disease,Agriculture,interior,44,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Unknown,Grass/Shrub,interior,42,0.01,0.01,0.02,1.128,0.5,0.0626,0.9374
Forest,Unknown,interior,39,0.02,0.01,0.04,1.128,0.5,0.4286,0.5714
Other,Unknown,interior,37,0.03,0.01,0.05,1.303,0.667,0.104,0.896
Harvest,Unknown,interior,36,0.01,0.01,0.0125,1.128,0.5,0.7671,0.2329
Urban,Insect/Disease,interior,35,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Other,Water,interior,34,0.01,0.01,0.0275,1.128,0.5,0.5446,0.4554
Harvest,Other,interior,32,0.01,0.01,0.0325,1.128,0.5,0.287,0.713
Other,Harvest,interior,29,0.02,0.01,0.05,1.197,0.667,0.3405,0.6595
Other,Forest,interior,28,0.01,0.01,0.02,1.128,0.5,0.6866,0.3134
Beaver,Harvest,interior,27,0.01,0.01,0.03,1.128,0.5,0.3981,0.6019
Unknown,Urban,interior,26,0.02,0.01,0.02,1.197,0.667,0.7971,0.2029
Wetland,Beaver,interior,26,0.01,0.01,0.02,1.128,0.5,0.4,0.6
Grass/Shrub,Development,interior,23,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Unknown,Other,interior,23,0.02,0.01,0.12,1.197,0.667,0.0538,0.9462
Wetland,Unknown,interior,22,0.01,0.01,0.02,1.128,0.5,0.6066,0.3934
Development,Other,interior,20,0.015,0.01,0.03,1.163,0.55,0.292,0.708
Development,Harvest,interior,19,0.02,0.01,0.03,1.197,0.5,0.6441,0.3559
Water,Other,interior,19,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Beaver,Urban,interior,18,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Harvest,Water,interior,17,0.01,0.01,0.02,1.128,0.5,1.0,0.0
Wetland,Development,interior,13,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Development,Unknown,interior,11,0.05,0.025,0.06,1.629,0.714,0.0719,0.9281
Development,Wetland,interior,10,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Insect/Disease,Development,interior,10,0.01,0.01,0.02,1.128,0.5,1.0,0.0
Urban,Unknown,interior,10,0.01,0.01,0.0175,1.128,0.5,1.0,0.0
Forest,Other,interior,9,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Water,Development,interior,8,0.02,0.01,0.025,1.197,0.667,0.4643,0.5357
Water,Harvest,interior,8,0.01,0.01,0.02,1.128,0.5,1.0,0.0
Unknown,Forest,interior,4,0.015,0.01,0.02,1.163,0.5,1.0,0.0
Development,Water,interior,3,0.01,0.01,0.02,1.128,0.5,1.0,0.0
Harvest,Development,interior,3,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Urban,Beaver,interior,3,0.02,0.015,0.02,1.197,0.667,1.0,0.0
Unknown,Water,interior,2,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Water,Unknown,interior,2,0.165,0.1025,0.2275,1.874,1.08,0.1212,0.8788
Forest,Development,interior,1,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Harvest,Beaver,interior,1,0.01,0.01,0.01,1.128,0.5,1.0,0.0
Other,Development,interior,1,0.2,0.2,0.2,1.388,1.818,0.0,1.0
Unknown,Agriculture,interior,1,0.04,0.04,0.04,1.128,1.0,1.0,0.0
