cell_id,crs,x_scale,x_shear,x_trans,y_shear,y_scale,y_trans,width,height,file
06411,EPSG:5070,10.0,0.0,192600.0,0.0,-10.0,2395030.0,337,337,rf_class_reviewer_bekka_grid_06411_sample_311_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
06553,EPSG:5070,10.0,0.0,199320.0,0.0,-10.0,2781430.0,337,337,rf_class_reviewer_bekka_grid_06553_sample_386_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
06600,EPSG:5070,10.0,0.0,195960.0,0.0,-10.0,2751190.0,337,337,rf_class_reviewer_ash_grid_06600_sample_236_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
06711,EPSG:5070,10.0,0.0,199320.0,0.0,-10.0,2677270.0,337,337,rf_class_reviewer_bekka_grid_06711_sample_90_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
06852,EPSG:5070,10.0,0.0,195960.0,0.0,-10.0,2579820.0,337,336,rf_class_reviewer_bekka_grid_06852_sample_465_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
06923,EPSG:5070,10.0,0.0,199320.0,0.0,-10.0,2532780.0,337,337,rf_class_reviewer_bekka_grid_06923_sample_330_sensor_Sentinel-2_target_2022_opt_2021_2023.tif
07023,EPSG:5070,10.0,0.0,199320.0,0.0,-10.0,2465580.0,337,336,rf_class_reviewer_ash_grid_07023_sample_191_sensor_Sentinel-2_target_2018_opt_2017_2019.tif
07373,EPSG:5070,10.0,0.0,206040.0,0.0,-10.0,2714220.0,337,337,rf_class_reviewer_mina_grid_07373_sample_73_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
07630,EPSG:5070,10.0,0.0,202680.0,0.0,-10.0,2542870.0,337,338,rf_class_reviewer_mina_grid_07630_sample_238_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
07690,EPSG:5070,10.0,0.0,202680.0,0.0,-10.0,2502550.0,337,337,rf_class_reviewer_ash_grid_07690_sample_148_sensor_Sentinel-2_target_2020_opt_2019_2021.tif
