version,W,cls,n_retained,n_dropped,frac_dropped,rmse,mae,bias,corr
v3,7,Agriculture,100427,254226,0.7168,0.3018,0.1922,-0.0236,0.7323
v3,7,Grass/Shrub,143578,211075,0.5952,0.4106,0.2948,-0.0137,0.0848
v3,7,Wetland,133247,221406,0.6243,0.3808,0.2648,-0.0773,0.2801
v3,7,Beaver,92192,262461,0.7401,0.5719,0.4595,0.4572,-0.0443
v3,7,Insect/Disease,30639,324014,0.9136,0.5899,0.4465,0.3861,-0.3084
v3,9,Harvest,21631,189133,0.8974,0.398,0.25,0.0539,-0.1684
v3,9,Development,14331,196433,0.932,0.3121,0.1966,0.1772,-0.0946
v3,9,Forest,164142,46622,0.2212,0.4227,0.2818,-0.1958,0.5145
v3,9,Urban,46439,164325,0.7797,0.2484,0.1698,0.0999,0.6513
v3,9,Water,30628,180136,0.8547,0.1605,0.0719,0.0137,0.9333
v3,9,Agriculture,64290,146474,0.695,0.2723,0.1729,-0.022,0.7764
v3,9,Grass/Shrub,97780,112984,0.5361,0.3665,0.2533,-0.0121,0.1349
v3,9,Wetland,90571,120193,0.5703,0.3396,0.2264,-0.0674,0.3296
v3,9,Beaver,61244,149520,0.7094,0.5263,0.4111,0.4091,-0.0382
v3,9,Insect/Disease,21003,189761,0.9003,0.5394,0.3866,0.3347,-0.2705
v4,3,Harvest,75581,1854294,0.9608,0.6405,0.5359,0.0234,-0.4535
v4,3,Development,72793,1857082,0.9623,0.5945,0.4941,0.4593,-0.2019
v4,3,Forest,1412127,517748,0.2683,0.5335,0.3773,-0.0858,0.1522
v4,3,Urban,657955,1271920,0.6591,0.623,0.5228,0.426,-0.1313
v4,3,Water,400410,1529465,0.7925,0.562,0.4266,0.0844,0.1715
v4,3,Agriculture,471487,1458388,0.7557,0.5806,0.446,-0.2507,0.198
v4,3,Grass/Shrub,509803,1420072,0.7358,0.599,0.4947,-0.0066,-0.2125
v4,3,Wetland,436262,1493613,0.7739,0.5956,0.493,-0.3198,-0.161
v4,3,Beaver,37494,1892381,0.9806,0.5052,0.4068,0.3659,-0.1479
v4,3,Insect/Disease,64201,1865674,0.9667,0.5603,0.457,0.2994,-0.4215
v4,5,Harvest,39197,651646,0.9433,0.5004,0.3675,0.0161,-0.2684
v4,5,Development,39193,651650,0.9433,0.4476,0.3289,0.3061,-0.1207
v4,5,Forest,544184,146659,0.2123,0.4816,0.3395,-0.0796,0.2975
v4,5,Urban,304047,386796,0.5599,0.5187,0.398,0.3298,-0.0186
v4,5,Water,184127,506716,0.7335,0.47,0.3299,0.0657,0.343
v4,5,Agriculture,201101,489742,0.7089,0.4987,0.3656,-0.2103,0.3638
v4,5,Grass/Shrub,236865,453978,0.6571,0.4879,0.3709,-0.0051,-0.0412
v4,5,Wetland,210349,480494,0.6955,0.4784,0.3592,-0.2375,-0.0094
v4,5,Beaver,21779,669064,0.9685,0.3559,0.25,0.2255,-0.057
v4,5,Insect/Disease,34827,656016,0.9496,0.4203,0.2999,0.1978,-0.284
v4,7,Harvest,26583,328070,0.925,0.4151,0.2762,0.0122,-0.173
v4,7,Development,27190,327463,0.9233,0.3606,0.2432,0.2266,-0.0841
v4,7,Forest,292898,61755,0.1741,0.4492,0.3153,-0.0759,0.3708
v4,7,Urban,184253,170400,0.4805,0.4608,0.333,0.2795,0.034
v4,7,Water,113589,241064,0.6797,0.4135,0.2728,0.0546,0.4238
v4,7,Agriculture,117623,237030,0.6683,0.4469,0.3152,-0.1847,0.4478
v4,7,Grass/Shrub,144496,210157,0.5926,0.4241,0.3051,-0.0044,0.0454
v4,7,Wetland,131114,223539,0.6303,0.4134,0.2913,-0.1955,0.0618
v4,7,Beaver,15928,338725,0.9551,0.273,0.1751,0.1583,-0.0151
v4,7,Insect/Disease,23993,330660,0.9323,0.3424,0.2225,0.1472,-0.2158
v4,9,Harvest,19787,190977,0.9061,0.3571,0.2202,0.0098,-0.12
v4,9,Development,20421,190343,0.9031,0.3052,0.1926,0.1797,-0.0644
v4,9,Forest,179820,30944,0.1468,0.4268,0.2984,-0.0735,0.4143
v4,9,Urban,123187,87577,0.4155,0.4229,0.2929,0.2482,0.0642
v4,9,Water,77728,133036,0.6312,0.3749,0.2357,0.0475,0.471
v4,9,Agriculture,77661,133103,0.6315,0.4092,0.279,-0.1661,0.5015
v4,9,Grass/Shrub,97524,113240,0.5373,0.3818,0.2639,-0.0039,0.0973
v4,9,Wetland,89728,121036,0.5743,0.3711,0.2499,-0.1698,0.1057
v4,9,Beaver,12474,198290,0.9408,0.2211,0.1328,0.1199,0.0046
v4,9,Insect/Disease,17756,193008,0.9158,0.2934,0.1777,0.1185,-0.1732
v5,3,Harvest,148093,1781782,0.9233,0.6613,0.5629,0.3037,-0.4398
v5,3,Development,59670,1870205,0.9691,0.5806,0.4801,0.4357,-0.2368
v5,3,Forest,1254061,675814,0.3502,0.5697,0.4088,-0.2865,0.2103
v5,3,Urban,209334,1720541,0.8915,0.4753,0.3813,0.2127,0.3151
v5,3,Water,195400,1734475,0.8987,0.2539,0.1091,0.0046,0.7332
v5,3,Agriculture,433877,1495998,0.7752,0.4155,0.2656,-0.0545,0.4903
v5,3,Grass/Shrub,501117,1428758,0.7403,0.589,0.4844,-0.0235,-0.1827
v5,3,Wetland,465850,1464025,0.7586,0.5623,0.452,-0.1224,-0.0209
v5,3,Beaver,430114,1499761,0.7771,0.7565,0.6809,0.6782,-0.0662
v5,3,Insect/Disease,86031,1843844,0.9554,0.7179,0.6248,0.5061,-0.4865
v5,5,Harvest,73430,617413,0.8937,0.5304,0.4043,0.2188,-0.2806
v5,5,Development,32876,657967,0.9524,0.4297,0.3116,0.2831,-0.143
v5,5,Forest,487959,202884,0.2937,0.5179,0.3682,-0.2634,0.341
v5,5,Urban,103396,587447,0.8503,0.3586,0.2697,0.1546,0.5019
v5,5,Water,79545,611298,0.8849,0.2104,0.0945,0.0041,0.8627
v5,5,Agriculture,177055,513788,0.7437,0.3486,0.2241,-0.048,0.6533
v5,5,Grass/Shrub,237817,453026,0.6558,0.4718,0.3567,-0.0178,-0.0093
v5,5,Wetland,219167,471676,0.6828,0.4492,0.332,-0.0931,0.1567
