source,cell_id,bracket,macro_f1,n_classes_included,in_common_set,f1_stable,f1_harvest,f1_development,f1_insectdisease,f1_beaver
v3,01993,2017_2019,0.32731,3,True,0.98095,0.0,0.00098,,
v4,01993,2017_2019,0.18259,5,True,0.88017,0.0,0.03279,0.0,0.0
v5,01993,2017_2019,0.32345,3,True,0.9694,0.0,0.00095,,
v6,01993,2017_2019,0.13051,5,True,0.65107,0.0,0.0015,0.0,0.0
spec_all,01993,2017_2019,0.1898,5,True,0.93214,0.0,0.01686,0.0,0.0
v2,02210,2017_2019,0.24112,4,True,0.96169,,0.0,0.00279,0.0
v3,02210,2017_2019,0.21607,4,True,0.8643,,0.0,0.0,0.0
v4,02210,2017_2019,0.19964,5,True,0.99477,0.0,0.00343,0.0,0.0
v5,02210,2017_2019,0.22484,4,True,0.89936,,0.0,0.0,0.0
v6,02210,2017_2019,0.23763,5,True,0.91759,0.0,0.25996,0.01061,0.0
spec_all,02210,2017_2019,0.27349,5,True,0.64382,0.0,0.7066,0.01704,0.0
v2,02670,2019_2021,0.23845,4,True,0.95382,0.0,0.0,0.0,
v3,02670,2019_2021,0.24101,4,True,0.96405,0.0,0.0,0.0,
v4,02670,2019_2021,0.18821,5,True,0.93335,0.00389,0.0,0.00383,0.0
v5,02670,2019_2021,0.24027,4,True,0.96109,0.0,0.0,0.0,
v6,02670,2019_2021,0.10141,5,True,0.50033,0.00031,0.0,0.00641,0.0
spec_all,02670,2019_2021,0.14342,5,True,0.71709,0.0,0.0,0.0,0.0
v2,02770,2017_2019,0.33089,3,True,0.99267,0.0,0.0,,
v3,02770,2017_2019,0.32902,3,True,0.98706,0.0,0.0,,
v4,02770,2017_2019,0.15053,5,True,0.75264,0.0,0.0,0.0,0.0
v5,02770,2017_2019,0.33037,3,True,0.9911,0.0,0.0,,
v6,02770,2017_2019,0.13045,5,True,0.65224,0.0,0.0,0.0,0.0
spec_all,02770,2017_2019,0.16579,5,True,0.82894,0.0,0.0,0.0,0.0
v2,03003,2019_2021,0.29471,4,True,0.72092,0.44444,0.0,,0.01346
v3,03003,2019_2021,0.2155,3,True,0.6108,0.02683,,,0.00888
v4,03003,2019_2021,0.38517,4,True,0.95078,0.50029,0.0,,0.08962
v5,03003,2019_2021,0.20607,3,True,0.60867,0.0,,,0.00954
v6,03003,2019_2021,0.14733,5,True,0.7095,0.01722,0.0,0.0,0.00992
spec_all,03003,2019_2021,0.1653,5,True,0.73199,0.06424,0.0,0.0,0.03028
v2,03682,2017_2019,0.2312,4,True,0.90988,0.01383,,0.00107,0.0
v3,03682,2017_2019,0.1948,4,True,0.7792,0.0,,0.0,0.0
v4,03682,2017_2019,0.20977,5,True,0.99684,0.0392,0.0,0.01283,0.0
v5,03682,2017_2019,0.20454,4,True,0.81816,0.0,,0.0,0.0
v6,03682,2017_2019,0.19426,5,True,0.93134,0.03472,0.0,0.00523,0.0
spec_all,03682,2017_2019,0.08238,5,True,0.40787,0.0,0.0,0.00402,0.0
v2,03693,2019_2021,0.18496,5,True,0.79655,0.12343,0.0,0.0,0.00482
v3,03693,2019_2021,0.22955,3,True,0.68564,0.0,,,0.00299
v4,03693,2019_2021,0.23066,5,True,0.94262,0.18523,0.0,0.0,0.02546
v5,03693,2019_2021,0.18794,4,True,0.74857,0.0,,0.0,0.00318
