,Harvest,Development,Forest,Urban,Water,Agriculture,Grass/Shrub,Wetland,Beaver,Insect/Disease
Harvest,10606,9626,22273,3556,1248,7384,331,236,1958,10026
Development,8,423,145,108,8,591,48,52,4,258
Forest,6564,6620,1668985,205627,33329,59100,59650,31440,5532,21024
Urban,1183,3521,25295,27874,2671,25635,9449,4639,257,1571
Water,98,591,30610,52624,144187,2525,888,3729,812,1330
Agriculture,15193,21822,66445,100760,6235,669573,75424,16677,655,3289
Grass/Shrub,1761,11079,80381,32994,4115,56666,33612,16785,1324,9822
Wetland,1995,7939,160928,19914,12417,18097,47464,38596,6532,23494
Beaver,2,168,227,64,336,100,42,554,304,122
Insect/Disease,288,194,11346,359,48,390,269,163,337,763
