,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,3245144,131160,53847,243752,329589
Harvest,49830,8455,125,2345,6489
Development,1531,6,82,25,1
Insect/Disease,8776,1286,15,1142,2938
Beaver,1177,47,64,19,612
