,Harvest,Development,Forest,Urban,Water,Agriculture,Grass/Shrub,Wetland,Beaver,Insect/Disease
Harvest,10105,584,42660,366,18,344,2339,1104,5677,4047
Development,11,197,432,485,4,456,1,11,0,48
Forest,4088,1708,1738215,8867,3992,10918,105153,19281,37345,168304
Urban,689,1616,14170,65828,680,11089,2955,3248,958,862
Water,44,131,9812,1039,215449,609,331,6347,2120,1512
Agriculture,2189,14583,55412,94824,800,771755,24827,9653,418,1612
Grass/Shrub,811,1473,52370,20584,388,68500,65926,25601,9045,3841
Wetland,666,1280,92117,14704,6612,17835,33902,66721,87822,15717
Beaver,8,78,217,185,140,12,90,744,424,21
Insect/Disease,79,55,9893,448,23,270,521,197,1506,1165
