scheme,variant,scope,cls,metric,estimate,supportable,ratio_ci_lo,ratio_ci_hi,boot_ci_lo,boot_ci_hi,support,cells_present
5class,v4,class,Development,F1,0.01327,True,,,0.00373,0.02721,1645,10.0
5class,v4,class,Development,IoU,0.00668,True,0.00064,0.01272,0.00187,0.01379,1645,10.0
5class,v4,class,Insect/Disease,precision,0.01063,True,-0.00112,0.02237,0.00126,0.02552,14157,8.0
5class,v4,class,Insect/Disease,recall,0.0539,True,-0.01091,0.1187,0.00832,0.16829,14157,8.0
5class,v4,class,Insect/Disease,F1,0.01776,True,,,0.00234,0.03972,14157,8.0
5class,v4,class,Insect/Disease,IoU,0.00896,True,-0.00045,0.01836,0.00113,0.02026,14157,8.0
5class,v4,class,Beaver,precision,0.01707,True,-0.00417,0.03831,0.00022,0.04633,1919,5.0
5class,v4,class,Beaver,recall,0.15842,True,0.0232,0.29363,0.01061,0.50688,1919,5.0
5class,v4,class,Beaver,F1,0.03082,True,,,0.00111,0.07638,1919,5.0
5class,v4,class,Beaver,IoU,0.01565,True,-0.00259,0.0339,0.00022,0.03934,1919,5.0
5class,v5,overall,,OA,0.79625,True,0.73805,0.85445,0.73542,0.85194,4088457,
5class,v5,overall,,kappa,0.01692,True,,,0.00235,0.03984,4088457,
5class,v5,overall,,macro_F1,0.19687,True,,,0.18257,0.24023,4088457,
5class,v5,overall,,mean_IoU,0.16967,True,,,0.15577,0.18359,4088457,
5class,v5,overall,,baseline_OA,0.97922,True,,,0.96914,0.9883,4088457,
5class,v5,class,Stable,precision,0.98146,True,0.9722,0.99071,0.97199,0.98989,4003492,36.0
5class,v5,class,Stable,recall,0.81058,True,0.75258,0.86857,0.74829,0.86695,4003492,36.0
5class,v5,class,Stable,F1,0.88787,True,,,0.84888,0.92115,4003492,36.0
5class,v5,class,Stable,IoU,0.79835,True,0.74054,0.85616,0.73744,0.85382,4003492,36.0
5class,v5,class,Harvest,precision,0.05998,True,0.00716,0.11281,0.01623,0.11205,67244,18.0
5class,v5,class,Harvest,recall,0.12574,True,0.00857,0.2429,0.03985,0.24626,67244,18.0
5class,v5,class,Harvest,F1,0.08122,True,,,0.02394,0.14585,67244,18.0
5class,v5,class,Harvest,IoU,0.04233,True,0.00435,0.0803,0.01211,0.07866,67244,18.0
5class,v5,class,Development,precision,0.00151,True,-0.0005,0.00353,8e-05,0.00443,1645,10.0
5class,v5,class,Development,recall,0.04985,True,0.01149,0.08821,0.00517,0.14359,1645,10.0
5class,v5,class,Development,F1,0.00294,True,,,0.00042,0.00832,1645,10.0
5class,v5,class,Development,IoU,0.00147,True,-0.00044,0.00339,8e-05,0.00418,1645,10.0
5class,v5,class,Insect/Disease,precision,0.00462,True,-0.00246,0.01169,2e-05,0.01315,14157,8.0
5class,v5,class,Insect/Disease,recall,0.08067,True,-0.06051,0.22184,0.0003,0.3635,14157,8.0
5class,v5,class,Insect/Disease,F1,0.00874,True,,,7e-05,0.02434,14157,8.0
5class,v5,class,Insect/Disease,IoU,0.00439,True,-0.0023,0.01108,2e-05,0.01229,14157,8.0
5class,v5,class,Beaver,precision,0.0018,True,-0.00136,0.00496,2e-05,0.00657,1919,5.0
5class,v5,class,Beaver,recall,0.31892,True,0.11766,0.52017,0.01326,0.46098,1919,5.0
5class,v5,class,Beaver,F1,0.00358,True,,,4e-05,0.01292,1919,5.0
5class,v5,class,Beaver,IoU,0.0018,True,-0.00135,0.00494,2e-05,0.00649,1919,5.0
5class,v6,overall,,OA,0.68882,True,0.64947,0.72816,0.65149,0.73124,4088457,
5class,v6,overall,,kappa,0.0111,True,,,0.00332,0.02371,4088457,
5class,v6,overall,,macro_F1,0.17274,True,,,0.16487,0.18148,4088457,
5class,v6,overall,,mean_IoU,0.14319,True,,,0.13476,0.15359,4088457,
5class,v6,overall,,baseline_OA,0.97922,True,,,0.96914,0.9883,4088457,
5class,v6,class,Stable,precision,0.98362,True,0.97578,0.99147,0.97576,0.99086,4003492,36.0
5class,v6,class,Stable,recall,0.70128,True,0.65848,0.74408,0.66094,0.74725,4003492,36.0
5class,v6,class,Stable,F1,0.8188,True,,,0.7911,0.84806,4003492,36.0
5class,v6,class,Stable,IoU,0.69319,True,0.65273,0.73364,0.65439,0.73621,4003492,36.0
5class,v6,class,Harvest,precision,0.02024,True,0.00773,0.03275,0.00922,0.03487,67244,18.0
5class,v6,class,Harvest,recall,0.10318,True,0.08414,0.12221,0.08659,0.12433,67244,18.0
5class,v6,class,Harvest,F1,0.03384,True,,,0.01669,0.05268,67244,18.0
5class,v6,class,Harvest,IoU,0.01721,True,0.00805,0.02637,0.00841,0.02705,67244,18.0
5class,v6,class,Development,precision,0.00118,True,0.0001,0.00226,0.00031,0.00239,1645,10.0
5class,v6,class,Development,recall,0.23161,True,0.15793,0.30529,0.17039,0.44138,1645,10.0
5class,v6,class,Development,F1,0.00235,True,,,0.00061,0.00473,1645,10.0
5class,v6,class,Development,IoU,0.00118,True,0.0001,0.00225,0.00031,0.00237,1645,10.0
5class,v6,class,Insect/Disease,precision,0.00354,True,0.00038,0.0067,0.00082,0.00739,14157,8.0
5class,v6,class,Insect/Disease,recall,0.07339,True,0.04605,0.10073,0.05532,0.10752,14157,8.0
5class,v6,class,Insect/Disease,F1,0.00676,True,,,0.00163,0.01328,14157,8.0
5class,v6,class,Insect/Disease,IoU,0.00339,True,0.00052,0.00626,0.00081,0.00669,14157,8.0
5class,v6,class,Beaver,precision,0.00097,True,-0.00015,0.0021,0.00013,0.00226,1919,5.0
5class,v6,class,Beaver,recall,0.13966,True,0.12406,0.15525,0.11691,0.17507,1919,5.0
5class,v6,class,Beaver,F1,0.00193,True,,,0.00029,0.00445,1919,5.0
5class,v6,class,Beaver,IoU,0.00097,True,-0.00014,0.00208,0.00013,0.00223,1919,5.0
