scheme,variant,scope,cls,metric,estimate,supportable,ratio_ci_lo,ratio_ci_hi,boot_ci_lo,boot_ci_hi,support,cells_present
10class,v3,class,Development,IoU,0.00019,True,-0.00019,0.00058,0.0,0.00131,1645,10.0
10class,v3,class,Forest,precision,0.86383,True,0.82711,0.90054,0.82113,0.89311,2097871,36.0
10class,v3,class,Forest,recall,0.77618,True,0.69351,0.85886,0.68882,0.85012,2097871,36.0
10class,v3,class,Forest,F1,0.81766,True,,,0.75955,0.86381,2097871,36.0
10class,v3,class,Forest,IoU,0.69157,True,0.61804,0.76509,0.61232,0.76027,2097871,36.0
10class,v3,class,Urban,precision,0.36455,True,0.28455,0.44454,0.29446,0.4522,102095,36.0
10class,v3,class,Urban,recall,0.64902,True,0.5699,0.72815,0.55429,0.71616,102095,36.0
10class,v3,class,Urban,F1,0.46686,True,,,0.40311,0.53207,102095,36.0
10class,v3,class,Urban,IoU,0.30451,True,0.2485,0.36052,0.25243,0.36246,102095,36.0
10class,v3,class,Water,precision,0.94374,True,0.89533,0.99215,0.84925,0.97412,237394,29.0
10class,v3,class,Water,recall,0.91456,True,0.83174,0.99737,0.73881,0.96604,237394,29.0
10class,v3,class,Water,F1,0.92892,True,,,0.80109,0.96523,237394,29.0
10class,v3,class,Water,IoU,0.86727,True,0.76373,0.97081,0.66818,0.9328,237394,29.0
10class,v3,class,Agriculture,precision,0.87289,True,0.83575,0.91003,0.83433,0.90813,976073,23.0
10class,v3,class,Agriculture,recall,0.80338,True,0.73757,0.86919,0.72767,0.86227,976073,23.0
10class,v3,class,Agriculture,F1,0.8367,True,,,0.79276,0.86752,976073,23.0
10class,v3,class,Agriculture,IoU,0.71924,True,0.6652,0.77328,0.65667,0.76604,976073,23.0
10class,v3,class,Grass/Shrub,precision,0.29182,True,0.21261,0.37102,0.20768,0.37193,248539,30.0
10class,v3,class,Grass/Shrub,recall,0.28028,True,0.14954,0.41103,0.15352,0.4148,248539,30.0
10class,v3,class,Grass/Shrub,F1,0.28593,True,,,0.18331,0.36098,248539,30.0
10class,v3,class,Grass/Shrub,IoU,0.16682,True,0.10668,0.22695,0.1009,0.22024,248539,30.0
10class,v3,class,Wetland,precision,0.57931,True,0.44518,0.71343,0.42014,0.69816,337376,22.0
10class,v3,class,Wetland,recall,0.23104,True,0.13874,0.32335,0.15106,0.32467,337376,22.0
10class,v3,class,Wetland,F1,0.33034,True,,,0.2343,0.42485,337376,22.0
10class,v3,class,Wetland,IoU,0.19785,True,0.12725,0.26844,0.1327,0.26972,337376,22.0
10class,v3,class,Beaver,precision,0.0039,True,-0.00394,0.01173,0.0,0.01867,1919,5.0
10class,v3,class,Beaver,recall,0.21991,True,0.04141,0.3984,0.0,0.33409,1919,5.0
10class,v3,class,Beaver,F1,0.00765,True,,,9e-05,0.03584,1919,5.0
10class,v3,class,Beaver,IoU,0.00384,True,-0.00383,0.01151,0.0,0.01789,1919,5.0
10class,v3,class,Insect/Disease,precision,0.00464,True,-0.00194,0.01123,0.0,0.01379,14157,8.0
10class,v3,class,Insect/Disease,recall,0.10786,True,-0.05372,0.26944,9e-05,0.39218,14157,8.0
10class,v3,class,Insect/Disease,F1,0.0089,True,,,2e-05,0.02541,14157,8.0
10class,v3,class,Insect/Disease,IoU,0.00447,True,-0.00181,0.01076,0.0,0.01286,14157,8.0
10class,v4,overall,,OA,0.63534,True,0.58266,0.68802,0.58208,0.68345,4084313,
10class,v4,overall,,kappa,0.46328,True,,,0.38647,0.525,4084313,
10class,v4,overall,,macro_F1,0.28704,True,,,0.25114,0.31244,4084313,
10class,v4,overall,,mean_IoU,0.21043,True,,,0.17758,0.23415,4084313,
10class,v4,overall,,baseline_OA,0.51364,True,,,0.43294,0.59304,4084313,
10class,v4,class,Harvest,precision,0.28134,True,0.10425,0.45844,0.09257,0.45499,67244,18.0
10class,v4,class,Harvest,recall,0.15772,True,0.05526,0.26018,0.05878,0.26517,67244,18.0
10class,v4,class,Harvest,F1,0.20213,True,,,0.07595,0.31335,67244,18.0
10class,v4,class,Harvest,IoU,0.11243,True,0.03926,0.1856,0.03947,0.18578,67244,18.0
10class,v4,class,Development,precision,0.00682,True,0.00052,0.01313,0.00188,0.01445,1645,10.0
10class,v4,class,Development,recall,0.25714,True,0.13142,0.38287,0.16076,0.63321,1645,10.0
10class,v4,class,Development,F1,0.0133,True,,,0.00373,0.02724,1645,10.0
10class,v4,class,Development,IoU,0.00669,True,0.00065,0.01274,0.00187,0.01381,1645,10.0
10class,v4,class,Forest,precision,0.80759,True,0.7415,0.87367,0.73477,0.86129,2097871,36.0
10class,v4,class,Forest,recall,0.79556,True,0.71536,0.87576,0.71458,0.86522,2097871,36.0
10class,v4,class,Forest,F1,0.80153,True,,,0.74529,0.84531,2097871,36.0
10class,v4,class,Forest,IoU,0.66879,True,0.59604,0.74154,0.59399,0.73207,2097871,36.0
10class,v4,class,Urban,precision,0.0628,True,0.03539,0.0902,0.04222,0.09766,102095,36.0
10class,v4,class,Urban,recall,0.27302,True,0.22557,0.32047,0.22878,0.32419,102095,36.0
10class,v4,class,Urban,F1,0.10211,True,,,0.07315,0.14224,102095,36.0
10class,v4,class,Urban,IoU,0.0538,True,0.03405,0.07355,0.03797,0.07657,102095,36.0
10class,v4,class,Water,precision,0.70475,True,0.48953,0.91996,0.34776,0.85099,237394,29.0
10class,v4,class,Water,recall,0.60737,True,0.43442,0.78032,0.36711,0.779,237394,29.0
10class,v4,class,Water,F1,0.65245,True,,,0.36035,0.78539,237394,29.0
10class,v4,class,Water,IoU,0.48417,True,0.29821,0.67013,0.21978,0.64662,237394,29.0
10class,v4,class,Agriculture,precision,0.79705,True,0.74598,0.84812,0.73239,0.83816,976073,23.0
10class,v4,class,Agriculture,recall,0.68599,True,0.60727,0.7647,0.60166,0.76144,976073,23.0
10class,v4,class,Agriculture,F1,0.73736,True,,,0.67361,0.78361,976073,23.0
10class,v4,class,Agriculture,IoU,0.58398,True,0.51883,0.64914,0.50785,0.64421,976073,23.0
10class,v4,class,Grass/Shrub,precision,0.14796,True,0.08054,0.21537,0.09107,0.22166,248539,30.0
10class,v4,class,Grass/Shrub,recall,0.13524,True,0.08009,0.19039,0.08785,0.19761,248539,30.0
10class,v4,class,Grass/Shrub,F1,0.14131,True,,,0.09396,0.19263,248539,30.0
10class,v4,class,Grass/Shrub,IoU,0.07603,True,0.04625,0.1058,0.04929,0.10658,248539,30.0
10class,v4,class,Wetland,precision,0.34195,True,0.17386,0.51003,0.1821,0.52124,337376,22.0
10class,v4,class,Wetland,recall,0.1144,True,0.07735,0.15145,0.07616,0.1611,337376,22.0
10class,v4,class,Wetland,F1,0.17144,True,,,0.11145,0.22242,337376,22.0
10class,v4,class,Wetland,IoU,0.09376,True,0.06419,0.12333,0.05901,0.12512,337376,22.0
10class,v4,class,Beaver,precision,0.01716,True,-0.00425,0.03857,0.00022,0.047,1919,5.0
10class,v4,class,Beaver,recall,0.15842,True,0.0232,0.29363,0.01061,0.50688,1919,5.0
10class,v4,class,Beaver,F1,0.03097,True,,,0.00111,0.07724,1919,5.0
10class,v4,class,Beaver,IoU,0.01573,True,-0.00265,0.0341,0.00022,0.03979,1919,5.0
10class,v4,class,Insect/Disease,precision,0.01064,True,-0.00112,0.0224,0.00127,0.0256,14157,8.0
10class,v4,class,Insect/Disease,recall,0.0539,True,-0.01091,0.1187,0.00832,0.16829,14157,8.0
10class,v4,class,Insect/Disease,F1,0.01777,True,,,0.00235,0.03972,14157,8.0
10class,v4,class,Insect/Disease,IoU,0.00897,True,-0.00045,0.01838,0.00113,0.02026,14157,8.0
10class,v5,overall,,OA,0.64821,True,0.59164,0.70478,0.58881,0.7036,4084313,
10class,v5,overall,,kappa,0.51402,True,,,0.43889,0.58234,4084313,
10class,v5,overall,,macro_F1,0.35745,True,,,0.33604,0.39046,4084313,
10class,v5,overall,,mean_IoU,0.28267,True,,,0.25908,0.29835,4084313,
10class,v5,overall,,baseline_OA,0.51364,True,,,0.43294,0.59304,4084313,
10class,v5,class,Harvest,precision,0.05999,True,0.00716,0.11283,0.01624,0.11209,67244,18.0
10class,v5,class,Harvest,recall,0.12574,True,0.00857,0.2429,0.03985,0.24626,67244,18.0
10class,v5,class,Harvest,F1,0.08123,True,,,0.02394,0.14585,67244,18.0
10class,v5,class,Harvest,IoU,0.04233,True,0.00436,0.08031,0.01212,0.07866,67244,18.0
10class,v5,class,Development,precision,0.00152,True,-0.0005,0.00353,8e-05,0.00443,1645,10.0
10class,v5,class,Development,recall,0.04985,True,0.01149,0.08821,0.00517,0.14359,1645,10.0
10class,v5,class,Development,F1,0.00294,True,,,0.00042,0.00834,1645,10.0
10class,v5,class,Development,IoU,0.00147,True,-0.00044,0.00339,8e-05,0.00418,1645,10.0
10class,v5,class,Forest,precision,0.86726,True,0.84011,0.89441,0.83807,0.89064,2097871,36.0
10class,v5,class,Forest,recall,0.70546,True,0.64043,0.77048,0.638,0.77044,2097871,36.0
10class,v5,class,Forest,F1,0.77803,True,,,0.73132,0.81908,2097871,36.0
10class,v5,class,Forest,IoU,0.63671,True,0.57949,0.69392,0.57645,0.6936,2097871,36.0
10class,v5,class,Urban,precision,0.34461,True,0.26997,0.41925,0.27915,0.42759,102095,36.0
10class,v5,class,Urban,recall,0.64359,True,0.56264,0.72454,0.5505,0.71432,102095,36.0
10class,v5,class,Urban,F1,0.44887,True,,,0.38259,0.51291,102095,36.0
10class,v5,class,Urban,IoU,0.28938,True,0.23495,0.34381,0.23655,0.34491,102095,36.0
10class,v5,class,Water,precision,0.94688,True,0.89902,0.99473,0.84372,0.9761,237394,29.0
10class,v5,class,Water,recall,0.90212,True,0.8139,0.99034,0.72051,0.95737,237394,29.0
10class,v5,class,Water,F1,0.92395,True,,,0.78586,0.96203,237394,29.0
10class,v5,class,Water,IoU,0.85866,True,0.74906,0.96826,0.64726,0.92684,237394,29.0
10class,v5,class,Agriculture,precision,0.87476,True,0.84012,0.90941,0.83847,0.90827,976073,23.0
10class,v5,class,Agriculture,recall,0.78472,True,0.71203,0.8574,0.70268,0.85086,976073,23.0
10class,v5,class,Agriculture,F1,0.8273,True,,,0.77913,0.86059,976073,23.0
10class,v5,class,Agriculture,IoU,0.70546,True,0.64802,0.76291,0.63818,0.7553,976073,23.0
10class,v5,class,Grass/Shrub,precision,0.31674,True,0.23285,0.40063,0.22432,0.40124,248539,30.0
10class,v5,class,Grass/Shrub,recall,0.259,True,0.12751,0.39048,0.12975,0.39414,248539,30.0
10class,v5,class,Grass/Shrub,F1,0.28497,True,,,0.17309,0.37111,248539,30.0
10class,v5,class,Grass/Shrub,IoU,0.16616,True,0.09979,0.23253,0.09474,0.22783,248539,30.0
10class,v5,class,Wetland,precision,0.46729,True,0.34813,0.58645,0.3346,0.57628,337376,22.0
10class,v5,class,Wetland,recall,0.13947,True,0.06317,0.21577,0.07525,0.22129,337376,22.0
10class,v5,class,Wetland,F1,0.21482,True,,,0.12612,0.3038,337376,22.0
10class,v5,class,Wetland,IoU,0.12034,True,0.06188,0.17879,0.0673,0.1791,337376,22.0
10class,v5,class,Beaver,precision,0.0018,True,-0.00137,0.00497,2e-05,0.0066,1919,5.0
10class,v5,class,Beaver,recall,0.31892,True,0.11766,0.52017,0.01326,0.46098,1919,5.0
10class,v5,class,Beaver,F1,0.00359,True,,,4e-05,0.01296,1919,5.0
10class,v5,class,Beaver,IoU,0.0018,True,-0.00135,0.00495,2e-05,0.00652,1919,5.0
10class,v5,class,Insect/Disease,precision,0.00462,True,-0.00246,0.01169,2e-05,0.01315,14157,8.0
10class,v5,class,Insect/Disease,recall,0.08067,True,-0.06051,0.22184,0.0003,0.3635,14157,8.0
10class,v5,class,Insect/Disease,F1,0.00874,True,,,7e-05,0.02434,14157,8.0
10class,v5,class,Insect/Disease,IoU,0.00439,True,-0.0023,0.01108,2e-05,0.01229,14157,8.0
10class,v6,overall,,OA,0.19295,True,0.1707,0.2152,0.17186,0.2157,4084313,
10class,v6,overall,,kappa,0.08186,True,,,0.06068,0.10192,4084313,
10class,v6,overall,,macro_F1,0.10337,True,,,0.09303,0.11191,4084313,
10class,v6,overall,,mean_IoU,0.05925,True,,,0.05254,0.06506,4084313,
10class,v6,overall,,baseline_OA,0.51364,True,,,0.43294,0.59304,4084313,
10class,v6,class,Harvest,precision,0.02027,True,0.00775,0.03279,0.00922,0.03492,67244,18.0
10class,v6,class,Harvest,recall,0.10318,True,0.08414,0.12221,0.08659,0.12433,67244,18.0
10class,v6,class,Harvest,F1,0.03388,True,,,0.01671,0.05274,67244,18.0
10class,v6,class,Harvest,IoU,0.01723,True,0.00807,0.0264,0.00843,0.02709,67244,18.0
10class,v6,class,Development,precision,0.00118,True,0.0001,0.00226,0.00031,0.0024,1645,10.0
10class,v6,class,Development,recall,0.23161,True,0.15793,0.30529,0.17039,0.44138,1645,10.0
10class,v6,class,Development,F1,0.00235,True,,,0.00061,0.00474,1645,10.0
10class,v6,class,Development,IoU,0.00118,True,0.0001,0.00225,0.00031,0.00238,1645,10.0
10class,v6,class,Forest,precision,0.76927,True,0.71336,0.82519,0.70552,0.82053,2097871,36.0
10class,v6,class,Forest,recall,0.19,True,0.16178,0.21822,0.16056,0.21659,2097871,36.0
10class,v6,class,Forest,F1,0.30474,True,,,0.26401,0.34143,2097871,36.0
10class,v6,class,Forest,IoU,0.17976,True,0.15283,0.20668,0.15208,0.20586,2097871,36.0
10class,v6,class,Urban,precision,0.02012,True,0.01391,0.02632,0.01499,0.02729,102095,36.0
10class,v6,class,Urban,recall,0.09654,True,0.08632,0.10675,0.08779,0.10888,102095,36.0
10class,v6,class,Urban,F1,0.0333,True,,,0.02615,0.04224,102095,36.0
10class,v6,class,Urban,IoU,0.01693,True,0.01271,0.02115,0.01325,0.02158,102095,36.0
10class,v6,class,Water,precision,0.05053,True,0.01693,0.08413,0.02217,0.09045,237394,29.0
10class,v6,class,Water,recall,0.12501,True,0.06976,0.18026,0.08375,0.20456,237394,29.0
10class,v6,class,Water,F1,0.07197,True,,,0.03781,0.10539,237394,29.0
10class,v6,class,Water,IoU,0.03733,True,0.01904,0.05562,0.01927,0.05563,237394,29.0
