,Harvest,Development,Forest,Urban,Water,Agriculture,Grass/Shrub,Wetland,Beaver,Insect/Disease
Harvest,7087,188,42763,704,24,280,8683,1421,3014,3080
Development,4,6,425,744,3,393,0,9,0,61
Forest,29762,3242,1628335,6385,3965,10007,94509,15888,25154,280624
Urban,1419,1321,12132,66262,665,10927,3254,3001,872,2242
Water,229,79,8666,734,217110,516,265,3341,3207,3247
Agriculture,4980,22576,48759,78818,809,784161,22577,9702,95,3596
Grass/Shrub,3293,976,44868,16791,477,72906,69661,22142,10054,7371
Wetland,2485,883,89020,10826,6737,18909,39435,77949,64143,26989
Beaver,0,41,290,188,244,9,23,639,422,63
Insect/Disease,127,10,9768,314,19,242,309,464,1377,1527
