,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,3644286,8540,20814,191853,137999
Harvest,46831,10105,584,4047,5677
Development,1389,11,197,48,0
Insect/Disease,11352,79,55,1165,1506
Beaver,1388,8,78,21,424
