,Harvest,Development,Forest,Urban,Water,Agriculture,Grass/Shrub,Wetland,Beaver,Insect/Disease
Harvest,8455,125,45420,341,21,325,2455,1268,6489,2345
Development,6,82,465,571,4,471,0,20,1,25
Forest,112321,6936,1479955,6719,3168,10613,83323,14093,163628,217115
Urban,2105,2039,11612,65707,720,10543,2912,2831,2568,1058
Water,404,291,8405,952,214157,561,175,3535,7615,1299
Agriculture,3846,35497,51450,81326,1758,765942,21701,11302,1153,2098
Grass/Shrub,5832,4659,41907,17835,362,68985,64371,19973,20110,4505
Wetland,6628,4408,59634,16717,5859,17889,27478,47054,134032,17677
Beaver,47,64,198,193,100,10,329,347,612,19
Insect/Disease,1286,15,7424,309,23,259,488,273,2938,1142
