category,label,pixels,area_ha,area_km2,pct_of_valid
0,background,1077425666,10774256.66,107742.5666,
1,agree,1362475812,13624758.12,136247.5812,55.9703
2,stable/stable mismatch,798166666,7981666.66,79816.6666,32.7885
3,v2-change / v4-stable,188426665,1884266.65,18842.6665,7.7405
4,v4-change / v2-stable,68217891,682178.91,6821.7891,2.8024
5,change/change mismatch,16998022,169980.22,1699.8022,0.6983
