version,W,ref_code,ref_class,map_code,map_class,count
v2,3,3,Forest,7,Grass/Shrub,82928
v2,3,3,Forest,8,Wetland,42876
v2,3,3,Forest,9,Beaver,85941
v2,3,3,Forest,10,Insect/Disease,32438
v2,3,4,Urban,1,Harvest,368
v2,3,4,Urban,2,Development,1286
v2,3,4,Urban,3,Forest,2882
v2,3,4,Urban,4,Urban,44508
v2,3,4,Urban,5,Water,277
v2,3,4,Urban,6,Agriculture,3758
v2,3,4,Urban,7,Grass/Shrub,1272
v2,3,4,Urban,8,Wetland,2117
v2,3,4,Urban,9,Beaver,207
v2,3,4,Urban,10,Insect/Disease,84
v2,3,5,Water,1,Harvest,1
v2,3,5,Water,2,Development,151
v2,3,5,Water,3,Forest,2297
v2,3,5,Water,4,Urban,279
v2,3,5,Water,5,Water,149460
v2,3,5,Water,6,Agriculture,55
v2,3,5,Water,7,Grass/Shrub,548
v2,3,5,Water,8,Wetland,4299
v2,3,5,Water,9,Beaver,782
v2,3,5,Water,10,Insect/Disease,157
v2,3,6,Agriculture,1,Harvest,1028
v2,3,6,Agriculture,2,Development,6260
v2,3,6,Agriculture,3,Forest,9999
v2,3,6,Agriculture,4,Urban,28893
v2,3,6,Agriculture,5,Water,222
v2,3,6,Agriculture,6,Agriculture,232849
v2,3,6,Agriculture,7,Grass/Shrub,19508
v2,3,6,Agriculture,8,Wetland,5118
v2,3,6,Agriculture,9,Beaver,425
v2,3,6,Agriculture,10,Insect/Disease,160
v2,3,7,Grass/Shrub,1,Harvest,2702
v2,3,7,Grass/Shrub,2,Development,4064
v2,3,7,Grass/Shrub,3,Forest,22646
v2,3,7,Grass/Shrub,4,Urban,22570
v2,3,7,Grass/Shrub,5,Water,200
v2,3,7,Grass/Shrub,6,Agriculture,28640
v2,3,7,Grass/Shrub,7,Grass/Shrub,52705
v2,3,7,Grass/Shrub,8,Wetland,26636
v2,3,7,Grass/Shrub,9,Beaver,5383
v2,3,7,Grass/Shrub,10,Insect/Disease,2345
v2,3,8,Wetland,1,Harvest,349
v2,3,8,Wetland,2,Development,947
v2,3,8,Wetland,3,Forest,33766
v2,3,8,Wetland,4,Urban,6713
v2,3,8,Wetland,5,Water,7801
v2,3,8,Wetland,6,Agriculture,4389
v2,3,8,Wetland,7,Grass/Shrub,33322
v2,3,8,Wetland,8,Wetland,67748
v2,3,8,Wetland,9,Beaver,28220
v2,3,8,Wetland,10,Insect/Disease,7033
v2,3,9,Beaver,1,Harvest,3
v2,3,9,Beaver,2,Development,8
v2,3,9,Beaver,3,Forest,43
v2,3,9,Beaver,4,Urban,11
v2,3,9,Beaver,5,Water,18
v2,3,9,Beaver,6,Agriculture,36
v2,3,9,Beaver,7,Grass/Shrub,102
v2,3,9,Beaver,8,Wetland,258
v2,3,9,Beaver,9,Beaver,248
v2,3,9,Beaver,10,Insect/Disease,29
v2,3,10,Insect/Disease,1,Harvest,661
v2,3,10,Insect/Disease,2,Development,3
v2,3,10,Insect/Disease,3,Forest,1615
v2,3,10,Insect/Disease,4,Urban,42
v2,3,10,Insect/Disease,6,Agriculture,15
v2,3,10,Insect/Disease,7,Grass/Shrub,182
