Source,Neighbor-change,Pooled OA,Valid pixel pairs
v2,0.085,0.659,20382432
v3,0.084,0.635,20382432
v4,0.155,0.245,20382432
v5,0.093,0.594,20382432
v6,0.801,0.13,20382432
