Source,OA,Kappa,Macro-F1,Mean IoU,N cells,N pixels
v2,0.659,0.536,0.383,0.301,180,20404977
v3,0.635,0.514,0.381,0.299,180,20404977
v4,0.245,0.123,0.162,0.096,180,20404977
v5,0.593,0.472,0.365,0.285,180,20404977
v6,0.13,0.04,0.089,0.049,180,20404977
spec_all,0.588,0.461,0.362,0.275,168,18756059
