category,label,pixels,area_ha,area_km2,pct_of_valid
0,background,1077425666,10774256.66,107742.5666,
1,agree,1246382575,12463825.75,124638.2575,51.2012
2,stable/stable mismatch,740694737,7406947.37,74069.4737,30.4276
3,v3-change / v4-stable,355126545,3551265.45,35512.6545,14.5885
4,v4-change / v3-stable,77306820,773068.2,7730.682,3.1758
5,change/change mismatch,14774379,147743.79,1477.4379,0.6069
