version,neighbor_change_full,valid_pairs,valid_px,total_px,coverage
v2,0.0745,2434128480,2434285056,3511710722,0.6932
v3,0.0771,2434128480,2434285056,3511710722,0.6932
v4,0.1347,2434128480,2434285056,3511710722,0.6932
v5,0.0911,2434128480,2434285056,3511710722,0.6932
v6,0.7811,2434128480,2434285056,3511710722,0.6932
