version,neighbor_change,overlapping,scored,overall_accuracy,macro_f1,mean_iou,kappa
v2,0.084,223,223,0.6513,0.3737,0.2924,0.5235
v3,0.082,223,223,0.6,0.3678,0.2859,0.477
v4,0.152,223,223,0.5045,0.2388,0.1601,0.3147
v5,0.086,223,223,0.5599,0.3561,0.2744,0.437
v6,0.833,223,223,0.185,0.102,0.0572,0.0578
