,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,27002,3779,118196,2643,55,1201,11889,4549,21324,42131
development,291,1834,1207,4702,57,3535,90,204,50,626
forest,144426,27320,7610881,126323,20614,64885,712218,370823,853547,638523
urban,9112,23147,63968,454295,8530,49911,13788,27216,6300,4879
water,15,1778,18526,7799,1645826,1303,625,39706,7526,2804
ag,11190,57598,115480,298385,2756,2437598,81311,99278,2907,3794
grass_shrub,15060,55607,233175,267848,3202,343725,401648,367597,64193,16880
wetland,5341,15702,415716,127463,99818,83297,264946,867230,296320,71174
beaver,20,81,1178,200,439,32,523,2383,2817,348
insect_disease,7863,535,36735,898,202,436,2993,2433,9973,6670
