,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,116680,2755,59760,3030,63,1229,12728,5051,9864,21609
development,555,722,1232,5702,102,3610,85,208,35,345
forest,98083,20649,8214221,126758,30247,61819,837845,388600,263122,528216
urban,1987,23480,57779,463988,9121,49801,17215,28104,2863,6808
water,23,20,18686,7547,1654317,1340,807,38412,2302,2454
ag,1478,36962,110155,306578,3412,2455497,84867,101254,805,9289
grass_shrub,8568,45673,227439,277830,4486,345132,423719,386771,19619,29698
wetland,7014,1323,446263,135501,112392,82168,336125,945940,111839,68442
beaver,55,28,1395,239,490,22,618,2936,1889,349
insect_disease,5245,294,42981,1032,221,465,3653,4004,5323,5520
