,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,0.12256,0.02017,0.01372,0.00205,3e-05,0.0004,0.00798,0.00255,0.01686,0.05348
development,0.00132,0.00979,0.00014,0.00364,3e-05,0.00118,6e-05,0.00011,4e-05,0.00079
forest,0.65553,0.1458,0.88344,0.09788,0.01157,0.02173,0.47799,0.20816,0.67476,0.81048
urban,0.04136,0.12353,0.00743,0.35201,0.00479,0.01672,0.00925,0.01528,0.00498,0.00619
water,7e-05,0.00949,0.00215,0.00604,0.92384,0.00044,0.00042,0.02229,0.00595,0.00356
ag,0.05079,0.30738,0.0134,0.23121,0.00155,0.81636,0.05457,0.05573,0.0023,0.00482
grass_shrub,0.06836,0.29676,0.02707,0.20754,0.0018,0.11512,0.26956,0.20635,0.05075,0.02143
wetland,0.02424,0.0838,0.04825,0.09877,0.05603,0.0279,0.17781,0.48682,0.23425,0.09034
beaver,9e-05,0.00043,0.00014,0.00015,0.00025,1e-05,0.00035,0.00134,0.00223,0.00044
insect_disease,0.03569,0.00286,0.00426,0.0007,0.00011,0.00015,0.00201,0.00137,0.00788,0.00847
