,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,0.4868,0.02089,0.00651,0.00228,3e-05,0.00041,0.00741,0.00266,0.02362,0.03212
development,0.00232,0.00547,0.00013,0.00429,6e-05,0.0012,5e-05,0.00011,8e-05,0.00051
forest,0.40921,0.15654,0.8948,0.09544,0.01667,0.0206,0.48778,0.20439,0.62999,0.78518
urban,0.00829,0.17801,0.00629,0.34933,0.00503,0.01659,0.01002,0.01478,0.00685,0.01012
water,0.0001,0.00015,0.00204,0.00568,0.91154,0.00045,0.00047,0.0202,0.00551,0.00365
ag,0.00617,0.28021,0.012,0.23082,0.00188,0.8182,0.04941,0.05326,0.00193,0.01381
grass_shrub,0.03575,0.34625,0.02478,0.20918,0.00247,0.115,0.24668,0.20343,0.04697,0.04415
wetland,0.02926,0.01003,0.04861,0.10202,0.06193,0.02738,0.19569,0.49753,0.26777,0.10174
beaver,0.00023,0.00021,0.00015,0.00018,0.00027,1e-05,0.00036,0.00154,0.00452,0.00052
insect_disease,0.02188,0.00223,0.00468,0.00078,0.00012,0.00015,0.00213,0.00211,0.01274,0.00821
