,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,156065,8215,35359,1848,50,987,7950,3686,8217,10392
development,1107,2695,293,4586,65,3256,44,178,32,340
forest,400790,187846,7273081,114181,22577,62827,650342,312884,897067,647965
urban,5537,54484,43312,442223,8662,51580,12630,27086,9864,5768
water,383,1088,14155,8726,1640929,1309,403,38089,17760,3066
ag,3819,161702,84151,265834,2853,2412021,76431,91114,3355,9017
grass_shrub,21646,131632,175462,243535,3272,343464,382052,346375,89027,32470
wetland,24122,34666,367245,125203,94352,81328,252843,854566,332053,80629
beaver,197,171,854,182,421,22,435,2526,2900,313
insect_disease,12013,2045,31071,853,193,388,2420,1975,11952,5828
