,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,0.24943,0.01405,0.00441,0.00153,3e-05,0.00033,0.00574,0.0022,0.00599,0.01306
development,0.00177,0.00461,4e-05,0.0038,4e-05,0.0011,3e-05,0.00011,2e-05,0.00043
forest,0.64057,0.32135,0.9063,0.09459,0.01273,0.02125,0.46937,0.18641,0.65373,0.81424
urban,0.00885,0.09321,0.0054,0.36633,0.00488,0.01744,0.00912,0.01614,0.00719,0.00725
water,0.00061,0.00186,0.00176,0.00723,0.92531,0.00044,0.00029,0.02269,0.01294,0.00385
ag,0.0061,0.27663,0.01049,0.22021,0.00161,0.81565,0.05516,0.05428,0.00244,0.01133
grass_shrub,0.0346,0.22519,0.02186,0.20174,0.00185,0.11615,0.27574,0.20636,0.06488,0.0408
wetland,0.03855,0.0593,0.04576,0.10372,0.0532,0.0275,0.18249,0.50913,0.24198,0.10132
beaver,0.00031,0.00029,0.00011,0.00015,0.00024,1e-05,0.00031,0.0015,0.00211,0.00039
insect_disease,0.0192,0.0035,0.00387,0.00071,0.00011,0.00013,0.00175,0.00118,0.00871,0.00732
