,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,0.67047,0.03529,0.15191,0.00794,0.00021,0.00424,0.03415,0.01584,0.0353,0.04465
development,0.08789,0.21396,0.02326,0.36408,0.00516,0.25849,0.00349,0.01413,0.00254,0.02699
forest,0.03792,0.01777,0.68812,0.0108,0.00214,0.00594,0.06153,0.0296,0.08487,0.0613
urban,0.00837,0.08241,0.06551,0.66887,0.0131,0.07802,0.0191,0.04097,0.01492,0.00872
water,0.00022,0.00063,0.0082,0.00506,0.95076,0.00076,0.00023,0.02207,0.01029,0.00178
ag,0.00123,0.05199,0.02706,0.08547,0.00092,0.7755,0.02457,0.02929,0.00108,0.0029
grass_shrub,0.01224,0.07441,0.09919,0.13767,0.00185,0.19416,0.21598,0.19581,0.05033,0.01836
wetland,0.01074,0.01543,0.16344,0.05572,0.04199,0.03619,0.11252,0.38031,0.14778,0.03588
beaver,0.02456,0.02132,0.10647,0.02269,0.05249,0.00274,0.05423,0.31492,0.36155,0.03902
insect_disease,0.17477,0.02975,0.45202,0.01241,0.00281,0.00564,0.03521,0.02873,0.17388,0.08479
