,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,0.64555,0.0283,0.17032,0.0097,0.00014,0.00482,0.04084,0.02062,0.03633,0.04337
development,0.08542,0.17132,0.03303,0.37393,0.00659,0.2862,0.00437,0.01516,0.00159,0.02239
forest,0.02901,0.01024,0.72156,0.0116,0.00219,0.00601,0.06846,0.03629,0.05994,0.0547
urban,0.00657,0.0629,0.07206,0.68171,0.0133,0.08114,0.02085,0.04383,0.00942,0.00822
water,0.00012,0.00047,0.00949,0.00458,0.95093,0.00081,0.00034,0.02347,0.00813,0.00166
ag,0.00103,0.02647,0.03161,0.09056,0.00095,0.7887,0.02604,0.03149,0.00056,0.00259
grass_shrub,0.01062,0.046,0.11215,0.14032,0.00182,0.20168,0.22755,0.21264,0.03011,0.01712
wetland,0.00854,0.00693,0.17498,0.0566,0.04253,0.03792,0.12092,0.41237,0.10398,0.03524
beaver,0.01546,0.01883,0.12991,0.0182,0.05822,0.00299,0.06682,0.34746,0.30133,0.04077
insect_disease,0.16249,0.0212,0.457,0.01411,0.00306,0.00726,0.05242,0.05259,0.14721,0.08268
