,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,0.116,0.01623,0.50778,0.01135,0.00024,0.00516,0.05108,0.01954,0.09161,0.181
development,0.0231,0.1456,0.09582,0.37329,0.00453,0.28064,0.00715,0.0162,0.00397,0.0497
forest,0.01366,0.00258,0.72008,0.01195,0.00195,0.00614,0.06738,0.03508,0.08076,0.06041
urban,0.01378,0.03501,0.09675,0.68713,0.0129,0.07549,0.02085,0.04116,0.00953,0.00738
water,1e-05,0.00103,0.01073,0.00452,0.9536,0.00075,0.00036,0.02301,0.00436,0.00162
ag,0.0036,0.01852,0.03713,0.09593,0.00089,0.78372,0.02614,0.03192,0.00093,0.00122
grass_shrub,0.00851,0.03144,0.13182,0.15142,0.00181,0.19431,0.22706,0.20781,0.03629,0.00954
wetland,0.00238,0.00699,0.18501,0.05673,0.04442,0.03707,0.11791,0.38595,0.13187,0.03168
beaver,0.00249,0.0101,0.14686,0.02493,0.05473,0.00399,0.0652,0.2971,0.3512,0.04339
insect_disease,0.11439,0.00778,0.53442,0.01306,0.00294,0.00634,0.04354,0.0354,0.14509,0.09704
