system:index,agent,max_m2,mean_m2,median_m2,min_m2,n_polys,sd_m2,total_m2,.geo
0,harvest,2216906.9964194875,76480.85649479947,23562.26211194541,8044.839422648536,7032,132664.22690879204,5.378133828714299E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,development,470132.59199534345,27764.63175798816,15244.314180276333,8044.566947682887,2360,39597.092334087494,6.552453094885206E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,insect_disease_mort,776211.8756777679,27632.77775666105,14686.707160390966,8059.109689878128,99,77167.86395891309,2735644.997909444,"{""type"":""MultiPoint"",""coordinates"":[]}"
