system:index,agent,max_m2,mean_m2,median_m2,min_m2,n_polys,total_m2,year,.geo
0,harvest,644400.0,71086.60302822545,30168.433296549578,8100.0,385,2.7368342165866796E7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,development,248371.51455166418,26317.367886721637,15014.718140934288,8100.0,211,5552964.624098266,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,beaver,140400.0,21204.0,14400.0,8100.0,25,530100.0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,insect_disease_mort,25200.0,21600.0,21600.0,18000.0,2,43200.0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
