version,W,n,cls,sd_simple,sd_strat,strat_efficiency
v6,5,50,Stable,0.02113,0.05416,2.563
v6,5,50,Harvest,0.02482,0.02017,0.813
v6,5,50,Development,0.0587,0.00638,0.109
v6,5,50,Insect/Disease,0.03587,0.03197,0.891
v6,5,50,Beaver,0.01236,0.00081,0.065
v6,5,100,Stable,0.01451,0.03365,2.32
v6,5,100,Harvest,0.02096,0.01484,0.708
v6,5,100,Development,0.04713,0.00202,0.043
v6,5,100,Insect/Disease,0.01554,0.01241,0.799
v6,5,100,Beaver,0.00948,0.01076,1.134
v6,5,200,Stable,0.0121,0.02317,1.914
v6,5,200,Harvest,0.01449,0.01996,1.378
v6,5,200,Development,0.03294,0.00895,0.272
v6,5,200,Insect/Disease,0.00871,0.01095,1.256
v6,5,200,Beaver,0.01314,0.00385,0.293
v6,5,500,Stable,0.00799,0.01427,1.785
v6,5,500,Harvest,0.01129,0.00719,0.636
v6,5,500,Development,0.01017,0.01133,1.114
v6,5,500,Insect/Disease,0.00418,0.00658,1.574
v6,5,500,Beaver,0.00392,0.00184,0.468
v6,5,1000,Stable,0.00545,0.00946,1.737
v6,5,1000,Harvest,0.00903,0.00624,0.691
v6,5,1000,Development,0.00671,0.00442,0.659
v6,5,1000,Insect/Disease,0.00354,0.00607,1.715
v6,5,1000,Beaver,0.00205,0.00241,1.175
v6,5,2000,Stable,0.00357,0.00692,1.936
v6,5,2000,Harvest,0.00624,0.0052,0.835
v6,5,2000,Development,0.00524,0.00425,0.812
v6,5,2000,Insect/Disease,0.00236,0.00442,1.868
v6,5,2000,Beaver,0.00154,0.001,0.649
v6,5,5000,Stable,0.00241,0.00502,2.082
v6,5,5000,Harvest,0.00348,0.00288,0.827
v6,5,5000,Development,0.00287,0.00189,0.659
v6,5,5000,Insect/Disease,0.00172,0.00219,1.277
v6,5,5000,Beaver,0.00086,0.00108,1.267
v6,7,20,Stable,0.03089,0.07843,2.539
v6,7,20,Harvest,0.04461,0.01639,0.367
v6,7,20,Development,0.10683,0.03771,0.353
v6,7,20,Insect/Disease,0.00788,0.02169,2.754
v6,7,20,Beaver,,0.00125,
v6,7,50,Stable,0.02186,0.04654,2.129
v6,7,50,Harvest,0.02671,0.01844,0.69
v6,7,50,Development,0.00968,0.00748,0.772
v6,7,50,Insect/Disease,0.01541,0.02879,1.868
v6,7,50,Beaver,0.01887,0.00849,0.45
v6,7,100,Stable,0.01402,0.0356,2.54
v6,7,100,Harvest,0.0188,0.01329,0.707
v6,7,100,Development,0.02098,0.00295,0.141
v6,7,100,Insect/Disease,0.0092,0.01202,1.307
v6,7,100,Beaver,0.00528,0.00893,1.692
v6,7,200,Stable,0.01062,0.02473,2.329
v6,7,200,Harvest,0.01551,0.00996,0.642
v6,7,200,Development,0.01957,0.00164,0.084
v6,7,200,Insect/Disease,0.00444,0.01232,2.776
v6,7,200,Beaver,0.00988,0.00308,0.312
v6,7,500,Stable,0.00684,0.01427,2.086
v6,7,500,Harvest,0.00937,0.00969,1.035
v6,7,500,Development,0.01156,0.00369,0.319
v6,7,500,Insect/Disease,0.0039,0.00724,1.855
v6,7,500,Beaver,0.00249,0.00144,0.581
v6,7,1000,Stable,0.00439,0.01111,2.531
v6,7,1000,Harvest,0.00793,0.00506,0.639
v6,7,1000,Development,0.00571,0.00536,0.939
v6,7,1000,Insect/Disease,0.00261,0.00374,1.433
v6,7,1000,Beaver,0.00204,0.0013,0.638
v6,7,2000,Stable,0.00336,0.00676,2.009
v6,7,2000,Harvest,0.00508,0.00448,0.882
v6,7,2000,Development,0.00341,0.00419,1.231
v6,7,2000,Insect/Disease,0.00176,0.00236,1.344
v6,7,2000,Beaver,0.00117,0.00168,1.44
v6,7,5000,Stable,0.00228,0.00422,1.851
v6,7,5000,Harvest,0.00336,0.00262,0.779
v6,7,5000,Development,0.00242,0.00248,1.024
v6,7,5000,Insect/Disease,0.00123,0.0019,1.542
v6,7,5000,Beaver,0.00082,0.00098,1.202
v6,9,20,Stable,0.03179,0.07726,2.431
v6,9,20,Harvest,0.04934,0.01911,0.387
v6,9,20,Development,0.00883,0.01664,1.883
v6,9,20,Insect/Disease,0.01191,0.01388,1.166
v6,9,20,Beaver,,0.01031,
v6,9,50,Stable,0.02037,0.05297,2.6
v6,9,50,Harvest,0.01845,0.02203,1.194
v6,9,50,Development,0.07881,0.0029,0.037
v6,9,50,Insect/Disease,0.01253,0.01157,0.923
v6,9,50,Beaver,0.00383,0.01137,2.966
v6,9,100,Stable,0.01576,0.03178,2.016
v6,9,100,Harvest,0.01717,0.01407,0.819
v6,9,100,Development,0.01768,0.01625,0.919
v6,9,100,Insect/Disease,0.00604,0.013,2.152
v6,9,100,Beaver,0.01711,0.00459,0.268
v6,9,200,Stable,0.01225,0.02186,1.785
v6,9,200,Harvest,0.0142,0.0087,0.613
v6,9,200,Development,0.02284,0.01504,0.658
v6,9,200,Insect/Disease,0.00438,0.0084,1.916
v6,9,200,Beaver,0.00638,0.00012,0.018
v6,9,500,Stable,0.00616,0.01557,2.528
v6,9,500,Harvest,0.00811,0.00709,0.874
v6,9,500,Development,0.00782,0.00498,0.636
v6,9,500,Insect/Disease,0.00311,0.00655,2.108
v6,9,500,Beaver,0.00365,0.00351,0.961
v6,9,1000,Stable,0.00407,0.01052,2.583
v6,9,1000,Harvest,0.00631,0.00562,0.89
v6,9,1000,Development,0.00451,0.00538,1.193
v6,9,1000,Insect/Disease,0.00237,0.00313,1.318
v6,9,1000,Beaver,0.00203,0.00225,1.107
v6,9,2000,Stable,0.0031,0.00742,2.389
v6,9,2000,Harvest,0.00476,0.00387,0.813
v6,9,2000,Development,0.00426,0.00434,1.018
v6,9,2000,Insect/Disease,0.00165,0.00296,1.786
v6,9,2000,Beaver,0.00126,0.00177,1.408
v6,9,5000,Stable,0.002,0.00419,2.098
v6,9,5000,Harvest,0.0028,0.00222,0.793
v6,9,5000,Development,0.00292,0.00206,0.705
v6,9,5000,Insect/Disease,0.0011,0.00165,1.499
v6,9,5000,Beaver,0.00072,0.00095,1.308
