design,version,W,n,cls,census_corr,mean_corr,frac_undefined,mean_rmse,mean_bias
strat,v2,1,5000,Beaver,0.0186,0.2351,0.0,0.4609,-0.0759
simple,v2,3,20,Stable,0.0692,0.0734,0.55,0.275,-0.0936
simple,v2,3,20,Harvest,0.0874,0.1398,0.91,0.0739,0.0018
simple,v2,3,20,Development,0.0306,-0.0526,0.99,0.0321,0.0056
simple,v2,3,20,Insect/Disease,0.0163,0.0097,0.9,0.1086,0.023
simple,v2,3,20,Beaver,0.0279,-0.0736,0.97,0.1883,0.0632
strat,v2,3,20,Stable,0.0692,0.135,0.0,0.5899,0.3294
strat,v2,3,20,Harvest,0.0874,0.0789,0.21,0.4097,-0.1247
strat,v2,3,20,Development,0.0306,0.3945,0.62,0.315,-0.1182
strat,v2,3,20,Insect/Disease,0.0163,0.1281,0.44,0.3105,-0.0904
strat,v2,3,20,Beaver,0.0279,0.2576,0.0,0.328,0.0039
simple,v2,3,50,Stable,0.0692,0.0481,0.23,0.2787,-0.0846
simple,v2,3,50,Harvest,0.0874,0.2778,0.62,0.0904,-0.0009
simple,v2,3,50,Development,0.0306,-0.0276,0.95,0.0472,0.0071
simple,v2,3,50,Insect/Disease,0.0163,0.0409,0.74,0.0908,0.014
simple,v2,3,50,Beaver,0.0279,0.1006,0.87,0.2143,0.0645
strat,v2,3,50,Stable,0.0692,0.1546,0.0,0.5872,0.3265
strat,v2,3,50,Harvest,0.0874,0.1252,0.01,0.4013,-0.1257
strat,v2,3,50,Development,0.0306,0.2124,0.17,0.3181,-0.1141
strat,v2,3,50,Insect/Disease,0.0163,0.0484,0.1,0.3241,-0.0883
strat,v2,3,50,Beaver,0.0279,0.2724,0.0,0.3377,0.0015
simple,v2,3,100,Stable,0.0692,0.0954,0.02,0.2934,-0.089
simple,v2,3,100,Harvest,0.0874,0.1324,0.34,0.1167,-0.0004
simple,v2,3,100,Development,0.0306,0.0576,0.83,0.0646,0.0071
simple,v2,3,100,Insect/Disease,0.0163,-0.0036,0.38,0.1309,0.0181
simple,v2,3,100,Beaver,0.0279,0.097,0.89,0.2188,0.0642
strat,v2,3,100,Stable,0.0692,0.1525,0.0,0.5899,0.3302
strat,v2,3,100,Harvest,0.0874,0.106,0.01,0.4044,-0.1263
strat,v2,3,100,Development,0.0306,0.2233,0.07,0.3177,-0.1163
strat,v2,3,100,Insect/Disease,0.0163,0.0535,0.01,0.3231,-0.0942
strat,v2,3,100,Beaver,0.0279,0.2828,0.0,0.3384,0.0066
simple,v2,3,200,Stable,0.0692,0.0598,0.01,0.2961,-0.0909
simple,v2,3,200,Harvest,0.0874,0.068,0.08,0.1141,-0.0015
simple,v2,3,200,Development,0.0306,0.0224,0.61,0.0691,0.0067
simple,v2,3,200,Insect/Disease,0.0163,0.0261,0.19,0.1369,0.0195
simple,v2,3,200,Beaver,0.0279,0.0586,0.73,0.2251,0.0663
strat,v2,3,200,Stable,0.0692,0.1432,0.0,0.5912,0.3278
strat,v2,3,200,Harvest,0.0874,0.1066,0.0,0.4049,-0.1286
strat,v2,3,200,Development,0.0306,0.2033,0.01,0.3139,-0.1116
strat,v2,3,200,Insect/Disease,0.0163,0.0473,0.0,0.321,-0.095
strat,v2,3,200,Beaver,0.0279,0.2682,0.0,0.3434,0.0075
simple,v2,3,500,Stable,0.0692,0.0552,0.0,0.2961,-0.0895
simple,v2,3,500,Harvest,0.0874,0.0905,0.0,0.1228,-0.0016
simple,v2,3,500,Development,0.0306,0.0242,0.4,0.0725,0.0069
simple,v2,3,500,Insect/Disease,0.0163,0.02,0.01,0.1377,0.0186
simple,v2,3,500,Beaver,0.0279,0.0287,0.46,0.2242,0.0656
strat,v2,3,500,Stable,0.0692,0.1392,0.0,0.5932,0.3308
strat,v2,3,500,Harvest,0.0874,0.0999,0.0,0.4061,-0.1294
strat,v2,3,500,Development,0.0306,0.1996,0.0,0.3176,-0.1139
strat,v2,3,500,Insect/Disease,0.0163,0.0603,0.0,0.3172,-0.0937
strat,v2,3,500,Beaver,0.0279,0.2807,0.0,0.342,0.0062
simple,v2,3,1000,Stable,0.0692,0.0641,0.0,0.2962,-0.0908
simple,v2,3,1000,Harvest,0.0874,0.0758,0.0,0.1231,-0.0012
simple,v2,3,1000,Development,0.0306,0.0542,0.16,0.0748,0.0073
simple,v2,3,1000,Insect/Disease,0.0163,0.016,0.0,0.1378,0.0184
simple,v2,3,1000,Beaver,0.0279,0.0265,0.17,0.2256,0.0663
strat,v2,3,1000,Stable,0.0692,0.1474,0.0,0.5914,0.3292
strat,v2,3,1000,Harvest,0.0874,0.0963,0.0,0.4074,-0.1296
strat,v2,3,1000,Development,0.0306,0.2171,0.0,0.3167,-0.1129
strat,v2,3,1000,Insect/Disease,0.0163,0.0611,0.0,0.3179,-0.0922
strat,v2,3,1000,Beaver,0.0279,0.2875,0.0,0.3409,0.0055
simple,v2,3,2000,Stable,0.0692,0.067,0.0,0.2976,-0.0915
simple,v2,3,2000,Harvest,0.0874,0.0877,0.0,0.1244,-0.0011
simple,v2,3,2000,Development,0.0306,0.0309,0.03,0.0765,0.0072
simple,v2,3,2000,Insect/Disease,0.0163,0.0147,0.0,0.1387,0.0187
simple,v2,3,2000,Beaver,0.0279,0.0285,0.03,0.2263,0.0667
strat,v2,3,2000,Stable,0.0692,0.1493,0.0,0.5911,0.3298
strat,v2,3,2000,Harvest,0.0874,0.1029,0.0,0.4071,-0.1295
strat,v2,3,2000,Development,0.0306,0.2202,0.0,0.3155,-0.1125
strat,v2,3,2000,Insect/Disease,0.0163,0.0592,0.0,0.3189,-0.0933
strat,v2,3,2000,Beaver,0.0279,0.2878,0.0,0.3402,0.0055
simple,v2,3,5000,Stable,0.0692,0.0738,0.0,0.298,-0.0916
simple,v2,3,5000,Harvest,0.0874,0.0962,0.0,0.1248,-0.0013
simple,v2,3,5000,Development,0.0306,0.0387,0.0,0.0761,0.0071
simple,v2,3,5000,Insect/Disease,0.0163,0.0158,0.0,0.139,0.0185
simple,v2,3,5000,Beaver,0.0279,0.0293,0.0,0.2276,0.0672
strat,v2,3,5000,Stable,0.0692,0.1452,0.0,0.5925,0.331
strat,v2,3,5000,Harvest,0.0874,0.0935,0.0,0.4091,-0.1301
strat,v2,3,5000,Development,0.0306,0.2186,0.0,0.3161,-0.1127
strat,v2,3,5000,Insect/Disease,0.0163,0.0567,0.0,0.3185,-0.0935
strat,v2,3,5000,Beaver,0.0279,0.285,0.0,0.341,0.0054
simple,v2,5,20,Stable,0.0751,0.0696,0.46,0.2637,-0.093
simple,v2,5,20,Harvest,0.0919,0.0452,0.9,0.0698,0.0013
simple,v2,5,20,Development,0.0353,,1.0,0.0244,0.0053
simple,v2,5,20,Insect/Disease,0.0182,0.138,0.83,0.1006,0.0215
simple,v2,5,20,Beaver,0.0326,-0.0777,0.96,0.1852,0.065
strat,v2,5,20,Stable,0.0751,0.1267,0.0,0.5318,0.2606
strat,v2,5,20,Harvest,0.0919,0.0969,0.13,0.3908,-0.1234
strat,v2,5,20,Development,0.0353,0.2813,0.33,0.2671,-0.0957
strat,v2,5,20,Insect/Disease,0.0182,0.0723,0.29,0.2683,-0.0727
strat,v2,5,20,Beaver,0.0326,0.3165,0.0,0.284,0.0311
simple,v2,5,50,Stable,0.0751,0.1204,0.09,0.2769,-0.0951
simple,v2,5,50,Harvest,0.0919,0.2343,0.55,0.0915,-0.0018
simple,v2,5,50,Development,0.0353,0.2131,0.89,0.0469,0.0077
simple,v2,5,50,Insect/Disease,0.0182,0.0704,0.5,0.1198,0.0197
simple,v2,5,50,Beaver,0.0326,0.1328,0.89,0.2081,0.0695
strat,v2,5,50,Stable,0.0751,0.148,0.0,0.5304,0.2568
strat,v2,5,50,Harvest,0.0919,0.1184,0.0,0.387,-0.1221
strat,v2,5,50,Development,0.0353,0.2731,0.09,0.2737,-0.0906
strat,v2,5,50,Insect/Disease,0.0182,0.056,0.06,0.2718,-0.0724
strat,v2,5,50,Beaver,0.0326,0.2867,0.0,0.2928,0.0283
simple,v2,5,100,Stable,0.0751,0.114,0.01,0.2685,-0.0878
simple,v2,5,100,Harvest,0.0919,0.1814,0.17,0.1061,-0.0
simple,v2,5,100,Development,0.0353,-0.0047,0.75,0.0602,0.0071
simple,v2,5,100,Insect/Disease,0.0182,0.017,0.23,0.1212,0.0172
simple,v2,5,100,Beaver,0.0326,0.0566,0.76,0.2001,0.0636
strat,v2,5,100,Stable,0.0751,0.1186,0.0,0.536,0.2497
strat,v2,5,100,Harvest,0.0919,0.1006,0.0,0.381,-0.1183
strat,v2,5,100,Development,0.0353,0.1995,0.01,0.279,-0.0936
strat,v2,5,100,Insect/Disease,0.0182,0.0452,0.0,0.2807,-0.0717
strat,v2,5,100,Beaver,0.0326,0.3005,0.0,0.298,0.0339
simple,v2,5,200,Stable,0.0751,0.0617,0.0,0.2834,-0.0936
simple,v2,5,200,Harvest,0.0919,0.0876,0.02,0.1146,-0.0011
simple,v2,5,200,Development,0.0353,0.0602,0.54,0.0596,0.007
simple,v2,5,200,Insect/Disease,0.0182,0.0096,0.05,0.1289,0.0182
simple,v2,5,200,Beaver,0.0326,0.0422,0.61,0.2159,0.0695
strat,v2,5,200,Stable,0.0751,0.1443,0.0,0.5331,0.2583
strat,v2,5,200,Harvest,0.0919,0.1032,0.0,0.3849,-0.1197
strat,v2,5,200,Development,0.0353,0.2176,0.0,0.2775,-0.0945
strat,v2,5,200,Insect/Disease,0.0182,0.0378,0.0,0.2821,-0.0723
strat,v2,5,200,Beaver,0.0326,0.2982,0.0,0.2957,0.0282
simple,v2,5,500,Stable,0.0751,0.0656,0.0,0.282,-0.0919
simple,v2,5,500,Harvest,0.0919,0.0807,0.0,0.1177,-0.0016
simple,v2,5,500,Development,0.0353,0.0384,0.2,0.0669,0.0071
simple,v2,5,500,Insect/Disease,0.0182,0.0255,0.0,0.1304,0.0182
