design,version,W,n,cls,metric,census,mean,sd,bias,frac_undefined
strat,v2,1,100,Development,recall,0.0914,0.0815,0.06654,-0.00988,0.0
strat,v2,1,100,Insect/Disease,recall,0.0713,0.0655,0.05208,-0.00584,0.0
strat,v2,1,100,Beaver,recall,0.3293,0.342,0.09993,0.01274,0.0
strat,v2,1,100,Stable,precision,0.9867,0.9865,0.00168,-0.00021,0.0
strat,v2,1,100,Harvest,precision,0.0888,0.4841,0.34664,0.39534,0.01
strat,v2,1,100,Development,precision,0.0072,0.6179,0.43457,0.61064,0.11
strat,v2,1,100,Insect/Disease,precision,0.0113,0.2406,0.34806,0.22931,0.0
strat,v2,1,100,Beaver,precision,0.0019,0.0346,0.07221,0.03273,0.0
strat,v2,1,100,Stable,f1,0.939,0.937,0.04109,-0.002,0.0
strat,v2,1,100,Harvest,f1,0.082,0.1373,0.07923,0.05525,0.22
strat,v2,1,100,Development,f1,0.0134,0.152,0.09567,0.1386,0.21
strat,v2,1,100,Insect/Disease,f1,0.0195,0.0804,0.07283,0.06089,0.24
strat,v2,1,100,Beaver,f1,0.0038,0.0479,0.08267,0.04409,0.0
simple,v2,1,200,Stable,recall,0.8958,0.8927,0.02224,-0.00305,0.0
simple,v2,1,200,Harvest,recall,0.0762,0.087,0.23567,0.01082,0.1
simple,v2,1,200,Development,recall,0.0914,0.3,0.48305,0.20862,0.9
simple,v2,1,200,Insect/Disease,recall,0.0713,0.1101,0.30125,0.03872,0.47
simple,v2,1,200,Beaver,recall,0.3293,0.2857,0.48795,-0.04355,0.93
simple,v2,1,200,Stable,precision,0.9867,0.9869,0.00943,0.00019,0.0
simple,v2,1,200,Harvest,precision,0.0888,0.0784,0.2158,-0.0104,0.09
simple,v2,1,200,Development,precision,0.0072,0.0224,0.12859,0.01522,0.22
simple,v2,1,200,Insect/Disease,precision,0.0113,0.0163,0.06329,0.00506,0.0
simple,v2,1,200,Beaver,precision,0.0019,0.0019,0.01392,-4e-05,0.0
simple,v2,1,200,Stable,f1,0.939,0.9373,0.01296,-0.00176,0.0
simple,v2,1,200,Harvest,f1,0.082,0.4825,0.22211,0.40046,0.86
simple,v2,1,200,Development,f1,0.0134,0.6889,0.30062,0.67551,0.97
simple,v2,1,200,Insect/Disease,f1,0.0195,0.3491,0.11697,0.3296,0.93
simple,v2,1,200,Beaver,f1,0.0038,0.1699,0.07395,0.16613,0.98
strat,v2,1,200,Stable,recall,0.8958,0.8918,0.05482,-0.004,0.0
strat,v2,1,200,Harvest,recall,0.0762,0.077,0.03871,0.00078,0.0
strat,v2,1,200,Development,recall,0.0914,0.0898,0.04715,-0.00163,0.0
strat,v2,1,200,Insect/Disease,recall,0.0713,0.071,0.04491,-0.00034,0.0
strat,v2,1,200,Beaver,recall,0.3293,0.3243,0.07164,-0.00501,0.0
strat,v2,1,200,Stable,precision,0.9867,0.9866,0.00108,-7e-05,0.0
strat,v2,1,200,Harvest,precision,0.0888,0.474,0.32565,0.38525,0.0
strat,v2,1,200,Development,precision,0.0072,0.4782,0.4427,0.47097,0.02
strat,v2,1,200,Insect/Disease,precision,0.0113,0.1881,0.26198,0.17683,0.0
strat,v2,1,200,Beaver,precision,0.0019,0.0068,0.02016,0.00487,0.0
strat,v2,1,200,Stable,f1,0.939,0.9359,0.03124,-0.00311,0.0
strat,v2,1,200,Harvest,f1,0.082,0.1152,0.067,0.03317,0.04
strat,v2,1,200,Development,f1,0.0134,0.1078,0.09124,0.09446,0.04
strat,v2,1,200,Insect/Disease,f1,0.0195,0.0674,0.07058,0.04794,0.06
strat,v2,1,200,Beaver,f1,0.0038,0.0115,0.03142,0.00769,0.0
simple,v2,1,500,Stable,recall,0.8958,0.8958,0.01458,5e-05,0.0
simple,v2,1,500,Harvest,recall,0.0762,0.0848,0.11108,0.00855,0.0
simple,v2,1,500,Development,recall,0.0914,0.1324,0.33278,0.04097,0.66
simple,v2,1,500,Insect/Disease,recall,0.0713,0.0619,0.17953,-0.00947,0.2
simple,v2,1,500,Beaver,recall,0.3293,0.35,0.47434,0.02074,0.9
simple,v2,1,500,Stable,precision,0.9867,0.9862,0.00542,-0.00052,0.0
simple,v2,1,500,Harvest,precision,0.0888,0.1082,0.15106,0.01939,0.0
simple,v2,1,500,Development,precision,0.0072,0.0172,0.07669,0.00998,0.06
simple,v2,1,500,Insect/Disease,precision,0.0113,0.0107,0.03553,-0.00055,0.0
simple,v2,1,500,Beaver,precision,0.0019,0.0011,0.00544,-0.00081,0.0
simple,v2,1,500,Stable,f1,0.939,0.9387,0.00807,-0.00028,0.0
simple,v2,1,500,Harvest,f1,0.082,0.199,0.07367,0.11698,0.56
simple,v2,1,500,Development,f1,0.0134,0.4467,0.07674,0.43329,0.95
simple,v2,1,500,Insect/Disease,f1,0.0195,0.1687,0.06688,0.14917,0.9
simple,v2,1,500,Beaver,f1,0.0038,0.0532,0.00378,0.0494,0.96
strat,v2,1,500,Stable,recall,0.8958,0.8961,0.03612,0.00035,0.0
strat,v2,1,500,Harvest,recall,0.0762,0.0771,0.02645,0.00088,0.0
strat,v2,1,500,Development,recall,0.0914,0.0911,0.02582,-0.00028,0.0
strat,v2,1,500,Insect/Disease,recall,0.0713,0.0722,0.02505,0.00086,0.0
strat,v2,1,500,Beaver,recall,0.3293,0.3295,0.04518,0.00024,0.0
strat,v2,1,500,Stable,precision,0.9867,0.9867,0.0008,-2e-05,0.0
strat,v2,1,500,Harvest,precision,0.0888,0.2578,0.28781,0.16899,0.0
strat,v2,1,500,Development,precision,0.0072,0.1931,0.28813,0.18587,0.0
strat,v2,1,500,Insect/Disease,precision,0.0113,0.0516,0.11281,0.04031,0.0
strat,v2,1,500,Beaver,precision,0.0019,0.0034,0.01062,0.0015,0.0
strat,v2,1,500,Stable,f1,0.939,0.9388,0.02016,-0.00019,0.0
strat,v2,1,500,Harvest,f1,0.082,0.0905,0.04861,0.00846,0.0
strat,v2,1,500,Development,f1,0.0134,0.0705,0.06999,0.05711,0.0
strat,v2,1,500,Insect/Disease,f1,0.0195,0.0353,0.04354,0.01585,0.0
strat,v2,1,500,Beaver,f1,0.0038,0.0063,0.01613,0.00246,0.0
simple,v2,1,1000,Stable,recall,0.8958,0.8954,0.00895,-0.00039,0.0
simple,v2,1,1000,Harvest,recall,0.0762,0.0921,0.08566,0.01586,0.0
simple,v2,1,1000,Development,recall,0.0914,0.0729,0.25243,-0.01846,0.52
