version,W,n,oa_sd_10,oa_bias_10,mf1_sd_10,mf1_bias_10,oa_sd_5,oa_bias_5,mf1_sd_5,mf1_bias_5,deff_10,deff_5
v3,3,5000,0.00628,0.00058,0.02447,0.03023,0.00556,0.00019,0.03782,0.04209,7.465,8.901
v3,5,20,0.08219,0.00444,0.10493,0.24668,0.07422,0.0022,0.11399,0.66671,14.215,17.637
v3,5,50,0.04827,0.00781,0.0534,0.2143,0.05102,0.00484,0.1431,0.64868,12.253,20.837
v3,5,100,0.04097,0.00122,0.05824,0.2094,0.03389,-0.00168,0.20565,0.55146,17.66,18.392
v3,5,200,0.02516,-0.00101,0.05887,0.18346,0.02578,0.00045,0.23647,0.39304,13.321,21.286
v3,5,500,0.0166,-0.00024,0.05687,0.11503,0.01556,-0.00115,0.18106,0.22615,14.485,19.394
v3,5,1000,0.01218,0.0012,0.04403,0.07388,0.01104,0.00135,0.06308,0.09099,15.606,19.498
v3,5,2000,0.00759,0.00023,0.03776,0.04794,0.00651,-0.001,0.04772,0.0464,12.119,13.59
v3,5,5000,0.00518,0.00076,0.02381,0.01796,0.00466,0.00012,0.02071,0.01215,14.121,17.363
v3,7,20,0.08227,-0.01018,0.10353,0.21718,0.07678,-0.00261,0.1392,0.65381,27.91,36.997
v3,7,50,0.05335,-0.00578,0.0548,0.19175,0.0428,-0.00065,0.1867,0.58401,29.344,28.75
v3,7,100,0.03602,9e-05,0.05734,0.18553,0.02878,-0.00207,0.23409,0.47527,26.744,25.997
v3,7,200,0.02375,-0.0048,0.0565,0.15489,0.02173,0.00192,0.2145,0.34129,23.26,29.631
v3,7,500,0.01675,1e-05,0.0559,0.0962,0.01394,0.00081,0.14971,0.16814,28.931,30.485
v3,7,1000,0.01054,0.00046,0.03865,0.04966,0.00948,-0.00042,0.06689,0.07197,22.894,28.204
v3,7,2000,0.00915,-0.00087,0.0262,0.02432,0.00739,-0.00095,0.03236,0.0297,34.518,34.298
v3,7,5000,0.00505,0.00049,0.01478,0.00539,0.00485,0.00083,0.016,0.00611,26.307,36.973
v3,9,20,0.07644,0.00526,0.08413,0.20438,0.07487,-0.00918,0.14366,0.64471,39.833,58.174
v3,9,50,0.04931,0.00752,0.05655,0.1878,0.04379,-0.00091,0.21996,0.52491,41.436,49.751
v3,9,100,0.03558,0.0017,0.0556,0.1653,0.03057,0.00466,0.23539,0.41214,43.134,48.469
v3,9,200,0.02554,0.0014,0.0578,0.13688,0.02451,0.00087,0.17966,0.24288,44.445,62.326
v3,9,500,0.01547,0.00298,0.04648,0.0776,0.01381,0.00167,0.06879,0.10185,40.799,49.475
v3,9,1000,0.01286,0.00016,0.03618,0.04083,0.0105,-0.00019,0.03885,0.0427,56.385,57.15
v3,9,2000,0.00725,0.00029,0.02113,0.01005,0.00689,0.00097,0.02495,0.01777,35.809,49.299
v3,9,5000,0.00501,0.00021,0.0086,0.00151,0.00422,0.00035,0.01173,0.00214,42.761,46.109
v4,1,20,0.12134,-0.00568,0.12554,0.39036,0.04728,0.0059,0.02474,0.75666,1.178,0.8
v4,1,50,0.06253,0.00152,0.07566,0.26038,0.03771,-0.001,0.03491,0.74994,0.782,1.273
v4,1,100,0.04515,-0.00298,0.05537,0.18766,0.02367,0.0012,0.05261,0.74069,0.816,1.003
v4,1,200,0.03571,0.00037,0.04081,0.1505,0.01814,-0.0021,0.11139,0.70319,1.02,1.178
v4,1,500,0.02268,0.0,0.02471,0.13285,0.0092,0.0006,0.20092,0.57559,1.029,0.757
v4,1,1000,0.01594,5e-05,0.02886,0.11767,0.00797,-0.00029,0.22662,0.46096,1.016,1.136
v4,1,2000,0.01123,0.00049,0.02654,0.09488,0.005,-0.00084,0.19288,0.32994,1.01,0.896
v4,1,5000,0.00641,-0.00107,0.02738,0.0638,0.00335,0.0002,0.1102,0.17201,0.823,1.001
v4,3,20,0.11309,0.00123,0.11536,0.26092,0.04625,-0.00659,0.06881,0.73524,9.21,6.892
v4,3,50,0.05692,0.00296,0.07025,0.17188,0.02988,0.00409,0.10517,0.72151,5.832,7.19
v4,3,100,0.04351,-0.00049,0.05021,0.14118,0.01846,0.00248,0.13639,0.68859,6.817,5.488
v4,3,200,0.03153,-0.00399,0.03457,0.12539,0.01598,-0.00162,0.20736,0.59577,7.159,8.225
v4,3,500,0.01984,0.00055,0.03697,0.10625,0.0093,0.0002,0.23273,0.40974,7.084,6.972
v4,3,1000,0.01319,0.00278,0.03247,0.07981,0.00618,0.00044,0.17647,0.26759,6.263,6.152
v4,3,2000,0.00935,0.00042,0.02962,0.04948,0.00499,2e-05,0.09024,0.1254,6.293,8.011
v4,3,5000,0.0066,6e-05,0.02032,0.02141,0.00269,-0.00054,0.05404,0.04506,7.845,5.823
v4,5,20,0.09391,0.0049,0.10828,0.21065,0.0433,-0.00067,0.08248,0.73487,17.645,16.781
v4,5,50,0.06033,-0.00122,0.05931,0.13648,0.02719,0.00171,0.11885,0.71596,18.202,16.539
v4,5,100,0.03742,0.00631,0.03929,0.13398,0.01808,0.00146,0.21003,0.60839,13.999,14.617
v4,5,200,0.02758,-0.0025,0.03515,0.11982,0.01428,0.00072,0.23557,0.46419,15.219,18.233
v4,5,500,0.01891,0.00127,0.03264,0.08275,0.00901,-0.00018,0.20922,0.29691,17.878,18.155
v4,5,1000,0.01097,-0.00081,0.03111,0.05434,0.00582,-3e-05,0.09772,0.15412,12.033,15.16
v4,5,2000,0.00953,-0.00022,0.02258,0.02698,0.00468,-0.00055,0.07655,0.08269,18.15,19.628
v4,5,5000,0.00677,0.00014,0.01411,0.00761,0.00292,5e-05,0.03036,0.01434,22.934,19.066
v4,7,20,0.08391,-0.00446,0.08826,0.15668,0.0423,-0.00561,0.13125,0.70372,27.605,31.381
v4,7,50,0.05648,-0.00173,0.05956,0.13316,0.0217,0.00472,0.19195,0.63776,31.263,20.637
v4,7,100,0.04003,0.00574,0.04753,0.12348,0.01905,0.00047,0.2281,0.5557,31.406,31.807
v4,7,200,0.02692,0.00224,0.03917,0.10766,0.0117,-0.00023,0.24642,0.43044,28.415,23.991
v4,7,500,0.01577,0.00222,0.03452,0.07314,0.0085,0.00165,0.12938,0.1848,24.359,31.67
v4,7,1000,0.01252,-0.00169,0.0294,0.03974,0.00652,-0.00096,0.07933,0.09493,30.713,37.233
