design,version,W,n,metric,census,mean,sd,bias,lo,hi
strat,v2,1,200,A_macrof1_wtd,0.2182,0.2571,0.03757,0.03891,0.1942,0.3335
strat,v2,1,200,C_frac_majority,,1.0,0.0,,,
simple,v2,1,500,A_oa,0.8718,0.8707,0.01524,-0.00108,0.84,0.896
simple,v2,1,500,A_kappa,0.0435,0.0454,0.03453,0.00197,-0.0134,0.1155
simple,v2,1,500,A_macrof1,0.2182,0.6686,0.20095,0.45036,0.3959,0.9421
simple,v2,1,500,B_oa,0.8718,0.8707,0.01524,-0.00108,0.84,0.896
simple,v2,1,500,C_oa,0.8718,0.8707,0.01524,-0.00108,0.84,0.896
simple,v2,1,500,A_oa_wtd,0.8718,0.8707,0.01524,-0.00108,0.84,0.896
simple,v2,1,500,A_macrof1_wtd,0.2182,0.6686,0.20095,0.45036,0.3959,0.9421
simple,v2,1,500,C_frac_majority,,1.0,0.0,,,
strat,v2,1,500,A_oa,0.8718,0.3161,0.01666,-0.5557,0.286,0.347
strat,v2,1,500,A_kappa,0.0435,0.1451,0.02082,0.10165,0.1075,0.1838
strat,v2,1,500,A_macrof1,0.2182,0.272,0.02005,0.05378,0.2356,0.3123
strat,v2,1,500,B_oa,0.8718,0.8753,0.03623,0.00351,0.8133,0.9422
strat,v2,1,500,C_oa,0.8718,0.8753,0.03623,0.00351,0.8133,0.9422
strat,v2,1,500,A_oa_wtd,0.8718,0.8753,0.03623,0.00351,0.8133,0.9422
strat,v2,1,500,A_macrof1_wtd,0.2182,0.2382,0.02467,0.02005,0.2022,0.292
strat,v2,1,500,C_frac_majority,,1.0,0.0,,,
simple,v2,1,1000,A_oa,0.8718,0.8721,0.01116,0.00027,0.8515,0.8941
simple,v2,1,1000,A_kappa,0.0435,0.0425,0.02386,-0.00094,0.0037,0.088
simple,v2,1,1000,A_macrof1,0.2182,0.5743,0.1959,0.35606,0.3489,0.9425
simple,v2,1,1000,B_oa,0.8718,0.8721,0.01116,0.00027,0.8515,0.8941
simple,v2,1,1000,C_oa,0.8718,0.8721,0.01116,0.00027,0.8515,0.8941
simple,v2,1,1000,A_oa_wtd,0.8718,0.8721,0.01116,0.00027,0.8515,0.8941
simple,v2,1,1000,A_macrof1_wtd,0.2182,0.5743,0.1959,0.35606,0.3489,0.9425
simple,v2,1,1000,C_frac_majority,,1.0,0.0,,,
strat,v2,1,1000,A_oa,0.8718,0.3184,0.01122,-0.55344,0.2985,0.3421
strat,v2,1,1000,A_kappa,0.0435,0.1479,0.01402,0.10448,0.1231,0.1777
strat,v2,1,1000,A_macrof1,0.2182,0.2758,0.01421,0.05763,0.2503,0.3022
strat,v2,1,1000,B_oa,0.8718,0.8724,0.02189,0.00058,0.8357,0.915
strat,v2,1,1000,C_oa,0.8718,0.8724,0.02189,0.00058,0.8357,0.915
strat,v2,1,1000,A_oa_wtd,0.8718,0.8724,0.02189,0.00058,0.8357,0.915
strat,v2,1,1000,A_macrof1_wtd,0.2182,0.2274,0.01743,0.00925,0.2017,0.2607
strat,v2,1,1000,C_frac_majority,,1.0,0.0,,,
simple,v2,1,2000,A_oa,0.8718,0.8709,0.00638,-0.00088,0.8575,0.8825
simple,v2,1,2000,A_kappa,0.0435,0.0412,0.01421,-0.00225,0.0152,0.0724
simple,v2,1,2000,A_macrof1,0.2182,0.4213,0.12056,0.20312,0.264,0.584
simple,v2,1,2000,B_oa,0.8718,0.8709,0.00638,-0.00088,0.8575,0.8825
simple,v2,1,2000,C_oa,0.8718,0.8709,0.00638,-0.00088,0.8575,0.8825
simple,v2,1,2000,A_oa_wtd,0.8718,0.8709,0.00638,-0.00088,0.8575,0.8825
simple,v2,1,2000,A_macrof1_wtd,0.2182,0.4213,0.12056,0.20312,0.264,0.584
simple,v2,1,2000,C_frac_majority,,1.0,0.0,,,
strat,v2,1,2000,A_oa,0.8718,0.3187,0.00795,-0.55311,0.3052,0.3333
strat,v2,1,2000,A_kappa,0.0435,0.1484,0.00994,0.10488,0.1315,0.1666
strat,v2,1,2000,A_macrof1,0.2182,0.2771,0.00978,0.05889,0.2597,0.2961
strat,v2,1,2000,B_oa,0.8718,0.8704,0.01658,-0.00136,0.8411,0.9028
strat,v2,1,2000,C_oa,0.8718,0.8704,0.01658,-0.00136,0.8411,0.9028
strat,v2,1,2000,A_oa_wtd,0.8718,0.8704,0.01658,-0.00136,0.8411,0.9028
strat,v2,1,2000,A_macrof1_wtd,0.2182,0.2207,0.00925,0.00249,0.207,0.2413
strat,v2,1,2000,C_frac_majority,,1.0,0.0,,,
simple,v2,1,5000,A_oa,0.8718,0.872,0.00511,0.00018,0.8623,0.8818
simple,v2,1,5000,A_kappa,0.0435,0.0444,0.00996,0.00093,0.0265,0.0645
simple,v2,1,5000,A_macrof1,0.2182,0.3126,0.08379,0.0944,0.2142,0.5406
simple,v2,1,5000,B_oa,0.8718,0.872,0.00511,0.00018,0.8623,0.8818
simple,v2,1,5000,C_oa,0.8718,0.872,0.00511,0.00018,0.8623,0.8818
simple,v2,1,5000,A_oa_wtd,0.8718,0.872,0.00511,0.00018,0.8623,0.8818
simple,v2,1,5000,A_macrof1_wtd,0.2182,0.3126,0.08379,0.0944,0.2142,0.5406
simple,v2,1,5000,C_frac_majority,,1.0,0.0,,,
strat,v2,1,5000,A_oa,0.8718,0.3182,0.00469,-0.55358,0.3102,0.3269
strat,v2,1,5000,A_kappa,0.0435,0.1478,0.00586,0.1043,0.1377,0.1587
strat,v2,1,5000,A_macrof1,0.2182,0.2761,0.00579,0.05795,0.2659,0.2865
strat,v2,1,5000,B_oa,0.8718,0.8723,0.01047,0.00048,0.8546,0.8941
