design,version,W,n,cls,frac_absent
strat,v3,7,500,Harvest,0.0
strat,v3,7,500,Development,0.0
strat,v3,7,500,Insect/Disease,0.0
strat,v3,7,500,Beaver,0.0
simple,v3,7,1000,Stable,0.0
simple,v3,7,1000,Harvest,0.0
simple,v3,7,1000,Development,0.0
simple,v3,7,1000,Insect/Disease,0.0
simple,v3,7,1000,Beaver,0.0
strat,v3,7,1000,Stable,0.0
strat,v3,7,1000,Harvest,0.0
strat,v3,7,1000,Development,0.0
strat,v3,7,1000,Insect/Disease,0.0
strat,v3,7,1000,Beaver,0.0
simple,v3,7,2000,Stable,0.0
simple,v3,7,2000,Harvest,0.0
simple,v3,7,2000,Development,0.0
simple,v3,7,2000,Insect/Disease,0.0
simple,v3,7,2000,Beaver,0.0
strat,v3,7,2000,Stable,0.0
strat,v3,7,2000,Harvest,0.0
strat,v3,7,2000,Development,0.0
strat,v3,7,2000,Insect/Disease,0.0
strat,v3,7,2000,Beaver,0.0
simple,v3,7,5000,Stable,0.0
simple,v3,7,5000,Harvest,0.0
simple,v3,7,5000,Development,0.0
simple,v3,7,5000,Insect/Disease,0.0
simple,v3,7,5000,Beaver,0.0
strat,v3,7,5000,Stable,0.0
strat,v3,7,5000,Harvest,0.0
strat,v3,7,5000,Development,0.0
