version,W,n,cls,sd_simple,sd_strat,strat_efficiency
v4,5,50,Water,0.18467,0.15704,0.85
v4,5,50,Agriculture,0.13352,0.15761,1.18
v4,5,50,Grass/Shrub,0.13241,0.14893,1.125
v4,5,50,Wetland,0.13022,0.14667,1.126
v4,5,50,Beaver,,0.15612,
v4,5,50,Insect/Disease,0.07125,0.07809,1.096
v4,5,100,Harvest,0.21346,0.09097,0.426
v4,5,100,Development,0.09128,0.02252,0.247
v4,5,100,Forest,0.04424,0.07788,1.761
v4,5,100,Urban,0.07814,0.06444,0.825
v4,5,100,Water,0.12406,0.12888,1.039
v4,5,100,Agriculture,0.09458,0.11125,1.176
v4,5,100,Grass/Shrub,0.09595,0.10213,1.064
v4,5,100,Wetland,0.09966,0.09581,0.961
v4,5,100,Beaver,0.05447,0.09711,1.783
v4,5,100,Insect/Disease,0.02257,0.04735,2.097
v4,5,200,Harvest,0.11813,0.05924,0.501
v4,5,200,Development,0.08123,0.01482,0.182
v4,5,200,Forest,0.02858,0.05241,1.834
v4,5,200,Urban,0.04795,0.03635,0.758
v4,5,200,Water,0.10507,0.09379,0.893
v4,5,200,Agriculture,0.07053,0.08959,1.27
v4,5,200,Grass/Shrub,0.06803,0.07476,1.099
v4,5,200,Wetland,0.0676,0.07118,1.053
v4,5,200,Beaver,0.13764,0.04312,0.313
v4,5,200,Insect/Disease,0.10897,0.06723,0.617
v4,5,500,Harvest,0.09193,0.03729,0.406
v4,5,500,Development,0.04758,0.01575,0.331
v4,5,500,Forest,0.01503,0.038,2.529
v4,5,500,Urban,0.02695,0.02421,0.898
v4,5,500,Water,0.05665,0.05673,1.001
v4,5,500,Agriculture,0.04051,0.05262,1.299
v4,5,500,Grass/Shrub,0.04319,0.03997,0.925
v4,5,500,Wetland,0.04178,0.05182,1.24
v4,5,500,Beaver,0.05853,0.05132,0.877
v4,5,500,Insect/Disease,0.04756,0.02072,0.436
v4,5,1000,Harvest,0.05479,0.03669,0.67
v4,5,1000,Development,0.02955,0.01135,0.384
v4,5,1000,Forest,0.01345,0.02824,2.099
v4,5,1000,Urban,0.02277,0.01755,0.771
