design,version,W,n,cls,census_corr,mean_corr,frac_undefined,mean_rmse,mean_bias
simple,v3,1,2000,Beaver,0.0121,0.0152,0.54,0.3442,0.1181
simple,v3,1,2000,Insect/Disease,0.019,0.016,0.0,0.1943,0.0313
strat,v3,1,2000,Harvest,0.0349,0.0644,0.0,0.3403,-0.0723
strat,v3,1,2000,Development,0.0109,0.0879,0.0,0.3338,-0.0755
strat,v3,1,2000,Forest,0.5608,0.3142,0.0,0.4562,0.1352
strat,v3,1,2000,Urban,0.4977,0.4892,0.0,0.3325,0.041
strat,v3,1,2000,Water,0.9344,0.9067,0.0,0.1324,0.0086
strat,v3,1,2000,Agriculture,0.7712,0.6303,0.0,0.2826,0.0379
strat,v3,1,2000,Grass/Shrub,0.207,0.2477,0.0,0.3499,-0.0221
strat,v3,1,2000,Wetland,0.3568,0.2531,0.0,0.3726,0.0074
strat,v3,1,2000,Beaver,0.0121,0.2145,0.0,0.3831,0.0086
strat,v3,1,2000,Insect/Disease,0.019,0.1211,0.0,0.335,-0.0689
simple,v3,1,5000,Harvest,0.0349,0.0344,0.0,0.1626,0.0057
simple,v3,1,5000,Development,0.0109,0.0114,0.03,0.1217,0.0137
simple,v3,1,5000,Forest,0.5608,0.561,0.0,0.4834,-0.1468
simple,v3,1,5000,Urban,0.4977,0.4949,0.0,0.2039,0.019
simple,v3,1,5000,Water,0.9344,0.9336,0.0,0.1019,0.0024
simple,v3,1,5000,Agriculture,0.7712,0.7692,0.0,0.2425,-0.0065
simple,v3,1,5000,Grass/Shrub,0.207,0.2049,0.0,0.3543,-0.0011
simple,v3,1,5000,Wetland,0.3568,0.3556,0.0,0.3319,-0.0361
simple,v3,1,5000,Beaver,0.0121,0.0092,0.13,0.3441,0.1179
simple,v3,1,5000,Insect/Disease,0.019,0.0183,0.0,0.1946,0.0319
strat,v3,1,5000,Harvest,0.0349,0.0615,0.0,0.341,-0.072
strat,v3,1,5000,Development,0.0109,0.0929,0.0,0.3332,-0.0754
strat,v3,1,5000,Forest,0.5608,0.3139,0.0,0.4551,0.1335
strat,v3,1,5000,Urban,0.4977,0.4931,0.0,0.3309,0.0403
strat,v3,1,5000,Water,0.9344,0.905,0.0,0.1338,0.0088
strat,v3,1,5000,Agriculture,0.7712,0.6289,0.0,0.2836,0.0385
strat,v3,1,5000,Grass/Shrub,0.207,0.2417,0.0,0.3516,-0.0217
strat,v3,1,5000,Wetland,0.3568,0.2544,0.0,0.3724,0.0075
strat,v3,1,5000,Beaver,0.0121,0.2167,0.0,0.3831,0.0092
strat,v3,1,5000,Insect/Disease,0.019,0.1209,0.0,0.3353,-0.0687
simple,v3,3,20,Harvest,0.0426,0.3188,0.83,0.1015,0.0041
simple,v3,3,20,Development,0.0167,,1.0,0.055,0.0132
simple,v3,3,20,Forest,0.6268,0.6224,0.0,0.415,-0.1462
simple,v3,3,20,Urban,0.6531,0.6904,0.33,0.126,0.0163
simple,v3,3,20,Water,0.9615,0.9773,0.23,0.0315,0.0001
simple,v3,3,20,Agriculture,0.8413,0.8117,0.02,0.1835,-0.0033
simple,v3,3,20,Grass/Shrub,0.2612,0.2701,0.04,0.2942,0.0002
simple,v3,3,20,Wetland,0.4464,0.427,0.09,0.2514,-0.0361
simple,v3,3,20,Beaver,0.0172,-0.0365,0.95,0.3074,0.1285
simple,v3,3,20,Insect/Disease,0.0271,0.0184,0.93,0.1072,0.0233
strat,v3,3,20,Harvest,0.0426,0.1133,0.34,0.301,-0.0624
strat,v3,3,20,Development,0.0167,0.1196,0.46,0.2338,-0.0409
strat,v3,3,20,Forest,0.6268,0.4327,0.0,0.3703,0.0507
strat,v3,3,20,Urban,0.6531,0.6654,0.0,0.2407,0.0547
strat,v3,3,20,Water,0.9615,0.9457,0.0,0.0769,0.0039
strat,v3,3,20,Agriculture,0.8413,0.7427,0.0,0.2174,0.0221
strat,v3,3,20,Grass/Shrub,0.2612,0.2786,0.05,0.2956,-0.0365
strat,v3,3,20,Wetland,0.4464,0.3632,0.0,0.2897,-0.0106
strat,v3,3,20,Beaver,0.0172,0.2065,0.03,0.299,0.0483
strat,v3,3,20,Insect/Disease,0.0271,0.127,0.36,0.2403,-0.0293
simple,v3,3,50,Harvest,0.0426,0.1128,0.49,0.1269,0.0064
simple,v3,3,50,Development,0.0167,0.039,0.95,0.0848,0.0147
simple,v3,3,50,Forest,0.6268,0.623,0.0,0.4193,-0.1522
simple,v3,3,50,Urban,0.6531,0.6449,0.01,0.1345,0.0192
simple,v3,3,50,Water,0.9615,0.9391,0.0,0.0621,0.0035
simple,v3,3,50,Agriculture,0.8413,0.8205,0.0,0.1903,-0.0055
simple,v3,3,50,Grass/Shrub,0.2612,0.2567,0.0,0.2941,0.0029
simple,v3,3,50,Wetland,0.4464,0.4264,0.0,0.2675,-0.0375
simple,v3,3,50,Beaver,0.0172,-0.011,0.94,0.3025,0.1156
simple,v3,3,50,Insect/Disease,0.0271,0.0612,0.64,0.1677,0.0329
strat,v3,3,50,Harvest,0.0426,0.084,0.11,0.3046,-0.0603
strat,v3,3,50,Development,0.0167,0.1007,0.11,0.2444,-0.0364
strat,v3,3,50,Forest,0.6268,0.4564,0.0,0.3727,0.0512
strat,v3,3,50,Urban,0.6531,0.6775,0.0,0.2439,0.0502
strat,v3,3,50,Water,0.9615,0.9545,0.0,0.081,0.0027
strat,v3,3,50,Agriculture,0.8413,0.725,0.0,0.2265,0.0144
strat,v3,3,50,Grass/Shrub,0.2612,0.2631,0.0,0.2983,-0.0292
strat,v3,3,50,Wetland,0.4464,0.3475,0.0,0.3048,-0.0068
strat,v3,3,50,Beaver,0.0172,0.2846,0.0,0.2872,0.046
strat,v3,3,50,Insect/Disease,0.0271,0.154,0.18,0.2317,-0.0317
simple,v3,3,100,Harvest,0.0426,0.055,0.16,0.1342,0.0023
simple,v3,3,100,Development,0.0167,0.0405,0.83,0.0948,0.0141
simple,v3,3,100,Forest,0.6268,0.6184,0.0,0.4228,-0.1496
simple,v3,3,100,Urban,0.6531,0.6248,0.01,0.1532,0.0222
simple,v3,3,100,Water,0.9615,0.9607,0.0,0.061,0.0015
simple,v3,3,100,Agriculture,0.8413,0.8374,0.0,0.1871,-0.0066
simple,v3,3,100,Grass/Shrub,0.2612,0.2432,0.0,0.2979,0.0022
simple,v3,3,100,Wetland,0.4464,0.4661,0.0,0.2647,-0.0394
simple,v3,3,100,Beaver,0.0172,0.0361,0.93,0.3106,0.1183
simple,v3,3,100,Insect/Disease,0.0271,0.0606,0.32,0.1852,0.0351
strat,v3,3,100,Harvest,0.0426,0.0652,0.0,0.3016,-0.0592
strat,v3,3,100,Development,0.0167,0.1117,0.0,0.2469,-0.0397
strat,v3,3,100,Forest,0.6268,0.4475,0.0,0.3766,0.0537
strat,v3,3,100,Urban,0.6531,0.6644,0.0,0.2495,0.0492
strat,v3,3,100,Water,0.9615,0.9437,0.0,0.0951,0.0011
strat,v3,3,100,Agriculture,0.8413,0.7152,0.0,0.2322,0.0137
strat,v3,3,100,Grass/Shrub,0.2612,0.3251,0.0,0.2874,-0.0298
strat,v3,3,100,Wetland,0.4464,0.3339,0.0,0.3069,-0.0068
strat,v3,3,100,Beaver,0.0172,0.244,0.0,0.3044,0.0498
strat,v3,3,100,Insect/Disease,0.0271,0.1069,0.0,0.2372,-0.032
simple,v3,3,200,Harvest,0.0426,0.0357,0.01,0.1461,0.0069
simple,v3,3,200,Development,0.0167,0.0252,0.73,0.1009,0.0141
simple,v3,3,200,Forest,0.6268,0.629,0.0,0.4181,-0.1465
simple,v3,3,200,Urban,0.6531,0.666,0.0,0.1455,0.0184
simple,v3,3,200,Water,0.9615,0.9659,0.0,0.0648,0.0022
simple,v3,3,200,Agriculture,0.8413,0.8401,0.0,0.1893,-0.0055
simple,v3,3,200,Grass/Shrub,0.2612,0.2578,0.0,0.2986,-0.0023
simple,v3,3,200,Wetland,0.4464,0.4216,0.0,0.2726,-0.0384
simple,v3,3,200,Beaver,0.0172,0.0135,0.79,0.3124,0.1179
simple,v3,3,200,Insect/Disease,0.0271,0.0243,0.24,0.1781,0.0332
strat,v3,3,200,Harvest,0.0426,0.0598,0.0,0.3061,-0.0603
strat,v3,3,200,Development,0.0167,0.078,0.0,0.248,-0.0428
strat,v3,3,200,Forest,0.6268,0.4354,0.0,0.3806,0.0517
strat,v3,3,200,Urban,0.6531,0.6762,0.0,0.2453,0.0503
strat,v3,3,200,Water,0.9615,0.9464,0.0,0.0958,0.0024
strat,v3,3,200,Agriculture,0.8413,0.7318,0.0,0.2316,0.0208
strat,v3,3,200,Grass/Shrub,0.2612,0.2938,0.0,0.2943,-0.0309
strat,v3,3,200,Wetland,0.4464,0.3514,0.0,0.3081,-0.0069
strat,v3,3,200,Beaver,0.0172,0.25,0.0,0.3,0.0461
strat,v3,3,200,Insect/Disease,0.0271,0.1271,0.0,0.241,-0.0302
simple,v3,3,500,Harvest,0.0426,0.036,0.0,0.1472,0.0056
simple,v3,3,500,Development,0.0167,0.0193,0.42,0.1,0.0129
simple,v3,3,500,Forest,0.6268,0.6256,0.0,0.4215,-0.148
simple,v3,3,500,Urban,0.6531,0.6545,0.0,0.1493,0.0189
simple,v3,3,500,Water,0.9615,0.9606,0.0,0.0749,0.0019
simple,v3,3,500,Agriculture,0.8413,0.8371,0.0,0.1916,-0.0063
simple,v3,3,500,Grass/Shrub,0.2612,0.2539,0.0,0.2979,0.0012
simple,v3,3,500,Wetland,0.4464,0.4527,0.0,0.2686,-0.0347
simple,v3,3,500,Beaver,0.0172,0.0313,0.45,0.3122,0.117
simple,v3,3,500,Insect/Disease,0.0271,0.0243,0.02,0.1774,0.0314
strat,v3,3,500,Harvest,0.0426,0.074,0.0,0.3033,-0.0613
strat,v3,3,500,Development,0.0167,0.0927,0.0,0.2474,-0.0403
strat,v3,3,500,Forest,0.6268,0.4364,0.0,0.3814,0.0529
strat,v3,3,500,Urban,0.6531,0.6576,0.0,0.2521,0.049
strat,v3,3,500,Water,0.9615,0.9456,0.0,0.0972,0.0019
strat,v3,3,500,Agriculture,0.8413,0.7185,0.0,0.2365,0.0198
strat,v3,3,500,Grass/Shrub,0.2612,0.2912,0.0,0.2971,-0.032
strat,v3,3,500,Wetland,0.4464,0.3541,0.0,0.3055,-0.0098
strat,v3,3,500,Beaver,0.0172,0.2609,0.0,0.3058,0.0497
strat,v3,3,500,Insect/Disease,0.0271,0.125,0.0,0.2441,-0.0298
simple,v3,3,1000,Harvest,0.0426,0.0452,0.0,0.1452,0.0059
simple,v3,3,1000,Development,0.0167,0.0247,0.17,0.1032,0.0133
simple,v3,3,1000,Forest,0.6268,0.6256,0.0,0.4212,-0.1468
simple,v3,3,1000,Urban,0.6531,0.6504,0.0,0.1511,0.0208
simple,v3,3,1000,Water,0.9615,0.9618,0.0,0.0749,0.0025
simple,v3,3,1000,Agriculture,0.8413,0.8422,0.0,0.1891,-0.0077
simple,v3,3,1000,Grass/Shrub,0.2612,0.2589,0.0,0.2983,-0.0005
simple,v3,3,1000,Wetland,0.4464,0.4464,0.0,0.27,-0.0358
simple,v3,3,1000,Beaver,0.0172,0.02,0.34,0.3123,0.1172
simple,v3,3,1000,Insect/Disease,0.0271,0.0345,0.0,0.177,0.0312
strat,v3,3,1000,Harvest,0.0426,0.0684,0.0,0.3059,-0.0612
strat,v3,3,1000,Development,0.0167,0.0834,0.0,0.2505,-0.0406
strat,v3,3,1000,Forest,0.6268,0.4382,0.0,0.3811,0.053
strat,v3,3,1000,Urban,0.6531,0.6618,0.0,0.2514,0.05
strat,v3,3,1000,Water,0.9615,0.9458,0.0,0.0978,0.0017
strat,v3,3,1000,Agriculture,0.8413,0.7157,0.0,0.2372,0.0188
strat,v3,3,1000,Grass/Shrub,0.2612,0.2971,0.0,0.2947,-0.0329
strat,v3,3,1000,Wetland,0.4464,0.3528,0.0,0.3069,-0.0076
strat,v3,3,1000,Beaver,0.0172,0.2555,0.0,0.3057,0.0499
strat,v3,3,1000,Insect/Disease,0.0271,0.1274,0.0,0.2422,-0.0312
simple,v3,3,2000,Harvest,0.0426,0.0475,0.0,0.146,0.0054
simple,v3,3,2000,Development,0.0167,0.0175,0.05,0.1021,0.013
simple,v3,3,2000,Forest,0.6268,0.6268,0.0,0.4208,-0.1472
simple,v3,3,2000,Urban,0.6531,0.655,0.0,0.1513,0.0202
simple,v3,3,2000,Water,0.9615,0.9615,0.0,0.0756,0.0021
simple,v3,3,2000,Agriculture,0.8413,0.8443,0.0,0.1884,-0.0074
simple,v3,3,2000,Grass/Shrub,0.2612,0.2602,0.0,0.2982,-0.0003
simple,v3,3,2000,Wetland,0.4464,0.4463,0.0,0.27,-0.0347
simple,v3,3,2000,Beaver,0.0172,0.0112,0.07,0.3125,0.1172
simple,v3,3,2000,Insect/Disease,0.0271,0.0212,0.0,0.1785,0.0317
strat,v3,3,2000,Harvest,0.0426,0.0672,0.0,0.3047,-0.0612
strat,v3,3,2000,Development,0.0167,0.0922,0.0,0.2492,-0.041
strat,v3,3,2000,Forest,0.6268,0.4371,0.0,0.3805,0.0513
strat,v3,3,2000,Urban,0.6531,0.6606,0.0,0.2507,0.049
strat,v3,3,2000,Water,0.9615,0.9441,0.0,0.0998,0.0016
strat,v3,3,2000,Agriculture,0.8413,0.7178,0.0,0.2374,0.0201
strat,v3,3,2000,Grass/Shrub,0.2612,0.2923,0.0,0.2968,-0.0318
strat,v3,3,2000,Wetland,0.4464,0.3491,0.0,0.3084,-0.0075
strat,v3,3,2000,Beaver,0.0172,0.2501,0.0,0.3052,0.0487
strat,v3,3,2000,Insect/Disease,0.0271,0.128,0.0,0.2429,-0.0293
simple,v3,3,5000,Harvest,0.0426,0.0466,0.0,0.1458,0.0055
simple,v3,3,5000,Development,0.0167,0.0134,0.0,0.103,0.0131
simple,v3,3,5000,Forest,0.6268,0.6276,0.0,0.4204,-0.1467
simple,v3,3,5000,Urban,0.6531,0.651,0.0,0.1523,0.0201
simple,v3,3,5000,Water,0.9615,0.9614,0.0,0.076,0.0023
simple,v3,3,5000,Agriculture,0.8413,0.8427,0.0,0.1902,-0.0068
simple,v3,3,5000,Grass/Shrub,0.2612,0.2601,0.0,0.2975,-0.0009
simple,v3,3,5000,Wetland,0.4464,0.4439,0.0,0.2695,-0.0352
simple,v3,3,5000,Beaver,0.0172,0.0175,0.0,0.3132,0.1174
simple,v3,3,5000,Insect/Disease,0.0271,0.0313,0.0,0.1782,0.0312
strat,v3,3,5000,Harvest,0.0426,0.0659,0.0,0.3054,-0.0611
strat,v3,3,5000,Development,0.0167,0.085,0.0,0.2496,-0.0407
strat,v3,3,5000,Forest,0.6268,0.4383,0.0,0.3808,0.0515
strat,v3,3,5000,Urban,0.6531,0.662,0.0,0.2512,0.0499
strat,v3,3,5000,Water,0.9615,0.9452,0.0,0.0988,0.0017
strat,v3,3,5000,Agriculture,0.8413,0.7138,0.0,0.2392,0.0199
strat,v3,3,5000,Grass/Shrub,0.2612,0.2951,0.0,0.2956,-0.0322
strat,v3,3,5000,Wetland,0.4464,0.353,0.0,0.3072,-0.008
strat,v3,3,5000,Beaver,0.0172,0.2519,0.0,0.3052,0.0493
strat,v3,3,5000,Insect/Disease,0.0271,0.1206,0.0,0.2435,-0.0302
simple,v3,5,20,Harvest,0.0455,0.1118,0.75,0.0927,0.0091
simple,v3,5,20,Development,0.021,0.148,0.95,0.0539,0.0125
simple,v3,5,20,Forest,0.6459,0.64,0.0,0.3947,-0.1643
simple,v3,5,20,Urban,0.698,0.6704,0.17,0.1067,0.02
simple,v3,5,20,Water,0.9693,0.983,0.15,0.032,-0.0005
simple,v3,5,20,Agriculture,0.8658,0.8747,0.01,0.1401,-0.0067
simple,v3,5,20,Grass/Shrub,0.2792,0.2422,0.04,0.2572,0.007
simple,v3,5,20,Wetland,0.4788,0.4669,0.04,0.2231,-0.0297
simple,v3,5,20,Beaver,0.0196,0.0613,0.92,0.2876,0.1198
simple,v3,5,20,Insect/Disease,0.0307,0.2436,0.78,0.1372,0.0328
strat,v3,5,20,Harvest,0.0455,0.1731,0.28,0.2782,-0.0544
strat,v3,5,20,Development,0.021,0.0743,0.23,0.2183,-0.0291
strat,v3,5,20,Forest,0.6459,0.4606,0.0,0.3589,0.0307
strat,v3,5,20,Urban,0.698,0.7072,0.01,0.2111,0.0434
strat,v3,5,20,Water,0.9693,0.9512,0.0,0.0712,0.0036
strat,v3,5,20,Agriculture,0.8658,0.7576,0.0,0.2013,0.0128
strat,v3,5,20,Grass/Shrub,0.2792,0.2988,0.02,0.2592,-0.0309
strat,v3,5,20,Wetland,0.4788,0.34,0.02,0.2738,-0.0178
strat,v3,5,20,Beaver,0.0196,0.2114,0.01,0.2728,0.061
strat,v3,5,20,Insect/Disease,0.0307,0.1366,0.33,0.1956,-0.0194
simple,v3,5,50,Harvest,0.0455,0.0836,0.41,0.1133,0.007
simple,v3,5,50,Development,0.021,0.0272,0.86,0.0754,0.0133
simple,v3,5,50,Forest,0.6459,0.6645,0.0,0.3824,-0.1429
simple,v3,5,50,Urban,0.698,0.6966,0.01,0.1285,0.0217
simple,v3,5,50,Water,0.9693,0.9598,0.0,0.0458,0.0024
simple,v3,5,50,Agriculture,0.8658,0.8695,0.0,0.1584,-0.0047
simple,v3,5,50,Grass/Shrub,0.2792,0.3024,0.0,0.2682,-0.001
simple,v3,5,50,Wetland,0.4788,0.4975,0.0,0.2363,-0.0397
simple,v3,5,50,Beaver,0.0196,0.0691,0.84,0.2873,0.1126
simple,v3,5,50,Insect/Disease,0.0307,0.0611,0.43,0.1515,0.0314
strat,v3,5,50,Harvest,0.0455,0.1071,0.07,0.2913,-0.0525
strat,v3,5,50,Development,0.021,0.0947,0.01,0.2108,-0.0317
strat,v3,5,50,Forest,0.6459,0.4727,0.0,0.358,0.0208
strat,v3,5,50,Urban,0.698,0.7264,0.0,0.2168,0.0482
strat,v3,5,50,Water,0.9693,0.954,0.0,0.0785,0.0002
strat,v3,5,50,Agriculture,0.8658,0.7544,0.0,0.2138,0.0155
strat,v3,5,50,Grass/Shrub,0.2792,0.2875,0.0,0.276,-0.0274
strat,v3,5,50,Wetland,0.4788,0.4093,0.0,0.2741,-0.0158
strat,v3,5,50,Beaver,0.0196,0.2746,0.0,0.2706,0.0626
strat,v3,5,50,Insect/Disease,0.0307,0.1111,0.07,0.21,-0.0199
simple,v3,5,100,Harvest,0.0455,0.0465,0.05,0.1354,0.0042
simple,v3,5,100,Development,0.021,0.0678,0.82,0.0795,0.0129
simple,v3,5,100,Forest,0.6459,0.6344,0.0,0.4007,-0.147
simple,v3,5,100,Urban,0.698,0.7118,0.0,0.1264,0.0197
simple,v3,5,100,Water,0.9693,0.9592,0.0,0.0625,0.0035
simple,v3,5,100,Agriculture,0.8658,0.8715,0.0,0.1627,-0.0062
simple,v3,5,100,Grass/Shrub,0.2792,0.3,0.0,0.2747,0.0036
simple,v3,5,100,Wetland,0.4788,0.4658,0.0,0.248,-0.042
simple,v3,5,100,Beaver,0.0196,0.0252,0.83,0.2966,0.1185
simple,v3,5,100,Insect/Disease,0.0307,0.0075,0.15,0.1708,0.0328
strat,v3,5,100,Harvest,0.0455,0.0491,0.0,0.2919,-0.0564
strat,v3,5,100,Development,0.021,0.0407,0.0,0.2203,-0.0312
strat,v3,5,100,Forest,0.6459,0.4613,0.0,0.3597,0.022
strat,v3,5,100,Urban,0.698,0.7,0.0,0.2299,0.0533
strat,v3,5,100,Water,0.9693,0.9552,0.0,0.0839,-0.0001
strat,v3,5,100,Agriculture,0.8658,0.7436,0.0,0.2213,0.0147
strat,v3,5,100,Grass/Shrub,0.2792,0.2913,0.0,0.2752,-0.0321
strat,v3,5,100,Wetland,0.4788,0.3849,0.0,0.2757,-0.0146
strat,v3,5,100,Beaver,0.0196,0.2374,0.0,0.2787,0.0662
strat,v3,5,100,Insect/Disease,0.0307,0.0778,0.0,0.2174,-0.0219
simple,v3,5,200,Harvest,0.0455,0.0407,0.0,0.1363,0.0038
simple,v3,5,200,Development,0.021,0.0629,0.56,0.097,0.014
simple,v3,5,200,Forest,0.6459,0.6426,0.0,0.3983,-0.1497
simple,v3,5,200,Urban,0.698,0.7134,0.0,0.1317,0.0203
simple,v3,5,200,Water,0.9693,0.9654,0.0,0.0652,0.002
simple,v3,5,200,Agriculture,0.8658,0.8561,0.0,0.1737,-0.0072
simple,v3,5,200,Grass/Shrub,0.2792,0.2665,0.0,0.2761,-0.004
simple,v3,5,200,Wetland,0.4788,0.4715,0.0,0.2468,-0.035
simple,v3,5,200,Beaver,0.0196,0.0604,0.65,0.306,0.1237
simple,v3,5,200,Insect/Disease,0.0307,0.0261,0.06,0.172,0.0321
strat,v3,5,200,Harvest,0.0455,0.0639,0.0,0.2895,-0.0566
strat,v3,5,200,Development,0.021,0.0807,0.0,0.2208,-0.0315
strat,v3,5,200,Forest,0.6459,0.4625,0.0,0.3621,0.0222
strat,v3,5,200,Urban,0.698,0.7083,0.0,0.2232,0.0496
strat,v3,5,200,Water,0.9693,0.9537,0.0,0.0875,0.0007
strat,v3,5,200,Agriculture,0.8658,0.7459,0.0,0.2203,0.0154
strat,v3,5,200,Grass/Shrub,0.2792,0.3122,0.0,0.2769,-0.0302
strat,v3,5,200,Wetland,0.4788,0.3901,0.0,0.2796,-0.0131
strat,v3,5,200,Beaver,0.0196,0.2055,0.0,0.2846,0.0616
strat,v3,5,200,Insect/Disease,0.0307,0.117,0.0,0.2147,-0.0182
simple,v3,5,500,Harvest,0.0455,0.0581,0.0,0.1387,0.0063
simple,v3,5,500,Development,0.021,0.0158,0.24,0.0983,0.014
simple,v3,5,500,Forest,0.6459,0.6421,0.0,0.3994,-0.1485
simple,v3,5,500,Urban,0.698,0.7087,0.0,0.1301,0.0193
simple,v3,5,500,Water,0.9693,0.9681,0.0,0.0666,0.0016
simple,v3,5,500,Agriculture,0.8658,0.8675,0.0,0.1686,-0.0075
simple,v3,5,500,Grass/Shrub,0.2792,0.2843,0.0,0.272,0.0005
simple,v3,5,500,Wetland,0.4788,0.4749,0.0,0.2455,-0.0347
simple,v3,5,500,Beaver,0.0196,0.0217,0.4,0.2988,0.1177
simple,v3,5,500,Insect/Disease,0.0307,0.0281,0.0,0.1717,0.0313
strat,v3,5,500,Harvest,0.0455,0.0676,0.0,0.288,-0.0568
strat,v3,5,500,Development,0.021,0.0643,0.0,0.2217,-0.0315
strat,v3,5,500,Forest,0.6459,0.4683,0.0,0.3586,0.0229
strat,v3,5,500,Urban,0.698,0.7097,0.0,0.2242,0.0508
strat,v3,5,500,Water,0.9693,0.9533,0.0,0.0901,0.0009
strat,v3,5,500,Agriculture,0.8658,0.7516,0.0,0.2187,0.0148
strat,v3,5,500,Grass/Shrub,0.2792,0.2951,0.0,0.2779,-0.0335
strat,v3,5,500,Wetland,0.4788,0.4028,0.0,0.2771,-0.014
strat,v3,5,500,Beaver,0.0196,0.2275,0.0,0.2817,0.0636
strat,v3,5,500,Insect/Disease,0.0307,0.1322,0.0,0.2172,-0.0172
simple,v3,5,1000,Harvest,0.0455,0.0469,0.0,0.138,0.0048
simple,v3,5,1000,Development,0.021,0.0197,0.05,0.0966,0.0137
simple,v3,5,1000,Forest,0.6459,0.6451,0.0,0.3976,-0.1468
simple,v3,5,1000,Urban,0.698,0.6912,0.0,0.1348,0.0205
simple,v3,5,1000,Water,0.9693,0.9707,0.0,0.065,0.0019
simple,v3,5,1000,Agriculture,0.8658,0.8654,0.0,0.1709,-0.007
simple,v3,5,1000,Grass/Shrub,0.2792,0.2714,0.0,0.2746,-0.0021
simple,v3,5,1000,Wetland,0.4788,0.4783,0.0,0.2459,-0.0342
simple,v3,5,1000,Beaver,0.0196,0.0131,0.08,0.2987,0.1172
simple,v3,5,1000,Insect/Disease,0.0307,0.0333,0.0,0.1735,0.032
strat,v3,5,1000,Harvest,0.0455,0.0703,0.0,0.2893,-0.0566
strat,v3,5,1000,Development,0.021,0.0721,0.0,0.223,-0.0312
strat,v3,5,1000,Forest,0.6459,0.4734,0.0,0.3581,0.0246
strat,v3,5,1000,Urban,0.698,0.7069,0.0,0.2246,0.0498
strat,v3,5,1000,Water,0.9693,0.9559,0.0,0.0878,0.0006
strat,v3,5,1000,Agriculture,0.8658,0.7484,0.0,0.2202,0.0153
strat,v3,5,1000,Grass/Shrub,0.2792,0.3004,0.0,0.2771,-0.0324
strat,v3,5,1000,Wetland,0.4788,0.3864,0.0,0.2798,-0.0139
strat,v3,5,1000,Beaver,0.0196,0.2274,0.0,0.2813,0.0613
strat,v3,5,1000,Insect/Disease,0.0307,0.1182,0.0,0.2165,-0.0175
simple,v3,5,2000,Harvest,0.0455,0.045,0.0,0.1392,0.0055
simple,v3,5,2000,Development,0.021,0.0238,0.0,0.0969,0.0136
simple,v3,5,2000,Forest,0.6459,0.6449,0.0,0.3986,-0.1491
simple,v3,5,2000,Urban,0.698,0.6982,0.0,0.1337,0.0199
simple,v3,5,2000,Water,0.9693,0.9696,0.0,0.0663,0.0022
simple,v3,5,2000,Agriculture,0.8658,0.8662,0.0,0.1714,-0.0065
simple,v3,5,2000,Grass/Shrub,0.2792,0.2817,0.0,0.2751,0.0001
simple,v3,5,2000,Wetland,0.4788,0.4864,0.0,0.2438,-0.0359
simple,v3,5,2000,Beaver,0.0196,0.019,0.02,0.2999,0.1184
simple,v3,5,2000,Insect/Disease,0.0307,0.0337,0.0,0.1734,0.0319
strat,v3,5,2000,Harvest,0.0455,0.06,0.0,0.2899,-0.0571
strat,v3,5,2000,Development,0.021,0.0691,0.0,0.2234,-0.0313
strat,v3,5,2000,Forest,0.6459,0.4717,0.0,0.358,0.0226
strat,v3,5,2000,Urban,0.698,0.7051,0.0,0.2254,0.0496
strat,v3,5,2000,Water,0.9693,0.9533,0.0,0.0906,0.0006
strat,v3,5,2000,Agriculture,0.8658,0.7477,0.0,0.2202,0.0148
strat,v3,5,2000,Grass/Shrub,0.2792,0.3126,0.0,0.2768,-0.0313
strat,v3,5,2000,Wetland,0.4788,0.3843,0.0,0.2802,-0.0128
strat,v3,5,2000,Beaver,0.0196,0.2236,0.0,0.2828,0.0627
strat,v3,5,2000,Insect/Disease,0.0307,0.1228,0.0,0.2185,-0.0177
simple,v3,5,5000,Harvest,0.0455,0.0475,0.0,0.1382,0.0052
simple,v3,5,5000,Development,0.021,0.0206,0.0,0.0947,0.013
simple,v3,5,5000,Forest,0.6459,0.6449,0.0,0.3979,-0.1475
simple,v3,5,5000,Urban,0.698,0.697,0.0,0.1337,0.0198
simple,v3,5,5000,Water,0.9693,0.9694,0.0,0.0671,0.0023
simple,v3,5,5000,Agriculture,0.8658,0.866,0.0,0.1714,-0.0066
simple,v3,5,5000,Grass/Shrub,0.2792,0.2807,0.0,0.2753,0.0002
simple,v3,5,5000,Wetland,0.4788,0.4793,0.0,0.2459,-0.0359
simple,v3,5,5000,Beaver,0.0196,0.0222,0.0,0.299,0.1177
simple,v3,5,5000,Insect/Disease,0.0307,0.0333,0.0,0.1737,0.0318
strat,v3,5,5000,Harvest,0.0455,0.0647,0.0,0.2951,-0.0581
strat,v3,5,5000,Development,0.021,0.0723,0.0,0.2218,-0.0304
strat,v3,5,5000,Forest,0.6459,0.4744,0.0,0.3594,0.0261
strat,v3,5,5000,Urban,0.698,0.7028,0.0,0.2285,0.0509
strat,v3,5,5000,Water,0.9693,0.9594,0.0,0.0854,0.0011
strat,v3,5,5000,Agriculture,0.8658,0.7493,0.0,0.2223,0.0148
strat,v3,5,5000,Grass/Shrub,0.2792,0.3083,0.0,0.28,-0.0341
strat,v3,5,5000,Wetland,0.4788,0.4031,0.0,0.2748,-0.0199
strat,v3,5,5000,Beaver,0.0196,0.1957,0.0,0.2745,0.0699
strat,v3,5,5000,Insect/Disease,0.0307,0.12,0.0,0.2193,-0.0205
