design,version,W,n,cls,census_corr,mean_corr,frac_undefined,mean_rmse,mean_bias
simple,v2,1,500,Harvest,0.0725,0.0711,0.0,0.1402,-0.0014
simple,v2,1,500,Development,0.0237,0.0425,0.76,0.0868,0.0071
simple,v2,1,500,Forest,0.6309,0.6242,0.0,0.4392,-0.0851
simple,v2,1,500,Urban,0.4856,0.465,0.0,0.2196,0.0261
simple,v2,1,500,Water,0.9351,0.9333,0.0,0.0968,0.0008
simple,v2,1,500,Agriculture,0.7657,0.7609,0.0,0.2439,-0.0135
simple,v2,1,500,Grass/Shrub,0.1977,0.2036,0.0,0.3677,0.0093
simple,v2,1,500,Wetland,0.3394,0.3388,0.0,0.3355,-0.0292
simple,v2,1,500,Beaver,0.0206,0.0503,0.83,0.2611,0.068
simple,v2,1,500,Insect/Disease,0.0202,0.0302,0.25,0.1517,0.0178
strat,v2,1,500,Harvest,0.0725,0.1128,0.0,0.3305,-0.075
strat,v2,1,500,Development,0.0237,0.1717,0.0,0.3181,-0.0801
strat,v2,1,500,Forest,0.6309,0.3528,0.0,0.4701,0.1688
strat,v2,1,500,Urban,0.4856,0.5013,0.0,0.3334,0.0478
strat,v2,1,500,Water,0.9351,0.9189,0.0,0.1198,0.0045
strat,v2,1,500,Agriculture,0.7657,0.6197,0.0,0.2829,0.0333
strat,v2,1,500,Grass/Shrub,0.1977,0.2443,0.0,0.3586,-0.0119
strat,v2,1,500,Wetland,0.3394,0.2688,0.0,0.3646,0.0028
strat,v2,1,500,Beaver,0.0206,0.2891,0.0,0.3473,-0.0127
strat,v2,1,500,Insect/Disease,0.0202,0.1034,0.0,0.3296,-0.0773
simple,v2,1,1000,Harvest,0.0725,0.0722,0.0,0.1386,-0.0016
simple,v2,1,1000,Development,0.0237,0.0155,0.51,0.0903,0.0073
simple,v2,1,1000,Forest,0.6309,0.6305,0.0,0.4357,-0.0843
simple,v2,1,1000,Urban,0.4856,0.495,0.0,0.2125,0.0255
simple,v2,1,1000,Water,0.9351,0.9346,0.0,0.0993,0.0009
simple,v2,1,1000,Agriculture,0.7657,0.7644,0.0,0.2437,-0.012
simple,v2,1,1000,Grass/Shrub,0.1977,0.2029,0.0,0.3672,0.0109
simple,v2,1,1000,Wetland,0.3394,0.3435,0.0,0.337,-0.032
simple,v2,1,1000,Beaver,0.0206,0.0477,0.74,0.2604,0.0677
simple,v2,1,1000,Insect/Disease,0.0202,0.0276,0.03,0.1547,0.0177
strat,v2,1,1000,Harvest,0.0725,0.1078,0.0,0.3317,-0.0746
strat,v2,1,1000,Development,0.0237,0.1687,0.0,0.3189,-0.0801
strat,v2,1,1000,Forest,0.6309,0.358,0.0,0.4666,0.166
strat,v2,1,1000,Urban,0.4856,0.4978,0.0,0.3354,0.0486
strat,v2,1,1000,Water,0.9351,0.9096,0.0,0.1288,0.0058
strat,v2,1,1000,Agriculture,0.7657,0.6225,0.0,0.282,0.0331
strat,v2,1,1000,Grass/Shrub,0.1977,0.2417,0.0,0.3604,-0.0108
strat,v2,1,1000,Wetland,0.3394,0.2558,0.0,0.3678,0.0026
strat,v2,1,1000,Beaver,0.0206,0.291,0.0,0.3462,-0.0137
strat,v2,1,1000,Insect/Disease,0.0202,0.1002,0.0,0.3306,-0.077
simple,v2,1,2000,Harvest,0.0725,0.0623,0.0,0.1387,-0.0018
simple,v2,1,2000,Development,0.0237,0.0268,0.28,0.0898,0.0071
simple,v2,1,2000,Forest,0.6309,0.6308,0.0,0.436,-0.086
simple,v2,1,2000,Urban,0.4856,0.4896,0.0,0.2157,0.0261
simple,v2,1,2000,Water,0.9351,0.9321,0.0,0.1016,0.0011
simple,v2,1,2000,Agriculture,0.7657,0.7658,0.0,0.2421,-0.0125
simple,v2,1,2000,Grass/Shrub,0.1977,0.1962,0.0,0.368,0.0126
simple,v2,1,2000,Wetland,0.3394,0.3401,0.0,0.3383,-0.0314
simple,v2,1,2000,Beaver,0.0206,0.0221,0.46,0.26,0.0672
simple,v2,1,2000,Insect/Disease,0.0202,0.0244,0.0,0.1545,0.0178
strat,v2,1,2000,Harvest,0.0725,0.1072,0.0,0.3317,-0.0749
strat,v2,1,2000,Development,0.0237,0.1737,0.0,0.3181,-0.0803
strat,v2,1,2000,Forest,0.6309,0.3526,0.0,0.4694,0.1676
strat,v2,1,2000,Urban,0.4856,0.4988,0.0,0.3346,0.0478
strat,v2,1,2000,Water,0.9351,0.9156,0.0,0.1246,0.005
strat,v2,1,2000,Agriculture,0.7657,0.622,0.0,0.2819,0.0327
strat,v2,1,2000,Grass/Shrub,0.1977,0.2359,0.0,0.3618,-0.011
strat,v2,1,2000,Wetland,0.3394,0.2567,0.0,0.3693,0.0044
strat,v2,1,2000,Beaver,0.0206,0.2858,0.0,0.3468,-0.0146
strat,v2,1,2000,Insect/Disease,0.0202,0.1019,0.0,0.3309,-0.0766
simple,v2,1,5000,Harvest,0.0725,0.0695,0.0,0.1391,-0.0014
simple,v2,1,5000,Development,0.0237,0.0346,0.04,0.0915,0.0073
simple,v2,1,5000,Forest,0.6309,0.63,0.0,0.4366,-0.0863
simple,v2,1,5000,Urban,0.4856,0.491,0.0,0.2143,0.0255
simple,v2,1,5000,Water,0.9351,0.9346,0.0,0.1005,0.0011
simple,v2,1,5000,Agriculture,0.7657,0.7654,0.0,0.2426,-0.0128
simple,v2,1,5000,Grass/Shrub,0.1977,0.1967,0.0,0.3677,0.0125
