design,version,W,n,metric,census,mean,sd,bias,lo,hi
simple,v3,1,1000,A_oa_wtd,0.6121,0.6124,0.01451,0.00034,0.585,0.6396
simple,v3,1,1000,A_macrof1_wtd,0.374,0.5527,0.05487,0.17873,0.4576,0.6352
simple,v3,1,1000,C_frac_majority,,1.0,0.0,,,
strat,v3,1,1000,A_oa,0.6121,0.4167,0.01286,-0.19531,0.394,0.442
strat,v3,1,1000,A_kappa,0.4898,0.3519,0.01429,-0.13786,0.3266,0.38
strat,v3,1,1000,A_macrof1,0.374,0.3761,0.01314,0.00209,0.351,0.3992
strat,v3,1,1000,B_oa,0.6121,0.611,0.02772,-0.00103,0.5572,0.6616
strat,v3,1,1000,C_oa,0.6121,0.611,0.02772,-0.00103,0.5572,0.6616
strat,v3,1,1000,A_oa_wtd,0.6121,0.611,0.02772,-0.00103,0.5572,0.6616
strat,v3,1,1000,A_macrof1_wtd,0.374,0.3741,0.01153,5e-05,0.3544,0.3966
strat,v3,1,1000,C_frac_majority,,1.0,0.0,,,
simple,v3,1,2000,A_oa,0.6121,0.6127,0.00966,0.00061,0.5965,0.6315
simple,v3,1,2000,A_kappa,0.4898,0.4906,0.01231,0.00078,0.4698,0.5163
simple,v3,1,2000,A_macrof1,0.374,0.5036,0.05257,0.12963,0.4202,0.6208
simple,v3,1,2000,B_oa,0.6121,0.6127,0.00966,0.00061,0.5965,0.6315
simple,v3,1,2000,C_oa,0.6121,0.6127,0.00966,0.00061,0.5965,0.6315
simple,v3,1,2000,A_oa_wtd,0.6121,0.6127,0.00966,0.00061,0.5965,0.6315
simple,v3,1,2000,A_macrof1_wtd,0.374,0.5036,0.05257,0.12963,0.4202,0.6208
simple,v3,1,2000,C_frac_majority,,1.0,0.0,,,
strat,v3,1,2000,A_oa,0.6121,0.4179,0.00891,-0.19418,0.4007,0.4335
strat,v3,1,2000,A_kappa,0.4898,0.3532,0.0099,-0.13659,0.3342,0.3706
strat,v3,1,2000,A_macrof1,0.374,0.3777,0.00936,0.00372,0.3581,0.3927
strat,v3,1,2000,B_oa,0.6121,0.614,0.01763,0.0019,0.579,0.6469
strat,v3,1,2000,C_oa,0.6121,0.614,0.01763,0.0019,0.579,0.6469
strat,v3,1,2000,A_oa_wtd,0.6121,0.614,0.01763,0.0019,0.579,0.6469
strat,v3,1,2000,A_macrof1_wtd,0.374,0.3757,0.00787,0.00165,0.3615,0.3902
strat,v3,1,2000,C_frac_majority,,1.0,0.0,,,
simple,v3,1,5000,A_oa,0.6121,0.6109,0.00746,-0.00112,0.5968,0.6241
simple,v3,1,5000,A_kappa,0.4898,0.4888,0.00863,-0.00096,0.4733,0.5057
simple,v3,1,5000,A_macrof1,0.374,0.451,0.03893,0.07697,0.3757,0.5324
simple,v3,1,5000,B_oa,0.6121,0.6109,0.00746,-0.00112,0.5968,0.6241
simple,v3,1,5000,C_oa,0.6121,0.6109,0.00746,-0.00112,0.5968,0.6241
simple,v3,1,5000,A_oa_wtd,0.6121,0.6109,0.00746,-0.00112,0.5968,0.6241
simple,v3,1,5000,A_macrof1_wtd,0.374,0.451,0.03893,0.07697,0.3757,0.5324
simple,v3,1,5000,C_frac_majority,,1.0,0.0,,,
strat,v3,1,5000,A_oa,0.6121,0.418,0.00562,-0.19408,0.4063,0.4284
strat,v3,1,5000,A_kappa,0.4898,0.3533,0.00625,-0.13649,0.3403,0.3649
strat,v3,1,5000,A_macrof1,0.374,0.3779,0.0058,0.00393,0.366,0.3887
strat,v3,1,5000,B_oa,0.6121,0.6123,0.01074,0.00024,0.594,0.636
strat,v3,1,5000,C_oa,0.6121,0.6123,0.01074,0.00024,0.594,0.636
strat,v3,1,5000,A_oa_wtd,0.6121,0.6123,0.01074,0.00024,0.594,0.636
strat,v3,1,5000,A_macrof1_wtd,0.374,0.3747,0.00527,0.00064,0.3641,0.3851
strat,v3,1,5000,C_frac_majority,,1.0,0.0,,,
simple,v3,3,20,A_oa,0.6127,0.6002,0.09667,-0.01246,0.4331,0.7897
simple,v3,3,20,A_kappa,0.4904,0.4641,0.12091,-0.02637,0.2458,0.7095
simple,v3,3,20,A_macrof1,0.3746,0.6402,0.11097,0.26557,0.4578,0.8661
simple,v3,3,20,B_oa,0.6379,0.624,0.11492,-0.01392,0.4,0.85
simple,v3,3,20,C_oa,0.6237,0.611,0.11294,-0.01274,0.4,0.85
simple,v3,3,20,A_oa_wtd,0.6127,0.6002,0.09667,-0.01246,0.4331,0.7897
simple,v3,3,20,A_macrof1_wtd,0.3746,0.6402,0.11097,0.26557,0.4578,0.8661
simple,v3,3,20,C_frac_majority,,0.9855,0.03122,,,
strat,v3,3,20,A_oa,0.6127,0.4483,0.06391,-0.16442,0.319,0.5725
strat,v3,3,20,A_kappa,0.4904,0.375,0.07032,-0.11542,0.2354,0.5089
strat,v3,3,20,A_macrof1,0.3746,0.5278,0.066,0.15318,0.4014,0.6678
strat,v3,3,20,B_oa,0.6379,0.6304,0.18438,-0.00749,0.2748,0.9286
strat,v3,3,20,C_oa,0.6237,0.6219,0.17914,-0.00189,0.2419,0.8897
strat,v3,3,20,A_oa_wtd,0.6127,0.6012,0.16398,-0.01146,0.2806,0.8572
strat,v3,3,20,A_macrof1_wtd,0.3746,0.5575,0.10052,0.18286,0.3946,0.7622
strat,v3,3,20,C_frac_majority,,0.9795,0.03186,,,
simple,v3,3,50,A_oa,0.6127,0.6066,0.05975,-0.00614,0.5088,0.7281
simple,v3,3,50,A_kappa,0.4904,0.4804,0.07621,-0.01007,0.3534,0.6249
simple,v3,3,50,A_macrof1,0.3746,0.6043,0.06433,0.22966,0.5004,0.7301
simple,v3,3,50,B_oa,0.6379,0.6382,0.06691,0.00028,0.52,0.76
simple,v3,3,50,C_oa,0.6237,0.6214,0.06571,-0.00234,0.5095,0.74
simple,v3,3,50,A_oa_wtd,0.6127,0.6066,0.05975,-0.00614,0.5088,0.7281
simple,v3,3,50,A_macrof1_wtd,0.3746,0.6043,0.06433,0.22966,0.5004,0.7301
simple,v3,3,50,C_frac_majority,,0.9862,0.01674,,,
strat,v3,3,50,A_oa,0.6127,0.4605,0.04372,-0.15221,0.3855,0.5518
strat,v3,3,50,A_kappa,0.4904,0.3879,0.04879,-0.10251,0.306,0.4906
strat,v3,3,50,A_macrof1,0.3746,0.4681,0.05406,0.0935,0.3654,0.574
strat,v3,3,50,B_oa,0.6379,0.6489,0.10574,0.01096,0.45,0.8234
strat,v3,3,50,C_oa,0.6237,0.6327,0.10744,0.00896,0.4392,0.8187
strat,v3,3,50,A_oa_wtd,0.6127,0.626,0.08669,0.01329,0.4746,0.7952
strat,v3,3,50,A_macrof1_wtd,0.3746,0.4707,0.0629,0.09611,0.3599,0.5875
strat,v3,3,50,C_frac_majority,,0.9812,0.01986,,,
simple,v3,3,100,A_oa,0.6127,0.6042,0.04406,-0.00848,0.5016,0.684
simple,v3,3,100,A_kappa,0.4904,0.4785,0.05294,-0.01193,0.3606,0.5743
simple,v3,3,100,A_macrof1,0.3746,0.5846,0.04972,0.20995,0.4791,0.6671
simple,v3,3,100,B_oa,0.6379,0.6272,0.04891,-0.01072,0.5148,0.71
simple,v3,3,100,C_oa,0.6237,0.6152,0.05048,-0.00854,0.4995,0.7
simple,v3,3,100,A_oa_wtd,0.6127,0.6042,0.04406,-0.00848,0.5016,0.684
simple,v3,3,100,A_macrof1_wtd,0.3746,0.5846,0.04972,0.20995,0.4791,0.6671
simple,v3,3,100,C_frac_majority,,0.9834,0.01304,,,
strat,v3,3,100,A_oa,0.6127,0.456,0.03194,-0.15666,0.404,0.5228
strat,v3,3,100,A_kappa,0.4904,0.383,0.03534,-0.10742,0.3268,0.4564
strat,v3,3,100,A_macrof1,0.3746,0.4239,0.04147,0.04932,0.3523,0.5026
strat,v3,3,100,B_oa,0.6379,0.6485,0.08725,0.01057,0.4673,0.7944
strat,v3,3,100,C_oa,0.6237,0.6327,0.08602,0.00897,0.4691,0.7821
strat,v3,3,100,A_oa_wtd,0.6127,0.6203,0.07651,0.00755,0.468,0.7592
strat,v3,3,100,A_macrof1_wtd,0.3746,0.4248,0.05113,0.05019,0.3418,0.5193
strat,v3,3,100,C_frac_majority,,0.9805,0.01388,,,
simple,v3,3,200,A_oa,0.6127,0.6104,0.03281,-0.00234,0.5332,0.6641
simple,v3,3,200,A_kappa,0.4904,0.4881,0.04029,-0.00236,0.4007,0.5582
simple,v3,3,200,A_macrof1,0.3746,0.5733,0.05649,0.19865,0.4436,0.6632
simple,v3,3,200,B_oa,0.6379,0.6377,0.03886,-0.00022,0.55,0.695
simple,v3,3,200,C_oa,0.6237,0.6242,0.03864,0.00051,0.5448,0.6826
simple,v3,3,200,A_oa_wtd,0.6127,0.6104,0.03281,-0.00234,0.5332,0.6641
simple,v3,3,200,A_macrof1_wtd,0.3746,0.5733,0.05649,0.19865,0.4436,0.6632
simple,v3,3,200,C_frac_majority,,0.9832,0.00895,,,
strat,v3,3,200,A_oa,0.6127,0.4568,0.0204,-0.15586,0.4122,0.4911
strat,v3,3,200,A_kappa,0.4904,0.3843,0.02283,-0.10609,0.3357,0.4221
strat,v3,3,200,A_macrof1,0.3746,0.3966,0.02879,0.02202,0.3453,0.4621
strat,v3,3,200,B_oa,0.6379,0.6413,0.05272,0.00335,0.5525,0.7426
strat,v3,3,200,C_oa,0.6237,0.6282,0.0533,0.00447,0.5177,0.727
strat,v3,3,200,A_oa_wtd,0.6127,0.6119,0.04719,-0.00083,0.5149,0.6938
strat,v3,3,200,A_macrof1_wtd,0.3746,0.3911,0.0306,0.01643,0.3402,0.455
strat,v3,3,200,C_frac_majority,,0.9814,0.00962,,,
simple,v3,3,500,A_oa,0.6127,0.6124,0.01874,-0.00028,0.5743,0.6448
simple,v3,3,500,A_kappa,0.4904,0.4891,0.02218,-0.0013,0.4379,0.5286
simple,v3,3,500,A_macrof1,0.3746,0.5184,0.05877,0.1438,0.4169,0.6417
simple,v3,3,500,B_oa,0.6379,0.6383,0.02076,0.00036,0.594,0.6741
simple,v3,3,500,C_oa,0.6237,0.624,0.02132,0.00024,0.5829,0.6612
simple,v3,3,500,A_oa_wtd,0.6127,0.6124,0.01874,-0.00028,0.5743,0.6448
simple,v3,3,500,A_macrof1_wtd,0.3746,0.5184,0.05877,0.1438,0.4169,0.6417
simple,v3,3,500,C_frac_majority,,0.9849,0.00537,,,
strat,v3,3,500,A_oa,0.6127,0.456,0.01333,-0.15671,0.4321,0.48
strat,v3,3,500,A_kappa,0.4904,0.3839,0.01458,-0.10658,0.3579,0.4125
strat,v3,3,500,A_macrof1,0.3746,0.3861,0.01416,0.0115,0.3633,0.4168
strat,v3,3,500,B_oa,0.6379,0.6326,0.0385,-0.00531,0.5627,0.7093
strat,v3,3,500,C_oa,0.6237,0.6195,0.03776,-0.00421,0.5483,0.6928
strat,v3,3,500,A_oa_wtd,0.6127,0.6093,0.03406,-0.00344,0.5478,0.6741
strat,v3,3,500,A_macrof1_wtd,0.3746,0.3747,0.01492,0.0001,0.3519,0.4057
strat,v3,3,500,C_frac_majority,,0.9802,0.00613,,,
simple,v3,3,1000,A_oa,0.6127,0.6124,0.01329,-0.00031,0.5871,0.643
simple,v3,3,1000,A_kappa,0.4904,0.4897,0.01549,-0.00072,0.4611,0.5246
simple,v3,3,1000,A_macrof1,0.3746,0.4787,0.05804,0.10404,0.3991,0.6169
simple,v3,3,1000,B_oa,0.6379,0.6376,0.01541,-0.00031,0.609,0.6736
simple,v3,3,1000,C_oa,0.6237,0.623,0.01483,-0.00071,0.5955,0.655
simple,v3,3,1000,A_oa_wtd,0.6127,0.6124,0.01329,-0.00031,0.5871,0.643
simple,v3,3,1000,A_macrof1_wtd,0.3746,0.4787,0.05804,0.10404,0.3991,0.6169
simple,v3,3,1000,C_frac_majority,,0.9845,0.00323,,,
strat,v3,3,1000,A_oa,0.6127,0.4553,0.00852,-0.1574,0.4387,0.4716
strat,v3,3,1000,A_kappa,0.4904,0.3831,0.00941,-0.10734,0.3653,0.4007
strat,v3,3,1000,A_macrof1,0.3746,0.3853,0.00863,0.01063,0.3695,0.4017
strat,v3,3,1000,B_oa,0.6379,0.6391,0.02611,0.00122,0.5936,0.6893
strat,v3,3,1000,C_oa,0.6237,0.6261,0.02563,0.00236,0.5796,0.6729
strat,v3,3,1000,A_oa_wtd,0.6127,0.6148,0.02232,0.0021,0.5782,0.6606
strat,v3,3,1000,A_macrof1_wtd,0.3746,0.3761,0.00925,0.00145,0.357,0.3929
strat,v3,3,1000,C_frac_majority,,0.9809,0.00443,,,
simple,v3,3,2000,A_oa,0.6127,0.613,0.00818,0.00026,0.5993,0.6291
simple,v3,3,2000,A_kappa,0.4904,0.4901,0.01038,-0.00028,0.4754,0.5124
simple,v3,3,2000,A_macrof1,0.3746,0.4424,0.03815,0.0678,0.3751,0.5353
simple,v3,3,2000,B_oa,0.6379,0.6388,0.00988,0.0009,0.6207,0.6583
simple,v3,3,2000,C_oa,0.6237,0.6244,0.00953,0.00067,0.6067,0.6415
simple,v3,3,2000,A_oa_wtd,0.6127,0.613,0.00818,0.00026,0.5993,0.6291
simple,v3,3,2000,A_macrof1_wtd,0.3746,0.4424,0.03815,0.0678,0.3751,0.5353
simple,v3,3,2000,C_frac_majority,,0.9841,0.00307,,,
strat,v3,3,2000,A_oa,0.6127,0.4547,0.00583,-0.15797,0.4437,0.4655
strat,v3,3,2000,A_kappa,0.4904,0.3824,0.00652,-0.10806,0.3693,0.3953
strat,v3,3,2000,A_macrof1,0.3746,0.385,0.00616,0.01041,0.3742,0.3962
strat,v3,3,2000,B_oa,0.6379,0.6372,0.01769,-0.00068,0.6063,0.6666
strat,v3,3,2000,C_oa,0.6237,0.6237,0.01868,-6e-05,0.5855,0.6559
strat,v3,3,2000,A_oa_wtd,0.6127,0.6128,0.01538,0.0001,0.5836,0.6358
strat,v3,3,2000,A_macrof1_wtd,0.3746,0.3751,0.00671,0.00043,0.3626,0.3866
strat,v3,3,2000,C_frac_majority,,0.9804,0.00313,,,
simple,v3,3,5000,A_oa,0.6127,0.6132,0.0049,0.00047,0.6047,0.6235
simple,v3,3,5000,A_kappa,0.4904,0.4907,0.00632,0.00022,0.4797,0.5042
simple,v3,3,5000,A_macrof1,0.3746,0.4067,0.02947,0.0321,0.368,0.4736
simple,v3,3,5000,B_oa,0.6379,0.6384,0.00626,0.00044,0.6276,0.6512
simple,v3,3,5000,C_oa,0.6237,0.6238,0.00605,7e-05,0.6136,0.6376
simple,v3,3,5000,A_oa_wtd,0.6127,0.6132,0.0049,0.00047,0.6047,0.6235
simple,v3,3,5000,A_macrof1_wtd,0.3746,0.4067,0.02947,0.0321,0.368,0.4736
simple,v3,3,5000,C_frac_majority,,0.9844,0.00157,,,
strat,v3,3,5000,A_oa,0.6127,0.455,0.00399,-0.15773,0.4473,0.4627
strat,v3,3,5000,A_kappa,0.4904,0.3826,0.00436,-0.10786,0.3745,0.3907
strat,v3,3,5000,A_macrof1,0.3746,0.3845,0.00342,0.00988,0.3786,0.3917
strat,v3,3,5000,B_oa,0.6379,0.6372,0.011,-0.00071,0.6144,0.6575
strat,v3,3,5000,C_oa,0.6237,0.6232,0.01085,-0.00059,0.6011,0.6411
strat,v3,3,5000,A_oa_wtd,0.6127,0.6127,0.0097,-1e-05,0.5917,0.628
strat,v3,3,5000,A_macrof1_wtd,0.3746,0.3743,0.00435,-0.00031,0.3658,0.3828
strat,v3,3,5000,C_frac_majority,,0.9806,0.00161,,,
simple,v3,5,20,A_oa,0.6128,0.6102,0.10009,-0.00255,0.4034,0.8097
simple,v3,5,20,A_kappa,0.4905,0.4756,0.1186,-0.01486,0.2704,0.7149
simple,v3,5,20,A_macrof1,0.3746,0.621,0.11188,0.24641,0.4245,0.8699
simple,v3,5,20,B_oa,0.6545,0.644,0.11813,-0.01048,0.4,0.8762
simple,v3,5,20,C_oa,0.6299,0.62,0.11849,-0.00988,0.4,0.8262
simple,v3,5,20,A_oa_wtd,0.6128,0.6102,0.10009,-0.00255,0.4034,0.8097
simple,v3,5,20,A_macrof1_wtd,0.3746,0.621,0.11188,0.24641,0.4245,0.8699
simple,v3,5,20,C_frac_majority,,0.958,0.03809,,,
strat,v3,5,20,A_oa,0.6128,0.4723,0.07379,-0.1405,0.3295,0.5888
strat,v3,5,20,A_kappa,0.4905,0.3934,0.08187,-0.09712,0.2394,0.5287
strat,v3,5,20,A_macrof1,0.3746,0.5115,0.0772,0.13688,0.3776,0.6523
strat,v3,5,20,B_oa,0.6545,0.6422,0.20121,-0.01228,0.2458,0.9319
strat,v3,5,20,C_oa,0.6299,0.6221,0.19577,-0.00781,0.2442,0.8914
strat,v3,5,20,A_oa_wtd,0.6128,0.6154,0.16078,0.00264,0.2924,0.8715
strat,v3,5,20,A_macrof1_wtd,0.3746,0.528,0.09897,0.15343,0.3546,0.7498
strat,v3,5,20,C_frac_majority,,0.952,0.04763,,,
simple,v3,5,50,A_oa,0.6128,0.6233,0.05305,0.0105,0.511,0.7145
simple,v3,5,50,A_kappa,0.4905,0.4988,0.06498,0.0083,0.3675,0.6157
simple,v3,5,50,A_macrof1,0.3746,0.5882,0.06213,0.21365,0.481,0.7077
simple,v3,5,50,B_oa,0.6545,0.6658,0.06552,0.01132,0.54,0.7705
simple,v3,5,50,C_oa,0.6299,0.6428,0.06817,0.01292,0.4895,0.76
simple,v3,5,50,A_oa_wtd,0.6128,0.6233,0.05305,0.0105,0.511,0.7145
simple,v3,5,50,A_macrof1_wtd,0.3746,0.5882,0.06213,0.21365,0.481,0.7077
simple,v3,5,50,C_frac_majority,,0.9654,0.0268,,,
strat,v3,5,50,A_oa,0.6128,0.4714,0.0342,-0.14139,0.4061,0.5345
strat,v3,5,50,A_kappa,0.4905,0.395,0.03725,-0.0955,0.323,0.4613
strat,v3,5,50,A_macrof1,0.3746,0.4509,0.04762,0.07625,0.3638,0.5432
strat,v3,5,50,B_oa,0.6545,0.6662,0.12122,0.01173,0.4047,0.8562
strat,v3,5,50,C_oa,0.6299,0.6425,0.11847,0.01265,0.3912,0.835
strat,v3,5,50,A_oa_wtd,0.6128,0.6277,0.09542,0.01494,0.4215,0.7659
strat,v3,5,50,A_macrof1_wtd,0.3746,0.4551,0.05993,0.08055,0.3402,0.5714
strat,v3,5,50,C_frac_majority,,0.9554,0.0271,,,
simple,v3,5,100,A_oa,0.6128,0.6081,0.04484,-0.00461,0.5132,0.6941
simple,v3,5,100,A_kappa,0.4905,0.4851,0.05331,-0.00537,0.3806,0.5819
simple,v3,5,100,A_macrof1,0.3746,0.5743,0.06294,0.19975,0.4714,0.6855
simple,v3,5,100,B_oa,0.6545,0.6509,0.05373,-0.00358,0.53,0.75
simple,v3,5,100,C_oa,0.6299,0.6288,0.05553,-0.00108,0.51,0.73
simple,v3,5,100,A_oa_wtd,0.6128,0.6081,0.04484,-0.00461,0.5132,0.6941
simple,v3,5,100,A_macrof1_wtd,0.3746,0.5743,0.06294,0.19975,0.4714,0.6855
simple,v3,5,100,C_frac_majority,,0.9622,0.01829,,,
strat,v3,5,100,A_oa,0.6128,0.4641,0.02577,-0.1487,0.4179,0.5154
strat,v3,5,100,A_kappa,0.4905,0.3872,0.02827,-0.10327,0.3353,0.4469
strat,v3,5,100,A_macrof1,0.3746,0.4094,0.03772,0.03481,0.3456,0.4735
strat,v3,5,100,B_oa,0.6545,0.6498,0.08191,-0.00472,0.4758,0.8049
strat,v3,5,100,C_oa,0.6299,0.6227,0.08588,-0.00721,0.4518,0.7912
strat,v3,5,100,A_oa_wtd,0.6128,0.605,0.06718,-0.00777,0.4545,0.7258
strat,v3,5,100,A_macrof1_wtd,0.3746,0.4137,0.04594,0.03911,0.3392,0.4943
strat,v3,5,100,C_frac_majority,,0.9554,0.02096,,,
simple,v3,5,200,A_oa,0.6128,0.6041,0.02552,-0.00865,0.5536,0.654
simple,v3,5,200,A_kappa,0.4905,0.4805,0.02838,-0.01002,0.4277,0.5361
simple,v3,5,200,A_macrof1,0.3746,0.5387,0.05892,0.16413,0.4265,0.6521
simple,v3,5,200,B_oa,0.6545,0.6447,0.03386,-0.00973,0.5769,0.705
simple,v3,5,200,C_oa,0.6299,0.6202,0.03421,-0.00973,0.5545,0.6776
simple,v3,5,200,A_oa_wtd,0.6128,0.6041,0.02552,-0.00865,0.5536,0.654
simple,v3,5,200,A_macrof1_wtd,0.3746,0.5387,0.05892,0.16413,0.4265,0.6521
simple,v3,5,200,C_frac_majority,,0.9637,0.01321,,,
strat,v3,5,200,A_oa,0.6128,0.4667,0.02169,-0.14604,0.4235,0.4997
strat,v3,5,200,A_kappa,0.4905,0.3904,0.02419,-0.10005,0.3396,0.4277
strat,v3,5,200,A_macrof1,0.3746,0.3869,0.02382,0.01234,0.3395,0.4324
strat,v3,5,200,B_oa,0.6545,0.6498,0.05687,-0.00464,0.5487,0.7438
strat,v3,5,200,C_oa,0.6299,0.6289,0.05686,-0.00094,0.517,0.7242
strat,v3,5,200,A_oa_wtd,0.6128,0.6079,0.04701,-0.00486,0.5101,0.6915
strat,v3,5,200,A_macrof1_wtd,0.3746,0.3835,0.02488,0.00886,0.3423,0.436
strat,v3,5,200,C_frac_majority,,0.956,0.01414,,,
simple,v3,5,500,A_oa,0.6128,0.6131,0.0182,0.00038,0.5794,0.6402
simple,v3,5,500,A_kappa,0.4905,0.49,0.0215,-0.00049,0.4525,0.5232
simple,v3,5,500,A_macrof1,0.3746,0.4863,0.05688,0.11166,0.3829,0.6056
simple,v3,5,500,B_oa,0.6545,0.6565,0.02274,0.00198,0.6069,0.698
simple,v3,5,500,C_oa,0.6299,0.6321,0.02286,0.00222,0.5849,0.678
simple,v3,5,500,A_oa_wtd,0.6128,0.6131,0.0182,0.00038,0.5794,0.6402
simple,v3,5,500,A_macrof1_wtd,0.3746,0.4863,0.05688,0.11166,0.3829,0.6056
simple,v3,5,500,C_frac_majority,,0.9639,0.00801,,,
strat,v3,5,500,A_oa,0.6128,0.4696,0.01252,-0.14313,0.446,0.4959
strat,v3,5,500,A_kappa,0.4905,0.3941,0.01378,-0.09639,0.3685,0.4222
strat,v3,5,500,A_macrof1,0.3746,0.3828,0.01398,0.00821,0.3615,0.4131
strat,v3,5,500,B_oa,0.6545,0.6539,0.03787,-0.00058,0.5795,0.7217
strat,v3,5,500,C_oa,0.6299,0.6292,0.03779,-0.00065,0.5501,0.6995
strat,v3,5,500,A_oa_wtd,0.6128,0.6119,0.03056,-0.00088,0.5408,0.6623
strat,v3,5,500,A_macrof1_wtd,0.3746,0.3765,0.01679,0.00189,0.3518,0.4123
strat,v3,5,500,C_frac_majority,,0.957,0.00903,,,
simple,v3,5,1000,A_oa,0.6128,0.6132,0.01278,0.00039,0.5922,0.637
simple,v3,5,1000,A_kappa,0.4905,0.4901,0.01613,-0.00033,0.4599,0.5222
simple,v3,5,1000,A_macrof1,0.3746,0.4438,0.04404,0.06923,0.3727,0.532
simple,v3,5,1000,B_oa,0.6545,0.6541,0.01494,-0.00041,0.6265,0.6801
simple,v3,5,1000,C_oa,0.6299,0.6295,0.01612,-0.00043,0.5985,0.653
simple,v3,5,1000,A_oa_wtd,0.6128,0.6132,0.01278,0.00039,0.5922,0.637
simple,v3,5,1000,A_macrof1_wtd,0.3746,0.4438,0.04404,0.06923,0.3727,0.532
simple,v3,5,1000,C_frac_majority,,0.9641,0.00622,,,
strat,v3,5,1000,A_oa,0.6128,0.4689,0.00906,-0.14384,0.4528,0.4855
strat,v3,5,1000,A_kappa,0.4905,0.3931,0.01015,-0.09737,0.3748,0.4123
strat,v3,5,1000,A_macrof1,0.3746,0.3817,0.00904,0.00707,0.3653,0.3997
strat,v3,5,1000,B_oa,0.6545,0.6573,0.02295,0.00287,0.6102,0.6989
strat,v3,5,1000,C_oa,0.6299,0.6333,0.02219,0.00341,0.5866,0.6715
strat,v3,5,1000,A_oa_wtd,0.6128,0.6138,0.01939,0.00101,0.5757,0.6476
strat,v3,5,1000,A_macrof1_wtd,0.3746,0.3753,0.00955,0.00067,0.3581,0.395
strat,v3,5,1000,C_frac_majority,,0.9559,0.00599,,,
simple,v3,5,2000,A_oa,0.6128,0.6122,0.00874,-0.00054,0.5941,0.6279
simple,v3,5,2000,A_kappa,0.4905,0.4901,0.01123,-0.00037,0.4632,0.5072
simple,v3,5,2000,A_macrof1,0.3746,0.4175,0.03271,0.0429,0.3672,0.4711
simple,v3,5,2000,B_oa,0.6545,0.6535,0.01013,-0.00097,0.637,0.6723
simple,v3,5,2000,C_oa,0.6299,0.629,0.01106,-0.0009,0.6087,0.6505
simple,v3,5,2000,A_oa_wtd,0.6128,0.6122,0.00874,-0.00054,0.5941,0.6279
simple,v3,5,2000,A_macrof1_wtd,0.3746,0.4175,0.03271,0.0429,0.3672,0.4711
simple,v3,5,2000,C_frac_majority,,0.9633,0.00336,,,
strat,v3,5,2000,A_oa,0.6128,0.4678,0.00645,-0.14501,0.4562,0.4817
strat,v3,5,2000,A_kappa,0.4905,0.392,0.0072,-0.09846,0.3793,0.4067
strat,v3,5,2000,A_macrof1,0.3746,0.3811,0.00603,0.00647,0.3705,0.3929
strat,v3,5,2000,B_oa,0.6545,0.6554,0.01965,0.00096,0.6214,0.6918
strat,v3,5,2000,C_oa,0.6299,0.6296,0.0198,-0.00033,0.5942,0.6661
strat,v3,5,2000,A_oa_wtd,0.6128,0.6121,0.01659,-0.00064,0.582,0.6413
strat,v3,5,2000,A_macrof1_wtd,0.3746,0.3747,0.00675,0.00013,0.3612,0.3871
strat,v3,5,2000,C_frac_majority,,0.9561,0.00431,,,
simple,v3,5,5000,A_oa,0.6128,0.6126,0.00632,-0.0002,0.601,0.6232
simple,v3,5,5000,A_kappa,0.4905,0.4901,0.00748,-0.00034,0.4749,0.503
simple,v3,5,5000,A_macrof1,0.3746,0.3853,0.01808,0.0107,0.3683,0.4205
simple,v3,5,5000,B_oa,0.6545,0.6544,0.00748,-9e-05,0.6397,0.6672
simple,v3,5,5000,C_oa,0.6299,0.6296,0.00778,-0.00031,0.6159,0.6433
simple,v3,5,5000,A_oa_wtd,0.6128,0.6126,0.00632,-0.0002,0.601,0.6232
simple,v3,5,5000,A_macrof1_wtd,0.3746,0.3853,0.01808,0.0107,0.3683,0.4205
simple,v3,5,5000,C_frac_majority,,0.9637,0.00261,,,
strat,v3,5,5000,A_oa,0.6128,0.4724,0.00399,-0.14036,0.4663,0.4795
strat,v3,5,5000,A_kappa,0.4905,0.397,0.00438,-0.09347,0.3903,0.4048
strat,v3,5,5000,A_macrof1,0.3746,0.3806,0.00332,0.00603,0.375,0.3858
strat,v3,5,5000,B_oa,0.6545,0.6533,0.01209,-0.00119,0.6313,0.6784
strat,v3,5,5000,C_oa,0.6299,0.6282,0.01249,-0.00169,0.6041,0.6537
strat,v3,5,5000,A_oa_wtd,0.6128,0.6114,0.01013,-0.00141,0.5921,0.6295
strat,v3,5,5000,A_macrof1_wtd,0.3746,0.3738,0.00428,-0.0008,0.3664,0.3827
strat,v3,5,5000,C_frac_majority,,0.957,0.0024,,,
simple,v3,7,20,A_oa,0.6127,0.5967,0.08309,-0.01603,0.4268,0.7235
simple,v3,7,20,A_kappa,0.4904,0.4663,0.10013,-0.02415,0.2548,0.6308
simple,v3,7,20,A_macrof1,0.3746,0.5736,0.09532,0.19896,0.3873,0.761
simple,v3,7,20,B_oa,0.6678,0.6525,0.1074,-0.01532,0.4238,0.8
simple,v3,7,20,C_oa,0.6345,0.6165,0.10201,-0.01795,0.4,0.8
simple,v3,7,20,A_oa_wtd,0.6127,0.5967,0.08309,-0.01603,0.4268,0.7235
simple,v3,7,20,A_macrof1_wtd,0.3746,0.5736,0.09532,0.19896,0.3873,0.761
simple,v3,7,20,C_frac_majority,,0.936,0.05777,,,
