design,version,W,n,metric,census,mean,sd,bias,lo,hi
strat,v2,1,200,A_oa_wtd,0.6627,0.6615,0.05617,-0.00112,0.5601,0.7513
strat,v2,1,200,A_macrof1_wtd,0.3811,0.4199,0.04392,0.03886,0.3481,0.5319
strat,v2,1,200,C_frac_majority,,1.0,0.0,,,
simple,v2,1,500,A_oa,0.6627,0.6595,0.02216,-0.00315,0.6239,0.699
simple,v2,1,500,A_kappa,0.5368,0.5318,0.02837,-0.00497,0.4838,0.5819
simple,v2,1,500,A_macrof1,0.3811,0.5772,0.04634,0.19615,0.4925,0.6536
simple,v2,1,500,B_oa,0.6627,0.6595,0.02216,-0.00315,0.6239,0.699
simple,v2,1,500,C_oa,0.6627,0.6595,0.02216,-0.00315,0.6239,0.699
simple,v2,1,500,A_oa_wtd,0.6627,0.6595,0.02216,-0.00315,0.6239,0.699
simple,v2,1,500,A_macrof1_wtd,0.3811,0.5772,0.04634,0.19615,0.4925,0.6536
simple,v2,1,500,C_frac_majority,,1.0,0.0,,,
strat,v2,1,500,A_oa,0.6627,0.4347,0.02003,-0.22793,0.403,0.4711
strat,v2,1,500,A_kappa,0.5368,0.3719,0.02225,-0.16486,0.3366,0.4124
strat,v2,1,500,A_macrof1,0.3811,0.3943,0.02186,0.01321,0.3602,0.4416
strat,v2,1,500,B_oa,0.6627,0.6661,0.03563,0.00343,0.5977,0.7236
strat,v2,1,500,C_oa,0.6627,0.6661,0.03563,0.00343,0.5977,0.7236
strat,v2,1,500,A_oa_wtd,0.6627,0.6661,0.03563,0.00343,0.5977,0.7236
strat,v2,1,500,A_macrof1_wtd,0.3811,0.3886,0.02067,0.00751,0.3529,0.4305
strat,v2,1,500,C_frac_majority,,1.0,0.0,,,
simple,v2,1,1000,A_oa,0.6627,0.663,0.01476,0.00036,0.632,0.69
simple,v2,1,1000,A_kappa,0.5368,0.5377,0.01983,0.00091,0.4979,0.5761
simple,v2,1,1000,A_macrof1,0.3811,0.5465,0.04976,0.16542,0.4447,0.6368
simple,v2,1,1000,B_oa,0.6627,0.663,0.01476,0.00036,0.632,0.69
simple,v2,1,1000,C_oa,0.6627,0.663,0.01476,0.00036,0.632,0.69
simple,v2,1,1000,A_oa_wtd,0.6627,0.663,0.01476,0.00036,0.632,0.69
simple,v2,1,1000,A_macrof1_wtd,0.3811,0.5465,0.04976,0.16542,0.4447,0.6368
simple,v2,1,1000,C_frac_majority,,1.0,0.0,,,
strat,v2,1,1000,A_oa,0.6627,0.4331,0.01369,-0.22954,0.4035,0.4575
strat,v2,1,1000,A_kappa,0.5368,0.3701,0.01521,-0.16664,0.3372,0.3972
strat,v2,1,1000,A_macrof1,0.3811,0.3909,0.01429,0.0098,0.3623,0.4159
strat,v2,1,1000,B_oa,0.6627,0.6662,0.02433,0.00359,0.6233,0.7148
strat,v2,1,1000,C_oa,0.6627,0.6662,0.02433,0.00359,0.6233,0.7148
strat,v2,1,1000,A_oa_wtd,0.6627,0.6662,0.02433,0.00359,0.6233,0.7148
strat,v2,1,1000,A_macrof1_wtd,0.3811,0.3826,0.01298,0.00154,0.3591,0.4065
strat,v2,1,1000,C_frac_majority,,1.0,0.0,,,
simple,v2,1,2000,A_oa,0.6627,0.6623,0.01224,-0.00035,0.6417,0.6833
simple,v2,1,2000,A_kappa,0.5368,0.536,0.01537,-0.00077,0.5067,0.5628
simple,v2,1,2000,A_macrof1,0.3811,0.5091,0.05007,0.12803,0.4195,0.6187
