category,label,pixels,area_ha,area_km2,pct_of_valid
0,background,1077425666,10774256.66,107742.5666,
1,agree,1994007621,19940076.21,199400.7621,81.9135
2,stable/stable mismatch,73839681,738396.81,7383.9681,3.0333
3,v2-change / v5-stable,29472600,294726.0,2947.26,1.2107
4,v5-change / v2-stable,333647540,3336475.4,33364.754,13.7062
5,change/change mismatch,3317614,33176.14,331.7614,0.1363
