category,label,pixels,area_ha,area_km2,pct_of_valid
0,background,1077425666,10774256.66,107742.5666,
1,agree,2058517101,20585171.01,205851.7101,84.5635
2,stable/stable mismatch,77127561,771275.61,7712.7561,3.1684
3,v3-change / v5-stable,69634548,696345.48,6963.4548,2.8606
4,v5-change / v3-stable,216198537,2161985.37,21619.8537,8.8814
5,change/change mismatch,12807309,128073.09,1280.7309,0.5261
