version,n,W,pixels_per_cell,mean_total_px,census_oa,mean_oa,sd_oa,oa_lo,oa_hi,bias_oa,census_mf1,mean_mf1,sd_mf1,census_kappa,mean_kappa,sd_kappa,sd_binom_oa,design_effect,sd_ratio,eff_sample_size
v5,1,7,49,8804.4,0.5706,0.5719,0.02634,0.5185,0.6228,0.00133,0.3619,0.5168,0.06072,0.4482,0.4489,0.02965,0.005275,24.938,4.994,353.0
v5,2,7,98,17608.7,0.5706,0.5705,0.01662,0.5394,0.6034,-9e-05,0.3619,0.4611,0.05845,0.4482,0.4479,0.01866,0.00373,19.843,4.455,887.4
v5,5,7,245,44028.2,0.5706,0.5722,0.01072,0.5531,0.5929,0.00163,0.3619,0.4128,0.03694,0.4482,0.4498,0.01237,0.002359,20.637,4.543,2133.5
v5,10,7,490,88056.8,0.5706,0.5725,0.00744,0.5577,0.5866,0.00191,0.3619,0.3852,0.02513,0.4482,0.4502,0.00862,0.001668,19.901,4.461,4424.8
v5,25,7,1225,220147.0,0.5706,0.5721,0.00441,0.5632,0.58,0.0015,0.3619,0.3691,0.01419,0.4482,0.4497,0.00498,0.001055,17.485,4.182,12590.6
v5,50,7,2450,440300.3,0.5706,0.5726,0.00337,0.5663,0.5789,0.00207,0.3619,0.3647,0.00658,0.4482,0.4504,0.00376,0.000746,20.378,4.514,21607.0
v5,1,9,81,14555.4,0.5706,0.5719,0.02277,0.5267,0.6169,0.00132,0.3619,0.4956,0.05893,0.4482,0.449,0.02705,0.004103,30.792,5.549,472.7
v5,2,9,162,29115.0,0.5706,0.5731,0.01726,0.5388,0.6026,0.00259,0.3619,0.4463,0.05071,0.4482,0.4506,0.01848,0.002901,35.386,5.949,822.8
v5,5,9,405,72791.9,0.5706,0.5728,0.0101,0.5535,0.5921,0.00221,0.3619,0.3983,0.0339,0.4482,0.4506,0.01114,0.001835,30.299,5.504,2402.5
v5,10,9,810,145573.5,0.5706,0.5714,0.00757,0.5569,0.5856,0.00086,0.3619,0.3767,0.02148,0.4482,0.4492,0.00822,0.001297,34.039,5.834,4276.6
v5,25,9,2025,363928.2,0.5706,0.5725,0.00445,0.5632,0.5804,0.00192,0.3619,0.3657,0.00918,0.4482,0.4503,0.00512,0.000821,29.356,5.418,12397.0
v5,50,9,4050,727852.8,0.5706,0.5721,0.00283,0.5673,0.578,0.00158,0.3619,0.3637,0.00337,0.4482,0.4499,0.00315,0.00058,23.756,4.874,30638.7
v6,1,1,1,179.6,0.1874,0.19,0.03106,0.1278,0.2458,0.00262,0.1039,0.1947,0.03356,0.0585,0.0607,0.03033,0.029116,1.138,1.067,157.8
v6,2,1,2,359.3,0.1874,0.189,0.02076,0.1452,0.225,0.00164,0.1039,0.1715,0.02195,0.0585,0.0603,0.01988,0.020587,1.017,1.008,353.3
v6,5,1,5,898.4,0.1874,0.1866,0.01256,0.1615,0.2094,-0.0008,0.1039,0.1536,0.0159,0.0585,0.0574,0.01244,0.013019,0.931,0.965,965.1
v6,10,1,10,1796.9,0.1874,0.1882,0.00836,0.1733,0.2058,0.00081,0.1039,0.1443,0.01433,0.0585,0.0588,0.00815,0.009206,0.825,0.908,2177.8
v6,25,1,25,4492.2,0.1874,0.1874,0.00499,0.1778,0.1964,-1e-05,0.1039,0.1308,0.01266,0.0585,0.0588,0.00483,0.005822,0.734,0.857,6120.8
v6,50,1,50,8984.8,0.1874,0.1876,0.00426,0.18,0.195,0.00025,0.1039,0.1217,0.01127,0.0585,0.0587,0.00403,0.004117,1.07,1.035,8393.1
v6,1,3,9,1617.4,0.1874,0.1892,0.01322,0.1654,0.2161,0.00177,0.1039,0.1516,0.01689,0.0585,0.0596,0.01367,0.009703,1.855,1.362,871.8
v6,2,3,18,3234.9,0.1874,0.1885,0.00948,0.171,0.2074,0.00115,0.1039,0.1426,0.01491,0.0585,0.0594,0.00959,0.006861,1.909,1.382,1694.4
v6,5,3,45,8086.3,0.1874,0.1877,0.00589,0.1762,0.2,0.0003,0.1039,0.13,0.01367,0.0585,0.0584,0.00613,0.004339,1.845,1.358,4382.3
v6,10,3,90,16173.4,0.1874,0.1878,0.00432,0.1794,0.1978,0.00045,0.1039,0.1191,0.01189,0.0585,0.0588,0.00443,0.003068,1.98,1.407,8170.3
v6,25,3,225,40435.4,0.1874,0.1881,0.00272,0.1831,0.1936,0.00074,0.1039,0.108,0.00629,0.0585,0.0592,0.00267,0.001941,1.965,1.402,20572.7
v6,50,3,450,80866.3,0.1874,0.1878,0.00184,0.1843,0.1915,0.00036,0.1039,0.1046,0.00323,0.0585,0.0586,0.00182,0.001372,1.802,1.343,44867.0
v6,1,5,25,4493.9,0.1874,0.188,0.01084,0.168,0.2099,0.00062,0.1039,0.1396,0.01636,0.0585,0.0584,0.01093,0.005821,3.466,1.862,1296.5
v6,2,5,50,8986.2,0.1874,0.1882,0.00768,0.1754,0.2051,0.00079,0.1039,0.1293,0.01322,0.0585,0.0586,0.00747,0.004116,3.481,1.866,2581.4
v6,5,5,125,22465.0,0.1874,0.1882,0.00515,0.1768,0.198,0.0008,0.1039,0.1161,0.00959,0.0585,0.0589,0.00536,0.002604,3.909,1.977,5746.5
v6,10,5,250,44934.2,0.1874,0.1884,0.00337,0.1814,0.1948,0.00096,0.1039,0.1101,0.00802,0.0585,0.0591,0.00361,0.001841,3.35,1.83,13411.3
v6,25,5,625,112320.5,0.1874,0.1881,0.00198,0.1841,0.1919,0.00072,0.1039,0.1045,0.00327,0.0585,0.0589,0.00207,0.001164,2.9,1.703,38733.5
v6,50,5,1250,224640.8,0.1874,0.1881,0.00158,0.1854,0.1916,0.00071,0.1039,0.1039,0.0012,0.0585,0.0589,0.00164,0.000823,3.7,1.924,60711.2
v6,1,7,49,8808.4,0.1874,0.1879,0.00988,0.1689,0.2057,0.00049,0.1039,0.1322,0.01502,0.0585,0.0585,0.01032,0.004158,5.645,2.376,1560.4
