source,change_class,cell_id,bracket,f1,ref_pixels_of_class,pred_pixels_of_class,present_via
v6,development,04602,2017_2019,0.01318,267,5955,both
v6,insect_disease,04602,2017_2019,0.0,6,10194,both
v6,beaver,04602,2017_2019,0.0006,62,10011,both
spec_all,harvest,04602,2017_2019,0.0,959,586,both
spec_all,development,04602,2017_2019,0.02776,267,1318,both
spec_all,insect_disease,04602,2017_2019,0.00164,6,6077,both
spec_all,beaver,04602,2017_2019,0.00595,62,274,both
v2,development,04803,2021_2023,0.0,0,5,prediction
v3,development,04803,2021_2023,0.0,0,1319,prediction
v4,development,04803,2021_2023,0.0,0,280,prediction
v4,insect_disease,04803,2021_2023,0.0,0,17974,prediction
v4,beaver,04803,2021_2023,0.0,0,61,prediction
v5,development,04803,2021_2023,0.0,0,946,prediction
v6,harvest,04803,2021_2023,0.0,0,13940,prediction
v6,development,04803,2021_2023,0.0,0,10243,prediction
v6,insect_disease,04803,2021_2023,0.0,0,18924,prediction
v6,beaver,04803,2021_2023,0.0,0,15486,prediction
spec_all,harvest,04803,2021_2023,0.0,0,9502,prediction
spec_all,development,04803,2021_2023,0.0,0,26626,prediction
spec_all,insect_disease,04803,2021_2023,0.0,0,34,prediction
spec_all,beaver,04803,2021_2023,0.0,0,345,prediction
v2,harvest,05810,2019_2021,0.2596,10814,2021,both
v2,development,05810,2019_2021,0.0,0,73,prediction
v2,insect_disease,05810,2019_2021,0.0,0,20,prediction
v2,beaver,05810,2019_2021,0.0,0,15859,prediction
v3,harvest,05810,2019_2021,0.04783,10814,351,both
v3,beaver,05810,2019_2021,0.0,0,24248,prediction
v4,harvest,05810,2019_2021,0.14124,10814,2383,both
v4,development,05810,2019_2021,0.0,0,11086,prediction
v4,insect_disease,05810,2019_2021,0.0,0,1801,prediction
v4,beaver,05810,2019_2021,0.0,0,10965,prediction
v5,harvest,05810,2019_2021,0.11345,10814,3236,both
v5,development,05810,2019_2021,0.0,0,4,prediction
v5,beaver,05810,2019_2021,0.0,0,27923,prediction
v6,harvest,05810,2019_2021,0.15013,10814,11979,both
v6,development,05810,2019_2021,0.0,0,10929,prediction
v6,insect_disease,05810,2019_2021,0.0,0,14650,prediction
v6,beaver,05810,2019_2021,0.0,0,12993,prediction
spec_all,harvest,05810,2019_2021,0.00963,10814,189,both
spec_all,development,05810,2019_2021,0.0,0,5157,prediction
spec_all,insect_disease,05810,2019_2021,0.0,0,23463,prediction
spec_all,beaver,05810,2019_2021,0.0,0,42891,prediction
v2,harvest,06063,2019_2021,0.0,702,0,reference
v2,development,06063,2019_2021,0.0,0,820,prediction
v2,insect_disease,06063,2019_2021,0.0,0,232,prediction
v2,beaver,06063,2019_2021,0.0,0,2901,prediction
v3,harvest,06063,2019_2021,0.0,702,0,reference
v3,development,06063,2019_2021,0.0,0,40,prediction
v3,insect_disease,06063,2019_2021,0.0,0,9,prediction
v3,beaver,06063,2019_2021,0.0,0,8219,prediction
v4,harvest,06063,2019_2021,0.16035,702,907,both
v4,development,06063,2019_2021,0.0,0,12947,prediction
v4,insect_disease,06063,2019_2021,0.0,0,247,prediction
v4,beaver,06063,2019_2021,0.0,0,60,prediction
v5,harvest,06063,2019_2021,0.0,702,0,reference
v5,development,06063,2019_2021,0.0,0,298,prediction
v5,beaver,06063,2019_2021,0.0,0,9548,prediction
v6,harvest,06063,2019_2021,0.00888,702,17541,both
v6,development,06063,2019_2021,0.0,0,14518,prediction
v6,insect_disease,06063,2019_2021,0.0,0,23145,prediction
v6,beaver,06063,2019_2021,0.0,0,15462,prediction
spec_all,harvest,06063,2019_2021,0.01381,702,22,both
spec_all,development,06063,2019_2021,0.0,0,20646,prediction
spec_all,insect_disease,06063,2019_2021,0.0,0,9754,prediction
spec_all,beaver,06063,2019_2021,0.0,0,2269,prediction
v2,harvest,06143,2019_2021,0.0,0,44,prediction
v2,development,06143,2019_2021,0.0,0,1451,prediction
v2,insect_disease,06143,2019_2021,0.0,0,199,prediction
v2,beaver,06143,2019_2021,0.0,0,2228,prediction
v3,harvest,06143,2019_2021,0.0,0,49,prediction
v3,development,06143,2019_2021,0.0,0,326,prediction
v3,beaver,06143,2019_2021,0.0,0,3767,prediction
v4,harvest,06143,2019_2021,0.0,0,1035,prediction
v4,development,06143,2019_2021,0.0,0,8635,prediction
v4,insect_disease,06143,2019_2021,0.0,0,7,prediction
v4,beaver,06143,2019_2021,0.0,0,9,prediction
v5,development,06143,2019_2021,0.0,0,1361,prediction
v5,beaver,06143,2019_2021,0.0,0,5678,prediction
v6,harvest,06143,2019_2021,0.0,0,17208,prediction
v6,development,06143,2019_2021,0.0,0,15214,prediction
v6,insect_disease,06143,2019_2021,0.0,0,22757,prediction
v6,beaver,06143,2019_2021,0.0,0,14750,prediction
spec_all,harvest,06143,2019_2021,0.0,0,210,prediction
spec_all,development,06143,2019_2021,0.0,0,10519,prediction
spec_all,insect_disease,06143,2019_2021,0.0,0,7092,prediction
spec_all,beaver,06143,2019_2021,0.0,0,2370,prediction
v2,harvest,06200,2021_2023,0.0,0,58,prediction
v2,development,06200,2021_2023,0.1374,41,90,both
v3,harvest,06200,2021_2023,0.0,0,140,prediction
v3,development,06200,2021_2023,0.0,41,622,both
v4,harvest,06200,2021_2023,0.0,0,1129,prediction
v4,development,06200,2021_2023,0.07953,41,814,both
v4,insect_disease,06200,2021_2023,0.0,0,2193,prediction
v4,beaver,06200,2021_2023,0.0,0,15,prediction
v5,harvest,06200,2021_2023,0.0,0,111,prediction
v5,development,06200,2021_2023,0.0,41,465,both
v6,harvest,06200,2021_2023,0.0,0,11421,prediction
v6,development,06200,2021_2023,0.00282,41,10612,both
v6,insect_disease,06200,2021_2023,0.0,0,13517,prediction
v6,beaver,06200,2021_2023,0.0,0,11599,prediction
spec_all,harvest,06200,2021_2023,0.0,0,10244,prediction
spec_all,development,06200,2021_2023,0.00119,41,41924,both
spec_all,insect_disease,06200,2021_2023,0.0,0,6,prediction
spec_all,beaver,06200,2021_2023,0.0,0,16,prediction
v2,harvest,06240,2019_2021,0.0,0,68,prediction
v2,development,06240,2019_2021,0.00672,72,12124,both
v2,insect_disease,06240,2019_2021,0.0,1551,4,both
v2,beaver,06240,2019_2021,0.0,0,55,prediction
v3,harvest,06240,2019_2021,0.0,0,395,prediction
v3,development,06240,2019_2021,0.01487,72,4635,both
v3,insect_disease,06240,2019_2021,0.0,1551,6,both
v4,harvest,06240,2019_2021,0.0,0,3878,prediction
v4,development,06240,2019_2021,0.00457,72,25315,both
v4,insect_disease,06240,2019_2021,0.0,1551,4,both
v4,beaver,06240,2019_2021,0.0,0,1059,prediction
v5,harvest,06240,2019_2021,0.0,0,35,prediction
v5,development,06240,2019_2021,0.00106,72,11292,both
v5,insect_disease,06240,2019_2021,0.0,1551,5,both
v5,beaver,06240,2019_2021,0.0,0,40,prediction
v6,harvest,06240,2019_2021,0.0,0,18985,prediction
v6,development,06240,2019_2021,0.00266,72,21723,both
v6,insect_disease,06240,2019_2021,0.03147,1551,18978,both
v6,beaver,06240,2019_2021,0.0,0,14381,prediction
spec_all,harvest,06240,2019_2021,0.0,0,1841,prediction
spec_all,development,06240,2019_2021,0.00466,72,25666,both
spec_all,insect_disease,06240,2019_2021,0.01558,1551,3970,both
spec_all,beaver,06240,2019_2021,0.0,0,2685,prediction
v2,harvest,06411,2017_2019,0.0,0,168,prediction
v2,development,06411,2017_2019,0.23529,23,79,both
v3,harvest,06411,2017_2019,0.0,0,123,prediction
v3,development,06411,2017_2019,0.00845,23,2816,both
v4,harvest,06411,2017_2019,0.0,0,2180,prediction
v4,development,06411,2017_2019,0.23333,23,37,both
v4,insect_disease,06411,2017_2019,0.0,0,18999,prediction
v4,beaver,06411,2017_2019,0.0,0,162,prediction
v5,harvest,06411,2017_2019,0.0,0,379,prediction
v5,development,06411,2017_2019,0.005,23,4781,both
v6,harvest,06411,2017_2019,0.0,0,13939,prediction
v6,development,06411,2017_2019,0.00167,23,16775,both
v6,insect_disease,06411,2017_2019,0.0,0,17162,prediction
v6,beaver,06411,2017_2019,0.0,0,14678,prediction
spec_all,harvest,06411,2017_2019,0.0,0,3015,prediction
spec_all,development,06411,2017_2019,0.00192,23,7272,both
spec_all,insect_disease,06411,2017_2019,0.0,0,9,prediction
spec_all,beaver,06411,2017_2019,0.0,0,37,prediction
v2,harvest,06553,2017_2019,0.0,164,0,reference
v2,insect_disease,06553,2017_2019,0.0,0,70,prediction
v2,beaver,06553,2017_2019,0.00446,46,8479,both
v3,harvest,06553,2017_2019,0.0,164,0,reference
v3,beaver,06553,2017_2019,0.00208,46,33672,both
v4,harvest,06553,2017_2019,0.02995,164,704,both
v4,development,06553,2017_2019,0.0,0,98,prediction
v4,insect_disease,06553,2017_2019,0.0,0,3995,prediction
v4,beaver,06553,2017_2019,0.0041,46,929,both
v5,harvest,06553,2017_2019,0.0,164,2,both
v5,beaver,06553,2017_2019,0.00202,46,28712,both
v6,harvest,06553,2017_2019,0.00326,164,7191,both
v6,development,06553,2017_2019,0.0,0,3494,prediction
v6,insect_disease,06553,2017_2019,0.0,0,3642,prediction
v6,beaver,06553,2017_2019,0.0,46,4251,both
spec_all,harvest,06553,2017_2019,0.0,164,190,both
spec_all,development,06553,2017_2019,0.0,0,2622,prediction
spec_all,insect_disease,06553,2017_2019,0.0,0,49620,prediction
spec_all,beaver,06553,2017_2019,0.00079,46,2475,both
v2,harvest,06600,2017_2019,0.00284,667,38,both
v2,insect_disease,06600,2017_2019,0.0,0,12,prediction
v2,beaver,06600,2017_2019,0.0,0,8043,prediction
v3,harvest,06600,2017_2019,0.0,667,4,both
v3,beaver,06600,2017_2019,0.0,0,44616,prediction
v4,harvest,06600,2017_2019,0.0,667,228,both
v4,development,06600,2017_2019,0.0,0,65,prediction
v4,insect_disease,06600,2017_2019,0.0,0,2251,prediction
v4,beaver,06600,2017_2019,0.0,0,71,prediction
v5,harvest,06600,2017_2019,0.00257,667,110,both
v5,development,06600,2017_2019,0.0,0,34,prediction
v5,beaver,06600,2017_2019,0.0,0,33109,prediction
v6,harvest,06600,2017_2019,0.01485,667,7145,both
v6,development,06600,2017_2019,0.0,0,1990,prediction
v6,insect_disease,06600,2017_2019,0.0,0,3467,prediction
v6,beaver,06600,2017_2019,0.0,0,4303,prediction
spec_all,harvest,06600,2017_2019,0.0,667,302,both
spec_all,development,06600,2017_2019,0.0,0,20,prediction
spec_all,insect_disease,06600,2017_2019,0.0,0,16354,prediction
spec_all,beaver,06600,2017_2019,0.0,0,632,prediction
v2,harvest,06711,2021_2023,0.0,2498,0,reference
v2,insect_disease,06711,2021_2023,0.0,0,2,prediction
v2,beaver,06711,2021_2023,0.0,0,171,prediction
v3,harvest,06711,2021_2023,0.0,2498,0,reference
v3,beaver,06711,2021_2023,0.0,0,2831,prediction
v4,harvest,06711,2021_2023,0.10034,2498,133,both
v4,development,06711,2021_2023,0.0,0,54,prediction
v4,insect_disease,06711,2021_2023,0.0,0,9014,prediction
v4,beaver,06711,2021_2023,0.0,0,1,prediction
v5,harvest,06711,2021_2023,0.0,2498,1,both
v5,development,06711,2021_2023,0.0,0,64,prediction
v5,beaver,06711,2021_2023,0.0,0,1020,prediction
v6,harvest,06711,2021_2023,0.03933,2498,11944,both
v6,development,06711,2021_2023,0.0,0,9510,prediction
v6,insect_disease,06711,2021_2023,0.0,0,16872,prediction
v6,beaver,06711,2021_2023,0.0,0,13792,prediction
spec_all,harvest,06711,2021_2023,0.10941,2498,7666,both
spec_all,development,06711,2021_2023,0.0,0,6293,prediction
spec_all,insect_disease,06711,2021_2023,0.0,0,19110,prediction
spec_all,beaver,06711,2021_2023,0.0,0,3504,prediction
v2,harvest,06852,2021_2023,0.0,0,3,prediction
v2,development,06852,2021_2023,0.0,0,10,prediction
v2,insect_disease,06852,2021_2023,0.0,0,1146,prediction
v2,beaver,06852,2021_2023,0.0,0,1487,prediction
v3,harvest,06852,2021_2023,0.0,0,1,prediction
v3,development,06852,2021_2023,0.0,0,6,prediction
v3,insect_disease,06852,2021_2023,0.0,0,351,prediction
v3,beaver,06852,2021_2023,0.0,0,2425,prediction
v4,harvest,06852,2021_2023,0.0,0,190,prediction
v4,development,06852,2021_2023,0.0,0,30,prediction
v4,insect_disease,06852,2021_2023,0.0,0,1983,prediction
v4,beaver,06852,2021_2023,0.0,0,3,prediction
v5,harvest,06852,2021_2023,0.0,0,3,prediction
v5,development,06852,2021_2023,0.0,0,153,prediction
v5,insect_disease,06852,2021_2023,0.0,0,201,prediction
v5,beaver,06852,2021_2023,0.0,0,3367,prediction
v6,harvest,06852,2021_2023,0.0,0,11290,prediction
v6,development,06852,2021_2023,0.0,0,6120,prediction
v6,insect_disease,06852,2021_2023,0.0,0,11190,prediction
v6,beaver,06852,2021_2023,0.0,0,10443,prediction
spec_all,harvest,06852,2021_2023,0.0,0,5150,prediction
spec_all,development,06852,2021_2023,0.0,0,19753,prediction
spec_all,insect_disease,06852,2021_2023,0.0,0,1279,prediction
spec_all,beaver,06852,2021_2023,0.0,0,5179,prediction
v2,harvest,06923,2021_2023,0.0,0,66,prediction
v2,development,06923,2021_2023,0.14365,54,127,both
v3,harvest,06923,2021_2023,0.0,0,188,prediction
v3,development,06923,2021_2023,0.01172,54,970,both
v4,harvest,06923,2021_2023,0.0,0,500,prediction
v4,development,06923,2021_2023,0.06199,54,559,both
v4,insect_disease,06923,2021_2023,0.0,0,1583,prediction
v4,beaver,06923,2021_2023,0.0,0,1,prediction
v5,harvest,06923,2021_2023,0.0,0,795,prediction
v5,development,06923,2021_2023,0.0,54,453,both
v6,harvest,06923,2021_2023,0.0,0,14857,prediction
v6,development,06923,2021_2023,0.00313,54,13357,both
v6,insect_disease,06923,2021_2023,0.0,0,18181,prediction
v6,beaver,06923,2021_2023,0.0,0,13914,prediction
spec_all,harvest,06923,2021_2023,0.0,0,7695,prediction
spec_all,development,06923,2021_2023,0.0022,54,38152,both
spec_all,insect_disease,06923,2021_2023,0.0,0,26,prediction
spec_all,beaver,06923,2021_2023,0.0,0,2,prediction
v2,harvest,07023,2017_2019,0.0,0,18,prediction
v2,development,07023,2017_2019,0.29594,2475,627,both
v2,insect_disease,07023,2017_2019,0.0,0,9,prediction
v3,harvest,07023,2017_2019,0.0,0,2,prediction
v3,development,07023,2017_2019,0.09086,2475,3424,both
v3,insect_disease,07023,2017_2019,0.0,0,14,prediction
v4,development,07023,2017_2019,0.13462,2475,214,both
v4,insect_disease,07023,2017_2019,0.0,0,27445,prediction
v4,beaver,07023,2017_2019,0.0,0,108,prediction
v5,harvest,07023,2017_2019,0.0,0,20,prediction
v5,development,07023,2017_2019,0.02198,2475,9991,both
v5,insect_disease,07023,2017_2019,0.0,0,14,prediction
v6,harvest,07023,2017_2019,0.0,0,14758,prediction
v6,development,07023,2017_2019,0.08933,2475,10555,both
v6,insect_disease,07023,2017_2019,0.0,0,21172,prediction
v6,beaver,07023,2017_2019,0.0,0,15920,prediction
spec_all,harvest,07023,2017_2019,0.0,0,718,prediction
spec_all,development,07023,2017_2019,0.12263,2475,11045,both
spec_all,insect_disease,07023,2017_2019,0.0,0,535,prediction
spec_all,beaver,07023,2017_2019,0.0,0,20,prediction
v2,harvest,07373,2019_2021,0.04101,564,70,both
v2,development,07373,2019_2021,0.0,22,46,both
v2,insect_disease,07373,2019_2021,0.0,61,0,reference
v2,beaver,07373,2019_2021,0.00703,128,25483,both
v3,harvest,07373,2019_2021,0.0,564,45,both
v3,development,07373,2019_2021,0.0,22,0,reference
v3,insect_disease,07373,2019_2021,0.0,61,0,reference
v3,beaver,07373,2019_2021,0.00618,128,30924,both
v4,harvest,07373,2019_2021,0.02981,564,174,both
v4,development,07373,2019_2021,0.00371,22,10234,both
v4,insect_disease,07373,2019_2021,0.0,61,5,both
v4,beaver,07373,2019_2021,0.05328,128,3551,both
v5,harvest,07373,2019_2021,0.00121,564,1091,both
v5,development,07373,2019_2021,0.0,22,12,both
v5,insect_disease,07373,2019_2021,0.0,61,0,reference
v5,beaver,07373,2019_2021,0.00441,128,39771,both
v6,harvest,07373,2019_2021,0.01153,564,11753,both
v6,development,07373,2019_2021,0.00174,22,9171,both
v6,insect_disease,07373,2019_2021,0.00168,61,17800,both
v6,beaver,07373,2019_2021,0.00287,128,13824,both
spec_all,harvest,07373,2019_2021,0.0,564,129,both
spec_all,development,07373,2019_2021,0.0068,22,2038,both
spec_all,insect_disease,07373,2019_2021,0.0014,61,14192,both
spec_all,beaver,07373,2019_2021,0.00475,128,293,both
v2,harvest,07630,2019_2021,0.0,377,122,both
v2,development,07630,2019_2021,0.00591,9,2698,both
v2,beaver,07630,2019_2021,0.0,0,155,prediction
v3,harvest,07630,2019_2021,0.0,377,44,both
v3,development,07630,2019_2021,0.0,9,452,both
v4,harvest,07630,2019_2021,0.00896,377,3195,both
v4,development,07630,2019_2021,0.00163,9,9798,both
v4,insect_disease,07630,2019_2021,0.0,0,2,prediction
v4,beaver,07630,2019_2021,0.0,0,384,prediction
v5,harvest,07630,2019_2021,0.0,377,17,both
v5,development,07630,2019_2021,0.00223,9,2679,both
v5,beaver,07630,2019_2021,0.0,0,69,prediction
v6,harvest,07630,2019_2021,0.00284,377,15135,both
v6,development,07630,2019_2021,0.00068,9,14802,both
v6,insect_disease,07630,2019_2021,0.0,0,19117,prediction
v6,beaver,07630,2019_2021,0.0,0,14031,prediction
spec_all,harvest,07630,2019_2021,0.02384,377,546,both
spec_all,development,07630,2019_2021,0.00391,9,4079,both
spec_all,insect_disease,07630,2019_2021,0.0,0,2474,prediction
spec_all,beaver,07630,2019_2021,0.0,0,780,prediction
v2,harvest,07690,2019_2021,0.0,0,554,prediction
v2,development,07690,2019_2021,0.00122,42,11461,both
v2,beaver,07690,2019_2021,0.0,0,185,prediction
v3,harvest,07690,2019_2021,0.0,0,962,prediction
v3,development,07690,2019_2021,0.00187,42,6363,both
v3,beaver,07690,2019_2021,0.0,0,1,prediction
v4,harvest,07690,2019_2021,0.0,0,4192,prediction
v4,development,07690,2019_2021,0.00066,42,21033,both
v4,insect_disease,07690,2019_2021,0.0,0,1,prediction
v4,beaver,07690,2019_2021,0.0,0,3873,prediction
v5,harvest,07690,2019_2021,0.0,0,290,prediction
v5,development,07690,2019_2021,0.00022,42,8899,both
v5,beaver,07690,2019_2021,0.0,0,4,prediction
v6,harvest,07690,2019_2021,0.0,0,18052,prediction
v6,development,07690,2019_2021,0.00105,42,24663,both
v6,insect_disease,07690,2019_2021,0.0,0,17046,prediction
v6,beaver,07690,2019_2021,0.0,0,14673,prediction
spec_all,harvest,07690,2019_2021,0.0,0,3096,prediction
spec_all,development,07690,2019_2021,0.00116,42,12030,both
spec_all,insect_disease,07690,2019_2021,0.0,0,2087,prediction
spec_all,beaver,07690,2019_2021,0.0,0,459,prediction
v2,harvest,07870,2017_2019,0.0,0,832,prediction
v2,development,07870,2017_2019,0.0,0,323,prediction
v2,insect_disease,07870,2017_2019,0.0,0,316,prediction
v3,harvest,07870,2017_2019,0.0,0,95,prediction
v3,development,07870,2017_2019,0.0,0,4867,prediction
v3,insect_disease,07870,2017_2019,0.0,0,494,prediction
v4,harvest,07870,2017_2019,0.0,0,5133,prediction
v4,development,07870,2017_2019,0.0,0,193,prediction
v4,insect_disease,07870,2017_2019,0.0,0,24302,prediction
v4,beaver,07870,2017_2019,0.0,0,238,prediction
v5,harvest,07870,2017_2019,0.0,0,305,prediction
v5,development,07870,2017_2019,0.0,0,6594,prediction
v5,insect_disease,07870,2017_2019,0.0,0,353,prediction
v6,harvest,07870,2017_2019,0.0,0,13376,prediction
v6,development,07870,2017_2019,0.0,0,14056,prediction
v6,insect_disease,07870,2017_2019,0.0,0,17456,prediction
v6,beaver,07870,2017_2019,0.0,0,13055,prediction
spec_all,harvest,07870,2017_2019,0.0,0,2292,prediction
spec_all,development,07870,2017_2019,0.0,0,3916,prediction
spec_all,insect_disease,07870,2017_2019,0.0,0,87,prediction
spec_all,beaver,07870,2017_2019,0.0,0,134,prediction
v2,harvest,07921,2019_2021,0.0,0,115,prediction
v2,development,07921,2019_2021,0.0,0,143,prediction
v2,beaver,07921,2019_2021,0.0,0,31831,prediction
v3,harvest,07921,2019_2021,0.0,0,27,prediction
v3,beaver,07921,2019_2021,0.0,0,49570,prediction
v4,harvest,07921,2019_2021,0.0,0,721,prediction
v4,development,07921,2019_2021,0.0,0,8771,prediction
v4,beaver,07921,2019_2021,0.0,0,2860,prediction
v5,harvest,07921,2019_2021,0.0,0,1187,prediction
v5,development,07921,2019_2021,0.0,0,16,prediction
v5,beaver,07921,2019_2021,0.0,0,55563,prediction
v6,harvest,07921,2019_2021,0.0,0,13028,prediction
v6,development,07921,2019_2021,0.0,0,10317,prediction
v6,insect_disease,07921,2019_2021,0.0,0,19600,prediction
v6,beaver,07921,2019_2021,0.0,0,14788,prediction
spec_all,harvest,07921,2019_2021,0.0,0,1220,prediction
spec_all,development,07921,2019_2021,0.0,0,17312,prediction
spec_all,insect_disease,07921,2019_2021,0.0,0,21331,prediction
spec_all,beaver,07921,2019_2021,0.0,0,4480,prediction
v2,development,08021,2021_2023,0.0,0,1,prediction
v2,insect_disease,08021,2021_2023,0.0,0,1,prediction
v2,beaver,08021,2021_2023,0.0,0,1435,prediction
v3,beaver,08021,2021_2023,0.0,0,18415,prediction
v4,development,08021,2021_2023,0.0,0,10,prediction
v4,insect_disease,08021,2021_2023,0.0,0,683,prediction
v5,beaver,08021,2021_2023,0.0,0,22885,prediction
v6,harvest,08021,2021_2023,0.0,0,14999,prediction
v6,development,08021,2021_2023,0.0,0,14329,prediction
v6,insect_disease,08021,2021_2023,0.0,0,18999,prediction
v6,beaver,08021,2021_2023,0.0,0,15830,prediction
spec_all,harvest,08021,2021_2023,0.0,0,3232,prediction
spec_all,development,08021,2021_2023,0.0,0,7993,prediction
spec_all,insect_disease,08021,2021_2023,0.0,0,20158,prediction
spec_all,beaver,08021,2021_2023,0.0,0,4222,prediction
v2,harvest,08063,2017_2019,0.51397,1392,756,both
v2,development,08063,2017_2019,0.07692,20,6,both
v2,beaver,08063,2017_2019,0.0,0,11617,prediction
v3,harvest,08063,2017_2019,0.29213,1392,299,both
v3,development,08063,2017_2019,0.0,20,0,reference
v3,beaver,08063,2017_2019,0.0,0,44848,prediction
v4,harvest,08063,2017_2019,0.49524,1392,918,both
v4,development,08063,2017_2019,0.02402,20,646,both
v4,insect_disease,08063,2017_2019,0.0,0,2733,prediction
v4,beaver,08063,2017_2019,0.0,0,435,prediction
v5,harvest,08063,2017_2019,0.07532,1392,148,both
v5,development,08063,2017_2019,0.0,20,20,both
v5,beaver,08063,2017_2019,0.0,0,29516,prediction
v6,harvest,08063,2017_2019,0.03017,1392,8619,both
v6,development,08063,2017_2019,0.0066,20,3009,both
v6,insect_disease,08063,2017_2019,0.0,0,3417,prediction
v6,beaver,08063,2017_2019,0.0,0,4922,prediction
spec_all,harvest,08063,2017_2019,0.0029,1392,677,both
spec_all,development,08063,2017_2019,0.00428,20,1851,both
spec_all,insect_disease,08063,2017_2019,0.0,0,12989,prediction
spec_all,beaver,08063,2017_2019,0.0,0,6429,prediction
v2,harvest,08200,2019_2021,0.17635,1327,170,both
v2,development,08200,2019_2021,0.0,0,624,prediction
v2,insect_disease,08200,2019_2021,0.0,0,158,prediction
v2,beaver,08200,2019_2021,0.0,0,7674,prediction
v3,harvest,08200,2019_2021,0.00579,1327,54,both
v3,development,08200,2019_2021,0.0,0,72,prediction
v3,beaver,08200,2019_2021,0.0,0,14332,prediction
v4,harvest,08200,2019_2021,0.15107,1327,447,both
v4,development,08200,2019_2021,0.0,0,10115,prediction
v4,insect_disease,08200,2019_2021,0.0,0,40,prediction
v4,beaver,08200,2019_2021,0.0,0,5,prediction
v5,harvest,08200,2019_2021,0.003,1327,676,both
v5,development,08200,2019_2021,0.0,0,531,prediction
v5,insect_disease,08200,2019_2021,0.0,0,11,prediction
v5,beaver,08200,2019_2021,0.0,0,20182,prediction
v6,harvest,08200,2019_2021,0.02306,1327,11767,both
v6,development,08200,2019_2021,0.0,0,9688,prediction
v6,insect_disease,08200,2019_2021,0.0,0,17393,prediction
v6,beaver,08200,2019_2021,0.0,0,13865,prediction
spec_all,harvest,08200,2019_2021,0.06259,1327,79,both
spec_all,development,08200,2019_2021,0.0,0,4127,prediction
spec_all,insect_disease,08200,2019_2021,0.0,0,28633,prediction
spec_all,beaver,08200,2019_2021,0.0,0,4964,prediction
v2,development,08321,2021_2023,0.0,0,4,prediction
v3,development,08321,2021_2023,0.0,0,33,prediction
v3,beaver,08321,2021_2023,0.0,0,24,prediction
v4,development,08321,2021_2023,0.0,0,246,prediction
v4,insect_disease,08321,2021_2023,0.0,0,4569,prediction
v4,beaver,08321,2021_2023,0.0,0,1,prediction
v5,development,08321,2021_2023,0.0,0,221,prediction
v5,beaver,08321,2021_2023,0.0,0,10,prediction
v6,harvest,08321,2021_2023,0.0,0,12367,prediction
v6,development,08321,2021_2023,0.0,0,8097,prediction
v6,insect_disease,08321,2021_2023,0.0,0,12895,prediction
v6,beaver,08321,2021_2023,0.0,0,11269,prediction
spec_all,harvest,08321,2021_2023,0.0,0,5917,prediction
spec_all,development,08321,2021_2023,0.0,0,26536,prediction
spec_all,insect_disease,08321,2021_2023,0.0,0,927,prediction
spec_all,beaver,08321,2021_2023,0.0,0,985,prediction
v2,harvest,08382,2019_2021,0.0,69,57,both
v2,development,08382,2019_2021,0.00146,5,5483,both
v2,insect_disease,08382,2019_2021,0.0,0,167,prediction
v2,beaver,08382,2019_2021,0.0,0,2646,prediction
v3,harvest,08382,2019_2021,0.01709,69,165,both
v3,development,08382,2019_2021,0.0,5,1524,both
v3,insect_disease,08382,2019_2021,0.0,0,21,prediction
v3,beaver,08382,2019_2021,0.0,0,117,prediction
v4,harvest,08382,2019_2021,0.01545,69,3686,both
v4,development,08382,2019_2021,0.00031,5,13028,both
v4,beaver,08382,2019_2021,0.0,0,676,prediction
v5,harvest,08382,2019_2021,0.0,69,19,both
v5,development,08382,2019_2021,0.0006,5,3310,both
v5,insect_disease,08382,2019_2021,0.0,0,321,prediction
v5,beaver,08382,2019_2021,0.0,0,1830,prediction
v6,harvest,08382,2019_2021,0.00112,69,17863,both
v6,development,08382,2019_2021,0.00023,5,17418,both
v6,insect_disease,08382,2019_2021,0.0,0,20344,prediction
v6,beaver,08382,2019_2021,0.0,0,15141,prediction
spec_all,harvest,08382,2019_2021,0.00292,69,5414,both
spec_all,development,08382,2019_2021,0.0,5,3915,both
spec_all,insect_disease,08382,2019_2021,0.0,0,5181,prediction
spec_all,beaver,08382,2019_2021,0.0,0,76,prediction
v2,development,09011,2021_2023,0.0,42,17,both
v2,beaver,09011,2021_2023,0.0,0,2,prediction
v3,development,09011,2021_2023,0.0,42,3,both
v4,harvest,09011,2021_2023,0.0,0,4,prediction
v4,development,09011,2021_2023,0.0403,42,752,both
v4,insect_disease,09011,2021_2023,0.0,0,9621,prediction
v5,development,09011,2021_2023,0.0,42,1,both
v5,beaver,09011,2021_2023,0.0,0,34,prediction
v6,harvest,09011,2021_2023,0.0,0,11003,prediction
v6,development,09011,2021_2023,0.00398,42,5479,both
v6,insect_disease,09011,2021_2023,0.0,0,9843,prediction
v6,beaver,09011,2021_2023,0.0,0,9568,prediction
spec_all,harvest,09011,2021_2023,0.0,0,5837,prediction
spec_all,development,09011,2021_2023,0.00259,42,10005,both
spec_all,insect_disease,09011,2021_2023,0.0,0,225,prediction
spec_all,beaver,09011,2021_2023,0.0,0,188,prediction
v2,harvest,09482,2021_2023,0.0,0,30,prediction
v2,development,09482,2021_2023,0.0,56,0,reference
v2,insect_disease,09482,2021_2023,0.0,86,8,both
v2,beaver,09482,2021_2023,0.0,0,28,prediction
v3,harvest,09482,2021_2023,0.0,0,69,prediction
