source,change_class,cell_id,bracket,f1,ref_pixels_of_class,pred_pixels_of_class,present_via
v5,harvest,01290,2021_2023,0.0,0,184,prediction
v5,development,01290,2021_2023,0.0,0,442,prediction
v5,insect_disease,01290,2021_2023,0.0,0,2,prediction
v6,harvest,01290,2021_2023,0.0,0,11194,prediction
v6,development,01290,2021_2023,0.0,0,13639,prediction
v6,insect_disease,01290,2021_2023,0.0,0,10738,prediction
v6,beaver,01290,2021_2023,0.0,0,9910,prediction
spec_all,harvest,01290,2021_2023,0.0,0,5626,prediction
spec_all,development,01290,2021_2023,0.0,0,9092,prediction
spec_all,insect_disease,01290,2021_2023,0.0,0,234,prediction
spec_all,beaver,01290,2021_2023,0.0,0,91,prediction
v2,harvest,01411,2019_2021,0.0,0,472,prediction
v2,development,01411,2019_2021,0.0,0,1153,prediction
v3,harvest,01411,2019_2021,0.0,0,202,prediction
v3,development,01411,2019_2021,0.0,0,729,prediction
v4,harvest,01411,2019_2021,0.0,0,693,prediction
v4,development,01411,2019_2021,0.0,0,613,prediction
v4,insect_disease,01411,2019_2021,0.0,0,1,prediction
v4,beaver,01411,2019_2021,0.0,0,261,prediction
v5,harvest,01411,2019_2021,0.0,0,349,prediction
v5,development,01411,2019_2021,0.0,0,1797,prediction
v6,harvest,01411,2019_2021,0.0,0,15372,prediction
v6,development,01411,2019_2021,0.0,0,17914,prediction
v6,insect_disease,01411,2019_2021,0.0,0,16252,prediction
v6,beaver,01411,2019_2021,0.0,0,12248,prediction
spec_all,harvest,01411,2019_2021,0.0,0,417,prediction
spec_all,development,01411,2019_2021,0.0,0,15108,prediction
spec_all,insect_disease,01411,2019_2021,0.0,0,3,prediction
v2,harvest,01442,2017_2019,0.0171,4291,37,both
v2,development,01442,2017_2019,0.0,0,72,prediction
v2,insect_disease,01442,2017_2019,0.0,0,587,prediction
v2,beaver,01442,2017_2019,0.0,0,6955,prediction
v3,harvest,01442,2017_2019,0.0,4291,0,reference
v3,beaver,01442,2017_2019,0.0,0,41127,prediction
v4,harvest,01442,2017_2019,0.43993,4291,1269,both
v4,development,01442,2017_2019,0.0,0,209,prediction
v4,insect_disease,01442,2017_2019,0.0,0,2905,prediction
v4,beaver,01442,2017_2019,0.0,0,227,prediction
v5,harvest,01442,2017_2019,0.0,4291,0,reference
v5,development,01442,2017_2019,0.0,0,43,prediction
v5,insect_disease,01442,2017_2019,0.0,0,1,prediction
v5,beaver,01442,2017_2019,0.0,0,24306,prediction
v6,harvest,01442,2017_2019,0.0668,4291,10171,both
v6,development,01442,2017_2019,0.0,0,5998,prediction
v6,insect_disease,01442,2017_2019,0.0,0,8456,prediction
v6,beaver,01442,2017_2019,0.0,0,8552,prediction
spec_all,harvest,01442,2017_2019,0.20896,4291,619,both
spec_all,development,01442,2017_2019,0.0,0,2443,prediction
spec_all,insect_disease,01442,2017_2019,0.0,0,31408,prediction
spec_all,beaver,01442,2017_2019,0.0,0,71,prediction
v2,harvest,01481,2021_2023,0.31033,3060,562,both
v2,insect_disease,01481,2021_2023,0.0,0,162,prediction
v2,beaver,01481,2021_2023,0.0,0,955,prediction
