,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,3351,7793,6000,78,7,233,161,547,135,122
development,57,1510,7,1492,0,401,3,15,0,2
forest,116700,128338,1036219,944,2855,7343,76977,94810,84322,217822
urban,609,19709,3566,78567,1373,8371,1368,9927,511,2024
water,2,11579,915,500,192268,0,37,5152,3508,1322
ag,11834,137935,965,120464,32,193958,19678,6924,1,4
grass_shrub,8686,103604,10651,25901,329,64132,76158,27413,178,906
wetland,5217,84900,32613,13335,21647,9110,63133,135700,16518,23510
beaver,0,45,63,0,154,0,15,365,25,258
insect_disease,2,5,166,0,2,1,20,52,7,76
