,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,15666,7779,36691,69,2,4426,2849,1995,3217,1323
development,8,195,323,452,3,526,2,24,71,39
forest,21860,4850,1702703,125,4163,3694,54330,33330,26353,223137
urban,960,3192,9951,49227,752,23257,6004,11772,368,726
water,1,332,3017,387,216153,1,55,2337,2383,4342
ag,10032,62128,23109,86917,270,651764,108811,27608,219,253
grass_shrub,5496,9377,48025,2559,155,59538,91227,31353,1919,2643
wetland,7064,5516,127620,1611,7978,15843,36648,94628,29211,27242
beaver,0,27,1076,93,484,0,160,512,149,475
insect_disease,100,523,4628,4,109,74,38,798,5324,7916
