,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,1850,3447,2543,4,9,862,772,911,9318,2650
development,78,286,8,695,1,375,9,2,0,0
forest,43951,38798,1136893,404,1534,2318,96231,83982,117438,384742
urban,2903,19318,8494,75913,1052,13519,8814,8705,1175,2614
water,456,1568,961,436,274515,116,279,3013,8471,5676
ag,7469,86780,3624,112712,116,260353,54983,26101,222,291
grass_shrub,4540,57562,24841,15342,105,62413,129206,57416,4476,18471
wetland,2859,71169,21053,14350,17876,19004,67309,162148,28512,32369
beaver,15,107,69,14,121,0,19,112,238,505
insect_disease,62,959,1105,0,2,16,180,169,519,9039
