,harvest,development,forest,urban,water,ag,grass_shrub,wetland,beaver,insect_disease
harvest,10133,9233,22064,12,5,4071,6594,3042,2577,336
development,73,259,90,26,0,216,31,35,32,12
forest,60061,5771,1414509,646,1435,1466,83751,52583,28972,231896
urban,1254,6770,9697,29711,1820,20539,12825,13436,605,1788
water,0,145,893,828,366079,0,0,433,3079,3671
ag,8285,23486,8575,43002,25,242127,83917,10148,39,86
grass_shrub,7535,13974,18821,11818,526,55740,145770,38871,907,3041
wetland,4468,5004,86534,510,6775,2358,62794,91625,21784,65703
beaver,1,29,85,0,120,0,2,84,541,534
insect_disease,307,79,10590,0,0,3,549,152,2417,511
