category,label,pixels,area_ha,area_km2,pct_of_valid
0,background,1077425666,10774256.66,107742.5666,
1,agree,2087124654,20871246.54,208712.4654,85.7387
2,stable/stable mismatch,100206286,1002062.86,10020.6286,4.1165
3,v2-change / v3-stable,42592768,425927.68,4259.2768,1.7497
4,v3-change / v2-stable,200203719,2002037.19,20020.3719,8.2243
5,change/change mismatch,4157629,41576.29,415.7629,0.1708
