variant,bracket,control,class_code,class_name,precision,recall,f1,iou,support,cells_present,low_support,OA,baseline_OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
v4,2018_2020,True,1,Stable,0.98483,0.96229,0.97343,0.94823,3990644,36,False,0.94221,0.976,0.24598,0.21735,0.16215,36,4088794
v4,2018_2020,True,2,Harvest,0.27981,0.14279,0.18909,0.10442,74017,18,False,0.94221,0.976,0.24598,0.21735,0.16215,36,4088794
v4,2018_2020,True,3,Development,0.00679,0.25685,0.01324,0.00666,1643,9,False,0.94221,0.976,0.24598,0.21735,0.16215,36,4088794
v4,2018_2020,True,4,Insect/Disease,0.01435,0.05278,0.02256,0.01141,19514,12,False,0.94221,0.976,0.24598,0.21735,0.16215,36,4088794
v4,2018_2020,True,5,Beaver,0.01842,0.11022,0.03157,0.01604,2976,7,False,0.94221,0.976,0.24598,0.21735,0.16215,36,4088794
v5,2018_2020,True,1,Stable,0.97839,0.81128,0.88703,0.797,3990644,36,False,0.79483,0.976,0.19925,0.1707,0.01904,36,4088794
v5,2018_2020,True,2,Harvest,0.06372,0.12186,0.08369,0.04367,74017,18,False,0.79483,0.976,0.19925,0.1707,0.01904,36,4088794
v5,2018_2020,True,3,Development,0.00149,0.0493,0.0029,0.00145,1643,9,False,0.79483,0.976,0.19925,0.1707,0.01904,36,4088794
v5,2018_2020,True,4,Insect/Disease,0.00859,0.10736,0.0159,0.00802,19514,12,False,0.79483,0.976,0.19925,0.1707,0.01904,36,4088794
v5,2018_2020,True,5,Beaver,0.0034,0.38878,0.00675,0.00338,2976,7,False,0.79483,0.976,0.19925,0.1707,0.01904,36,4088794
v6,2018_2020,True,1,Stable,0.98127,0.70308,0.8192,0.69376,3990644,36,False,0.68869,0.976,0.17443,0.14413,0.01345,36,4088794
v6,2018_2020,True,2,Harvest,0.02308,0.10622,0.03791,0.01932,74017,18,False,0.68869,0.976,0.17443,0.14413,0.01345,36,4088794
v6,2018_2020,True,3,Development,0.00123,0.24285,0.00244,0.00122,1643,9,False,0.68869,0.976,0.17443,0.14413,0.01345,36,4088794
v6,2018_2020,True,4,Insect/Disease,0.00539,0.08015,0.01011,0.00508,19514,12,False,0.68869,0.976,0.17443,0.14413,0.01345,36,4088794
v6,2018_2020,True,5,Beaver,0.00125,0.11526,0.00248,0.00124,2976,7,False,0.68869,0.976,0.17443,0.14413,0.01345,36,4088794
v2,2019_2021,False,1,Stable,0.9921,0.81728,0.89624,0.81199,4049375,36,False,0.81097,0.99056,0.22596,0.18851,0.0135,36,4087975
v2,2019_2021,False,2,Harvest,0.24806,0.19964,0.22123,0.12437,23583,19,False,0.81097,0.99056,0.22596,0.18851,0.0135,36,4087975
v2,2019_2021,False,3,Development,0.00144,0.10385,0.00283,0.00142,1454,11,False,0.81097,0.99056,0.22596,0.18851,0.0135,36,4087975
v2,2019_2021,False,4,Insect/Disease,0.01231,0.00469,0.00679,0.00341,12363,8,False,0.81097,0.99056,0.22596,0.18851,0.0135,36,4087975
v2,2019_2021,False,5,Beaver,0.00136,0.70667,0.00272,0.00136,1200,6,False,0.81097,0.99056,0.22596,0.18851,0.0135,36,4087975
v3,2019_2021,False,1,Stable,0.99145,0.79859,0.88463,0.79313,4049375,36,False,0.79175,0.99056,0.2484,0.17009,0.00635,36,4087975
v3,2019_2021,False,2,Harvest,0.13645,0.08303,0.10323,0.05443,23583,19,False,0.79175,0.99056,0.2484,0.17009,0.00635,36,4087975
v3,2019_2021,False,3,Development,0.00187,0.07497,0.00364,0.00182,1454,11,False,0.79175,0.99056,0.2484,0.17009,0.00635,36,4087975
v3,2019_2021,False,4,Insect/Disease,0.0,0.0,,0.0,12363,8,False,0.79175,0.99056,0.2484,0.17009,0.00635,36,4087975
v3,2019_2021,False,5,Beaver,0.00105,0.65583,0.00209,0.00104,1200,6,False,0.79175,0.99056,0.2484,0.17009,0.00635,36,4087975
v4,2019_2021,False,1,Stable,0.99651,0.80547,0.89086,0.8032,4049375,36,False,0.79896,0.99056,0.19703,0.17042,0.02755,36,4087975
v4,2019_2021,False,2,Harvest,0.05544,0.15401,0.08153,0.0425,23583,19,False,0.79896,0.99056,0.19703,0.17042,0.02755,36,4087975
v4,2019_2021,False,3,Development,0.00054,0.24347,0.00108,0.00054,1454,11,False,0.79896,0.99056,0.19703,0.17042,0.02755,36,4087975
v4,2019_2021,False,4,Insect/Disease,0.00441,0.00121,0.0019,0.00095,12363,8,False,0.79896,0.99056,0.19703,0.17042,0.02755,36,4087975
v4,2019_2021,False,5,Beaver,0.00495,0.3825,0.00978,0.00492,1200,6,False,0.79896,0.99056,0.19703,0.17042,0.02755,36,4087975
v5,2019_2021,False,1,Stable,0.99026,0.74753,0.85195,0.74208,4049375,36,False,0.74128,0.99056,0.18057,0.15362,0.00153,36,4087975
v5,2019_2021,False,2,Harvest,0.03059,0.10338,0.04721,0.02417,23583,19,False,0.74128,0.99056,0.18057,0.15362,0.00153,36,4087975
v5,2019_2021,False,3,Development,0.00062,0.04264,0.00121,0.00061,1454,11,False,0.74128,0.99056,0.18057,0.15362,0.00153,36,4087975
v5,2019_2021,False,4,Insect/Disease,0.0009,0.00049,0.00063,0.00032,12363,8,False,0.74128,0.99056,0.18057,0.15362,0.00153,36,4087975
v5,2019_2021,False,5,Beaver,0.00092,0.64667,0.00184,0.00092,1200,6,False,0.74128,0.99056,0.18057,0.15362,0.00153,36,4087975
v6,2019_2021,False,1,Stable,0.99171,0.45426,0.6231,0.45254,4049375,36,False,0.45141,0.99056,0.12862,0.09252,0.00115,36,4087975
v6,2019_2021,False,2,Harvest,0.00605,0.13891,0.01159,0.00583,23583,19,False,0.45141,0.99056,0.12862,0.09252,0.00115,36,4087975
v6,2019_2021,False,3,Development,0.00086,0.30399,0.00172,0.00086,1454,11,False,0.45141,0.99056,0.12862,0.09252,0.00115,36,4087975
v6,2019_2021,False,4,Insect/Disease,0.00301,0.15991,0.0059,0.00296,12363,8,False,0.45141,0.99056,0.12862,0.09252,0.00115,36,4087975
v6,2019_2021,False,5,Beaver,0.00039,0.17,0.00078,0.00039,1200,6,False,0.45141,0.99056,0.12862,0.09252,0.00115,36,4087975
v2,2020_2022,False,1,Stable,0.98595,0.76896,0.86404,0.76062,3984304,36,False,0.75323,0.9751,0.19318,0.16261,0.03991,36,4086052
v2,2020_2022,False,2,Harvest,0.05528,0.11444,0.07455,0.03872,84696,20,False,0.75323,0.9751,0.19318,0.16261,0.03991,36,4086052
v2,2020_2022,False,3,Development,0.00527,0.3098,0.01037,0.00521,949,11,False,0.75323,0.9751,0.19318,0.16261,0.03991,36,4086052
v2,2020_2022,False,4,Insect/Disease,0.00619,0.24309,0.01208,0.00608,14608,5,False,0.75323,0.9751,0.19318,0.16261,0.03991,36,4086052
v2,2020_2022,False,5,Beaver,0.00245,0.28562,0.00486,0.00244,1495,6,False,0.75323,0.9751,0.19318,0.16261,0.03991,36,4086052
v3,2020_2022,False,1,Stable,0.97955,0.78638,0.8724,0.77368,3984304,36,False,0.77001,0.9751,0.19402,0.1648,0.02319,36,4086052
v3,2020_2022,False,2,Harvest,0.05468,0.11067,0.07319,0.03799,84696,20,False,0.77001,0.9751,0.19402,0.1648,0.02319,36,4086052
v3,2020_2022,False,3,Development,0.00294,0.34457,0.00584,0.00293,949,11,False,0.77001,0.9751,0.19402,0.1648,0.02319,36,4086052
v3,2020_2022,False,4,Insect/Disease,0.00778,0.20591,0.015,0.00756,14608,5,False,0.77001,0.9751,0.19402,0.1648,0.02319,36,4086052
v3,2020_2022,False,5,Beaver,0.00186,0.27157,0.00369,0.00185,1495,6,False,0.77001,0.9751,0.19402,0.1648,0.02319,36,4086052
v4,2020_2022,False,1,Stable,0.98914,0.94215,0.96507,0.93251,3984304,36,False,0.92251,0.9751,0.23812,0.21118,0.17516,36,4086052
v4,2020_2022,False,2,Harvest,0.22389,0.17276,0.19503,0.10805,84696,20,False,0.92251,0.9751,0.23812,0.21118,0.17516,36,4086052
v4,2020_2022,False,3,Development,0.00986,0.32666,0.01914,0.00966,949,11,False,0.92251,0.9751,0.23812,0.21118,0.17516,36,4086052
v4,2020_2022,False,4,Insect/Disease,0.00217,0.00986,0.00356,0.00178,14608,5,False,0.92251,0.9751,0.23812,0.21118,0.17516,36,4086052
v4,2020_2022,False,5,Beaver,0.00395,0.33779,0.00781,0.00392,1495,6,False,0.92251,0.9751,0.23812,0.21118,0.17516,36,4086052
v5,2020_2022,False,1,Stable,0.98235,0.66637,0.79408,0.65849,3984304,36,False,0.65226,0.9751,0.16758,0.13612,0.01362,36,4086052
v5,2020_2022,False,2,Harvest,0.01531,0.06559,0.02483,0.01257,84696,20,False,0.65226,0.9751,0.16758,0.13612,0.01362,36,4086052
v5,2020_2022,False,3,Development,0.00196,0.31823,0.00389,0.00195,949,11,False,0.65226,0.9751,0.16758,0.13612,0.01362,36,4086052
v5,2020_2022,False,4,Insect/Disease,0.00564,0.27095,0.01105,0.00556,14608,5,False,0.65226,0.9751,0.16758,0.13612,0.01362,36,4086052
v5,2020_2022,False,5,Beaver,0.00203,0.22408,0.00403,0.00202,1495,6,False,0.65226,0.9751,0.16758,0.13612,0.01362,36,4086052
v6,2020_2022,False,1,Stable,0.98297,0.66107,0.79051,0.65358,3984304,36,False,0.64777,0.9751,0.16954,0.13655,0.01671,36,4086052
v6,2020_2022,False,2,Harvest,0.02756,0.12593,0.04522,0.02313,84696,20,False,0.64777,0.9751,0.16954,0.13655,0.01671,36,4086052
v6,2020_2022,False,3,Development,0.00081,0.2529,0.00162,0.00081,949,11,False,0.64777,0.9751,0.16954,0.13655,0.01671,36,4086052
v6,2020_2022,False,4,Insect/Disease,0.0049,0.12856,0.00944,0.00474,14608,5,False,0.64777,0.9751,0.16954,0.13655,0.01671,36,4086052
v6,2020_2022,False,5,Beaver,0.00047,0.10702,0.00093,0.00047,1495,6,False,0.64777,0.9751,0.16954,0.13655,0.01671,36,4086052
v2,2021_2023,False,1,Stable,0.99327,0.9924,0.99283,0.98577,4057834,36,False,0.98539,0.99266,0.24619,0.22199,0.05653,36,4087834
v2,2021_2023,False,2,Harvest,0.63839,0.02759,0.05289,0.02716,21820,11,False,0.98539,0.99266,0.24619,0.22199,0.05653,36,4087834
v2,2021_2023,False,3,Development,0.19574,0.06854,0.10153,0.05348,3487,10,False,0.98539,0.99266,0.24619,0.22199,0.05653,36,4087834
v2,2021_2023,False,4,Insect/Disease,0.10043,0.06768,0.08086,0.04213,3768,4,True,0.98539,0.99266,0.24619,0.22199,0.05653,36,4087834
v2,2021_2023,False,5,Beaver,0.00146,0.04541,0.00282,0.00141,925,5,False,0.98539,0.99266,0.24619,0.22199,0.05653,36,4087834
v3,2021_2023,False,1,Stable,0.99341,0.90473,0.947,0.89933,4057834,36,False,0.89817,0.99266,0.23863,0.18062,0.00709,36,4087834
v3,2021_2023,False,2,Harvest,0.03803,0.00156,0.00299,0.0015,21820,11,False,0.89817,0.99266,0.23863,0.18062,0.00709,36,4087834
v3,2021_2023,False,3,Development,0.00213,0.00602,0.00315,0.00158,3487,10,False,0.89817,0.99266,0.23863,0.18062,0.00709,36,4087834
v3,2021_2023,False,4,Insect/Disease,0.0,0.0,,0.0,3768,4,True,0.89817,0.99266,0.23863,0.18062,0.00709,36,4087834
v3,2021_2023,False,5,Beaver,0.00068,0.28216,0.00137,0.00068,925,5,False,0.89817,0.99266,0.23863,0.18062,0.00709,36,4087834
v4,2021_2023,False,1,Stable,0.99691,0.93482,0.96486,0.93211,4057834,36,False,0.92868,0.99266,0.21713,0.19881,0.0606,36,4087834
v4,2021_2023,False,2,Harvest,0.02877,0.01233,0.01726,0.00871,21820,11,False,0.92868,0.99266,0.21713,0.19881,0.0606,36,4087834
v4,2021_2023,False,3,Development,0.05552,0.10009,0.07142,0.03703,3487,10,False,0.92868,0.99266,0.21713,0.19881,0.0606,36,4087834
v4,2021_2023,False,4,Insect/Disease,0.00872,0.61173,0.01719,0.00867,3768,4,True,0.92868,0.99266,0.21713,0.19881,0.0606,36,4087834
v4,2021_2023,False,5,Beaver,0.01001,0.02919,0.01491,0.00751,925,5,False,0.92868,0.99266,0.21713,0.19881,0.0606,36,4087834
v5,2021_2023,False,1,Stable,0.99268,0.93536,0.96317,0.92895,4057834,36,False,0.92856,0.99266,0.24659,0.18813,0.00083,36,4087834
v5,2021_2023,False,2,Harvest,0.00738,0.00234,0.00355,0.00178,21820,11,False,0.92856,0.99266,0.24659,0.18813,0.00083,36,4087834
v5,2021_2023,False,3,Development,0.01305,0.03384,0.01884,0.00951,3487,10,False,0.92856,0.99266,0.24659,0.18813,0.00083,36,4087834
v5,2021_2023,False,4,Insect/Disease,0.0,0.0,,0.0,3768,4,True,0.92856,0.99266,0.24659,0.18813,0.00083,36,4087834
v5,2021_2023,False,5,Beaver,0.0004,0.10703,0.0008,0.0004,925,5,False,0.92856,0.99266,0.24659,0.18813,0.00083,36,4087834
v6,2021_2023,False,1,Stable,0.99454,0.53366,0.69461,0.5321,4057834,36,False,0.53076,0.99266,0.14247,0.1082,0.00245,36,4087834
v6,2021_2023,False,2,Harvest,0.00483,0.10559,0.00924,0.00464,21820,11,False,0.53076,0.99266,0.14247,0.1082,0.00245,36,4087834
v6,2021_2023,False,3,Development,0.00354,0.40837,0.00702,0.00352,3487,10,False,0.53076,0.99266,0.14247,0.1082,0.00245,36,4087834
v6,2021_2023,False,4,Insect/Disease,0.00057,0.08386,0.00112,0.00056,3768,4,True,0.53076,0.99266,0.14247,0.1082,0.00245,36,4087834
v6,2021_2023,False,5,Beaver,0.00018,0.09081,0.00036,0.00018,925,5,False,0.53076,0.99266,0.14247,0.1082,0.00245,36,4087834
