,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,2655020,348250,152334,664793,163907
Harvest,44777,5555,1392,32446,526
Development,408,216,302,23,0
Insect/Disease,1715,8791,88,3958,56
Beaver,803,12,23,322,335
