,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,3745235,4629,2568,5673,276569
Harvest,12469,1712,275,4440,9757
Development,3571,11,953,506,22
Insect/Disease,12207,1,0,16,6261
Beaver,528,0,0,0,897
