,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,3063763,157665,54314,536162,172400
Harvest,39465,9693,1116,33308,1114
Development,344,238,294,72,1
Insect/Disease,3131,7750,22,3551,154
Beaver,729,11,2,326,427
