,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,3753817,50304,27949,43904,108330
Harvest,27101,14632,3121,22178,17664
Development,329,63,310,73,174
Insect/Disease,12909,337,57,144,1161
Beaver,867,17,7,99,505
