,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,4026983,311,901,1921,27718
Harvest,20481,602,81,363,293
Development,3219,29,239,0,0
Insect/Disease,2716,1,0,255,796
Beaver,883,0,0,0,42
