,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,2633897,374659,267862,375964,331922
Harvest,36140,10666,25499,5123,7268
Development,276,157,240,143,133
Insect/Disease,8414,1353,1367,1878,1596
Beaver,791,204,136,204,160
