,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,3793329,9043,4310,248488,2664
Harvest,7040,269,1627,12882,2
Development,2565,37,349,533,3
Insect/Disease,1462,1,0,2305,0
Beaver,699,0,0,199,27
