variant,2017_2019,2018_2020,2019_2021,2020_2022,2021_2023
v2,0.917,0.8924,0.811,0.7532,0.9854
v3,0.8217,0.8578,0.7917,0.77,0.8982
v4,0.8792,0.9422,0.799,0.9225,0.9287
v5,0.8489,0.7948,0.7413,0.6523,0.9286
v6,0.6614,0.6887,0.4514,0.6478,0.5308
