,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,3468901,9113,64615,3415,488630
Harvest,21819,86,94,10,6644
Development,4506,12,537,0,8
Insect/Disease,10576,63,7,12,7827
Beaver,556,0,0,0,869
