,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,3261650,61531,644415,1875,79904
Harvest,3104,3632,4123,1507,11217
Development,1060,14,354,1,25
Insect/Disease,6803,332,4182,15,1031
Beaver,464,8,269,0,459
