,Stable,Harvest,Development,Insect/Disease,Beaver
Stable,3237534,131119,53442,239695,328854
Harvest,55714,9020,596,2106,6581
Development,1530,6,81,25,1
Insect/Disease,12592,1345,60,2095,3422
Beaver,1675,60,65,19,1157
